Summary_file = pasture.sum
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()         rwu(1)         rwu(2)         rwu(3)         rwu(4)         rwu(5)         rwu(6)         rwu(7)      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)            fom      cover_tot  residue_cover           cona
     10/10/1988          0.000        100.000     324027.562          0.000          0.000          0.000          0.000          0.000          0.000          0.442        634.559          0.456         91.501          2.002              ?          0.442          0.000          0.000          0.000          0.000          0.000          0.000         39.581         45.117         78.254        109.532        117.663        121.411        123.000         18.015         17.483         20.507         12.123          6.909          9.117          7.348          0.291          0.302          0.368          0.338          0.109          0.175          0.420              ?          0.438          0.052          2.500
     11/10/1988          0.000        100.000     322824.500          0.000          0.000          0.000          0.000          0.000          0.000          0.381        633.749          0.428         91.944          1.780              ?          0.381          0.000          0.000          0.000          0.000          0.000          0.000         38.881         44.936         78.646        109.720        117.418        121.154        122.995         18.152         17.494         20.639         12.185          6.928          9.137          7.410          0.274          0.286          0.320          0.310          0.093          0.137          0.359              ?          0.437          0.056          2.500
     12/10/1988          0.000        100.000     321617.375          0.000          0.000          0.000          0.000          0.000          0.000          0.327        633.018          0.405         92.329          1.603              ?          0.327          0.000          0.000          0.000          0.000          0.000          0.000         38.257         44.761         79.043        109.865        117.194        120.933        122.965         18.268         17.503         20.763         12.238          6.944          9.151          7.461          0.265          0.272          0.282          0.287          0.081          0.108          0.307              ?          0.437          0.062          2.500
     13/10/1988          0.000        100.000     320394.781          0.000          0.000          0.000          0.000          0.000          0.000          0.278        632.354          0.385         92.673          1.468              ?          0.278          0.000          0.000          0.000          0.000          0.000          0.000         37.699         44.591         79.443        109.972        116.992        120.739        122.917         18.370         17.512         20.880         12.285          6.959          9.162          7.504          0.264          0.263          0.253          0.270          0.071          0.085          0.263              ?          0.436          0.069          2.500
     14/10/1988          0.000        100.000     319156.750          0.000          0.000          0.000          0.000          0.000          0.000          0.235        631.751          0.368         92.984          1.367              ?          0.235          0.000          0.000          0.000          0.000          0.000          0.000         37.199         44.429         79.847        110.047        116.808        120.566        122.856         18.461         17.522         20.992         12.327          6.974          9.168          7.540          0.267          0.257          0.231          0.257          0.064          0.066          0.226              ?          0.434          0.077          2.500
     15/10/1988          0.000        100.000     317901.469          0.000          0.000          0.000          0.000          0.000          0.000          0.196        631.202          0.353         93.270          1.299              ?          0.196          0.000          0.000          0.000          0.000          0.000          0.000         36.749         44.273         80.252        110.095        116.640        120.407        122.785         18.541         17.534         21.100         12.366          6.990          9.171          7.569          0.273          0.257          0.216          0.249          0.057          0.053          0.194              ?          0.433          0.087          2.500
     16/10/1988          0.000        100.000     316638.281          0.000          0.000          0.000          0.000          0.000          0.000          0.160        630.702          0.340         93.541          1.256              ?          0.160          0.000          0.000          0.000          0.000          0.000          0.000         36.345         44.124         80.659        110.119        116.486        120.261        122.707         18.613         17.549         21.206         12.401          7.006          9.172          7.593          0.282          0.260          0.208          0.245          0.052          0.042          0.167              ?          0.432          0.097          2.500
     17/10/1988          0.000        100.000     315373.750          0.000          0.000          0.000          0.000          0.000          0.000          0.129        630.245          0.328         93.795          1.224              ?          0.129          0.000          0.000          0.000          0.000          0.000          0.000         35.982         43.982         81.067        110.124        116.343        120.125        122.624         18.678         17.567         21.309         12.435          7.022          9.171          7.613          0.289          0.263          0.203          0.243          0.048          0.034          0.143              ?          0.430          0.107          2.500
     18/10/1988          0.000        100.000     314127.500          0.000          0.000          0.000          0.000          0.000          0.000          0.100        629.827          0.317         94.035          1.190              ?          0.100          0.000          0.000          0.000          0.000          0.000          0.000         35.655         43.846         81.474        110.111        116.210        119.996        122.537         18.735         17.587         21.411         12.467          7.036          9.169          7.629          0.294          0.261          0.199          0.239          0.046          0.028          0.124              ?          0.429          0.115          2.500
     19/10/1988          0.000        100.000     312891.250          0.000          0.000          0.000          0.000          0.000          0.000          0.075        629.445          0.308         94.259          1.158              ?          0.075          0.000          0.000          0.000          0.000          0.000          0.000         35.360         43.716         81.881        110.084        116.084        119.873        122.448         18.786         17.608         21.512         12.497          7.048          9.165          7.642          0.297          0.256          0.195          0.235          0.044          0.023          0.107              ?          0.428          0.123          2.500
     20/10/1988          0.000        100.000     311639.656          0.000          0.000          0.000          0.000          0.000          0.000          0.052        629.095          0.299         94.473          1.134              ?          0.052          0.000          0.000          0.000          0.000          0.000          0.000         35.095         43.592         82.286        110.045        115.965        119.756        122.357         18.831         17.631         21.611         12.525          7.061          9.161          7.652          0.299          0.253          0.194          0.232          0.043          0.020          0.093              ?          0.426          0.134          2.500
     21/10/1988          0.000        100.000     310369.531          0.000          0.000          0.000          0.000          0.000          0.000          0.031        628.773          0.290         94.680          1.119              ?          0.031          0.000          0.000          0.000          0.000          0.000          0.000         34.857         43.474         82.690        109.995        115.851        119.643        122.265         18.871         17.655         21.709         12.553          7.075          9.157          7.661          0.301          0.251          0.196          0.231          0.042          0.017          0.080              ?          0.424          0.146          2.500
     22/10/1988          0.000        100.000     309070.906          0.000          0.000          0.000          0.000          0.000          0.000          0.012        628.478          0.283         94.884          1.116              ?          0.012          0.000          0.000          0.000          0.000          0.000          0.000         34.642         43.361         83.091        109.937        115.741        119.533        122.172         18.907         17.681         21.808         12.580          7.090          9.152          7.667          0.302          0.253          0.201          0.233          0.041          0.015          0.070              ?          0.422          0.159          2.500
     23/10/1988          0.000        100.000     307784.281          0.000          0.000          0.000          0.000          0.000          0.000          0.000        628.202          0.276         95.086          1.115              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.446         43.253         83.490        109.871        115.635        119.427        122.080         18.939         17.710         21.907         12.607          7.105          9.147          7.672          0.302          0.255          0.208          0.235          0.040          0.014          0.061              ?          0.421          0.169          2.500
     24/10/1988          2.200        100.000     306535.812          0.000          0.000          0.000          0.000          0.000          0.000          0.036        628.592          1.774         95.292          1.109              ?          0.036          0.000          0.000          0.000          0.000          0.000          0.000         34.912         43.152         83.886        109.799        115.532        119.324        121.987         18.978         17.740         22.006         12.633          7.119          9.141          7.675          0.304          0.252          0.212          0.234          0.040          0.013          0.054              ?          0.419          0.177          2.500
     25/10/1988          0.400        100.000     305306.594          0.000          0.000          0.000          0.000          0.000          0.000          0.000        627.897          1.095         95.484          1.090              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.294         43.052         84.279        109.722        115.431        119.223        121.895         19.010         17.768         22.104         12.659          7.131          9.136          7.678          0.304          0.243          0.213          0.230          0.040          0.012          0.047              ?          0.418          0.185          2.500
     26/10/1988          0.000        100.000     304094.250          0.000          0.000          0.000          0.000          0.000          0.000          0.000        627.633          0.263         95.669          1.064              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.107         42.957         84.667        109.641        115.332        119.125        121.804         19.041         17.795         22.200         12.682          7.141          9.130          7.679          0.304          0.231          0.212          0.224          0.041          0.011          0.042              ?          0.417          0.193          2.500
     27/10/1988          0.000        100.000     302888.875          0.000          0.000          0.000          0.000          0.000          0.000          0.000        627.376          0.258         95.843          1.032              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.927         42.865         85.052        109.557        115.235        119.028        121.713         19.073         17.819         22.294         12.703          7.150          9.124          7.680          0.304          0.217          0.208          0.215          0.041          0.010          0.037              ?          0.415          0.201          2.500
     28/10/1988          0.000        100.000     301678.031          0.000          0.000          0.000          0.000          0.000          0.000          0.000        627.123          0.252         96.014          1.011              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.751         42.776         85.432        109.469        115.140        118.933        121.622         19.105         17.841         22.386         12.723          7.160          9.119          7.680          0.304          0.207          0.207          0.209          0.042          0.010          0.033              ?          0.413          0.210          2.500
     29/10/1988          0.000        100.000     300450.312          0.000          0.000          0.000          0.000          0.000          0.000          0.000        626.876          0.247         96.186          1.010              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.580         42.691         85.807        109.379        115.046        118.839        121.533         19.137         17.864         22.478         12.743          7.172          9.113          7.679          0.304          0.205          0.212          0.209          0.042          0.009          0.029              ?          0.412          0.220          2.500
     30/10/1988          0.000        100.000     299204.656          0.000          0.000          0.000          0.000          0.000          0.000          0.000        626.633          0.243         96.364          1.023              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.414         42.609         86.178        109.288        114.953        118.747        121.444         19.169         17.889         22.571         12.763          7.186          9.108          7.678          0.304          0.208          0.223          0.212          0.041          0.009          0.026              ?          0.411          0.222          2.500
     31/10/1988          0.000        100.000     297942.438          0.000          0.000          0.000          0.000          0.000          0.000          0.000        626.395          0.238         96.549          1.048              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.253         42.531         86.543        109.195        114.861        118.656        121.356         19.201         17.917         22.665         12.785          7.201          9.102          7.677          0.304          0.214          0.237          0.218          0.040          0.009          0.024              ?          0.410          0.224          2.500
     01/11/1988          0.000        100.000     296680.188          0.000          0.000          0.000          0.000          0.000          0.000          0.000        626.161          0.234         96.741          1.071              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.095         42.457         86.903        109.101        114.770        118.566        121.269         19.234         17.948         22.762         12.808          7.217          9.097          7.675          0.304          0.219          0.252          0.225          0.040          0.009          0.022              ?          0.410          0.226          2.500
     02/11/1988          0.000        100.000     295419.438          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.931          0.230         96.936          1.090              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.942         42.385         87.257        109.007        114.680        118.478        121.183         19.266         17.980         22.860         12.832          7.233          9.092          7.673          0.304          0.222          0.265          0.230          0.039          0.009          0.021              ?          0.409          0.229          2.500
     03/11/1988          0.000        100.000     294159.844          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.705          0.226         97.134          1.104              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.792         42.317         87.605        108.912        114.591        118.390        121.097         19.299         18.014         22.959         12.856          7.247          9.087          7.671          0.304          0.223          0.276          0.233          0.039          0.009          0.019              ?          0.408          0.231          2.500
     04/11/1988          0.000        100.000     292897.125          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.482          0.223         97.333          1.112              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.646         42.253         87.947        108.817        114.502        118.304        121.013         19.331         18.048         23.060         12.882          7.262          9.082          7.669          0.304          0.223          0.285          0.234          0.039          0.009          0.018              ?          0.408          0.234          2.500
     05/11/1988          0.000        100.000     291631.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.263          0.219         97.533          1.117              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.504         42.192         88.283        108.723        114.414        118.218        120.929         19.364         18.082         23.160         12.907          7.276          9.077          7.667          0.304          0.220          0.292          0.235          0.039          0.009          0.017              ?          0.407          0.237          2.500
     06/11/1988          0.600        100.000     290421.344          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.047          0.816         97.727          1.105              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.365         42.134         88.612        108.629        114.327        118.133        120.846         19.397         18.115         23.260         12.932          7.287          9.073          7.664          0.304          0.212          0.292          0.231          0.040          0.009          0.016              ?          0.406          0.239          2.500
     07/11/1988          4.000        100.000     289249.062          0.000          0.000          0.000          0.000          0.000          0.000          0.000        626.734          2.312         97.914          1.082              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.114         42.094         88.935        108.536        114.241        118.050        120.764         19.423         18.151         23.357         12.955          7.297          9.068          7.662          0.304          0.202          0.288          0.224          0.040          0.009          0.015              ?          0.405          0.241          2.500
     08/11/1988          0.000        100.000     288106.031          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.834          1.900         98.092          1.053              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.289         42.044         89.251        108.444        114.156        117.967        120.683         19.456         18.179         23.452         12.977          7.306          9.063          7.659          0.304          0.189          0.281          0.215          0.041          0.009          0.014              ?          0.405          0.243          2.500
     09/11/1988          0.000        100.000     286973.750          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.624          0.210         98.262          1.023              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.155         41.997         89.561        108.353        114.071        117.885        120.602         19.489         18.205         23.544         12.997          7.314          9.057          7.656          0.304          0.177          0.273          0.206          0.042          0.009          0.013              ?          0.404          0.245          2.500
     10/11/1988          0.000        100.000     285842.750          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.417          0.207         98.424          0.996              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.025         41.953         89.864        108.263        113.987        117.803        120.522         19.522         18.227         23.633         13.015          7.322          9.052          7.653          0.304          0.166          0.265          0.197          0.043          0.008          0.012              ?          0.403          0.248          2.500
     11/11/1988          0.000        100.000     284715.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.214          0.204         98.586          0.986              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.897         41.913         90.160        108.174        113.904        117.723        120.443         19.555         18.249         23.720         13.032          7.332          9.047          7.650          0.304          0.161          0.264          0.194          0.043          0.008          0.012              ?          0.402          0.251          2.500
     12/11/1988          0.000        100.000     283594.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.012          0.201         98.750          0.986              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.773         41.875         90.448        108.087        113.822        117.643        120.365         19.589         18.271         23.807         13.050          7.342          9.042          7.647          0.304          0.159          0.268          0.193          0.043          0.008          0.011              ?          0.401          0.254          2.500
     13/11/1988          0.000        100.000     282487.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000        623.813          0.199         98.915          0.992              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.651         41.840         90.730        108.001        113.740        117.564        120.287         19.622         18.294         23.895         13.068          7.353          9.038          7.644          0.304          0.159          0.274          0.193          0.043          0.008          0.011              ?          0.400          0.256          2.500
     14/11/1988          0.000        100.000     281383.969          0.000          0.000          0.000          0.000          0.000          0.000          0.000        623.617          0.196         99.082          0.999              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.532         41.808         91.005        107.917        113.659        117.486        120.210         19.656         18.318         23.982         13.086          7.365          9.033          7.641          0.304          0.159          0.280          0.194          0.043          0.008          0.011              ?          0.399          0.259          2.500
     15/11/1988          0.000        100.000     280277.344          0.000          0.000          0.000          0.000          0.000          0.000          0.000        623.423          0.194         99.251          1.007              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.416         41.779         91.272        107.834        113.580        117.408        120.134         19.690         18.342         24.070         13.105          7.376          9.029          7.639          0.304          0.160          0.287          0.195          0.043          0.008          0.011              ?          0.398          0.262          2.500
     16/11/1988         17.000        100.000     274176.625          0.000          0.000          0.000          0.000          0.000          0.000          0.765        637.559          2.099         99.577          1.034              ?          0.765          0.000          0.000          0.000          0.000          0.000          0.000         45.396         41.984         91.535        107.753        113.501        117.331        120.059         19.784         18.467         24.157         13.124          7.386          9.024          7.636          0.333          0.158          0.288          0.193          0.043          0.008          0.011              ?          0.416          0.263          2.500
     17/11/1988          0.000        100.000     268188.844          0.000          0.000          0.000          0.000          0.000          0.000          0.649        634.150          2.761         99.877          1.010              ?          0.649          0.000          0.000          0.000          0.000          0.000          0.000         41.964         42.059         91.792        107.674        113.422        117.255        119.984         19.910         18.535         24.243         13.142          7.396          9.020          7.633          0.318          0.154          0.286          0.189          0.043          0.008          0.010              ?          0.427          0.264          2.500
     18/11/1988          0.000        100.000     261945.875          0.000          0.000          0.000          0.000          0.000          0.000          0.541        632.901          0.707        100.167          0.979              ?          0.541          0.000          0.000          0.000          0.000          0.000          0.000         40.722         42.107         92.042        107.597        113.345        117.179        119.910         20.040         18.590         24.327         13.160          7.405          9.015          7.630          0.293          0.152          0.286          0.186          0.043          0.008          0.010              ?          0.430          0.266          2.500
     19/11/1988          0.000        100.000     260959.516          0.000          0.000          0.000          0.000          0.000          0.000          0.450        631.836          0.615        100.444          0.950              ?          0.450          0.000          0.000          0.000          0.000          0.000          0.000         39.681         42.139         92.286        107.521        113.269        117.105        119.836         20.166         18.637         24.411         13.178          7.415          9.010          7.627          0.266          0.151          0.287          0.185          0.043          0.008          0.010              ?          0.430          0.268          2.500
     20/11/1988          0.000        100.000     259983.219          0.000          0.000          0.000          0.000          0.000          0.000          0.373        630.911          0.552        100.688          0.929              ?          0.373          0.000          0.000          0.000          0.000          0.000          0.000         38.791         42.163         92.522        107.447        113.193        117.031        119.763         20.266         18.680         24.493         13.195          7.424          9.006          7.624          0.250          0.149          0.286          0.182          0.044          0.008          0.010              ?          0.429          0.270          2.500
     21/11/1988          0.000        100.000     258999.469          0.000          0.000          0.000          0.000          0.000          0.000          0.306        630.100          0.505        100.917          0.937              ?          0.306          0.000          0.000          0.000          0.000          0.000          0.000         38.024         42.182         92.752        107.375        113.118        116.957        119.691         20.350         18.720         24.576         13.213          7.435          9.002          7.621          0.249          0.151          0.292          0.183          0.043          0.008          0.010              ?          0.428          0.273          2.500
     22/11/1988          2.200        100.000     258007.703          0.000          0.000          0.000          0.000          0.000          0.000          0.248        629.384          2.668        101.138          0.962              ?          0.248          0.000          0.000          0.000          0.000          0.000          0.000         37.356         42.199         92.976        107.305        113.044        116.884        119.619         20.422         18.761         24.660         13.233          7.447          8.998          7.618          0.255          0.157          0.303          0.187          0.043          0.008          0.010              ?          0.428          0.275          2.500
     23/11/1988          0.000        100.000     257010.406          0.000          0.000          0.000          0.000          0.000          0.000          0.198        628.748          0.438        101.355          0.994              ?          0.198          0.000          0.000          0.000          0.000          0.000          0.000         36.773         42.215         93.192        107.236        112.971        116.812        119.548         20.486         18.802         24.745         13.253          7.460          8.994          7.615          0.263          0.163          0.316          0.192          0.042          0.008          0.010              ?          0.427          0.277          2.500
     24/11/1988          0.000        100.000     256004.312          0.000          0.000          0.000          0.000          0.000          0.000          0.153        628.181          0.413        101.568          1.022              ?          0.153          0.000          0.000          0.000          0.000          0.000          0.000         36.261         42.231         93.402        107.169        112.899        116.741        119.478         20.541         18.845         24.831         13.275          7.473          8.990          7.612          0.269          0.169          0.328          0.196          0.042          0.008          0.010              ?          0.425          0.279          2.500
     25/11/1988          0.000        100.000     254998.562          0.000          0.000          0.000          0.000          0.000          0.000          0.114        627.675          0.393        101.779          1.054              ?          0.114          0.000          0.000          0.000          0.000          0.000          0.000         35.811         42.248         93.605        107.105        112.828        116.670        119.408         20.589         18.889         24.920         13.298          7.487          8.986          7.609          0.276          0.176          0.342          0.201          0.042          0.008          0.010              ?          0.424          0.281          2.500
     26/11/1988          0.000        100.000     253992.641          0.000          0.000          0.000          0.000          0.000          0.000          0.080        627.221          0.375        101.989          1.082              ?          0.080          0.000          0.000          0.000          0.000          0.000          0.000         35.415         42.266         93.801        107.041        112.758        116.600        119.339         20.631         18.935         25.010         13.323          7.501          8.982          7.607          0.281          0.181          0.354          0.206          0.041          0.009          0.010              ?          0.423          0.283          2.500
     27/11/1988          1.800        100.000     252985.953          0.000          0.000          0.000          0.000          0.000          0.000          0.049        626.813          2.159        102.198          1.104              ?          0.049          0.000          0.000          0.000          0.000          0.000          0.000         35.066         42.286         93.991        106.980        112.689        116.531        119.270         20.667         18.983         25.101         13.348          7.515          8.979          7.604          0.284          0.186          0.365          0.210          0.041          0.009          0.010              ?          0.422          0.284          2.500
     28/11/1988          0.000        100.000     251993.844          0.000          0.000          0.000          0.000          0.000          0.000          0.022        626.445          0.345        102.402          1.115              ?          0.022          0.000          0.000          0.000          0.000          0.000          0.000         34.759         42.307         94.174        106.920        112.620        116.462        119.202         20.699         19.031         25.192         13.375          7.528          8.975          7.602          0.285          0.187          0.371          0.212          0.041          0.009          0.010              ?          0.418          0.303          2.500
     29/11/1988          0.000        100.000     251006.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        626.113          0.332        102.602          1.119              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.487         42.330         94.351        106.863        112.553        116.394        119.135         20.726         19.079         25.284         13.401          7.540          8.972          7.599          0.285          0.187          0.375          0.212          0.041          0.009          0.010              ?          0.415          0.320          2.500
     30/11/1988          0.000        100.000     250015.562          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.792          0.321        102.804          1.125              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.230         42.353         94.522        106.806        112.486        116.327        119.068         20.755         19.128         25.375         13.429          7.553          8.968          7.597          0.285          0.188          0.379          0.212          0.041          0.009          0.010              ?          0.411          0.335          2.500
     01/12/1988          0.000        100.000     249024.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.481          0.311        103.007          1.132              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.985         42.376         94.687        106.751        112.420        116.260        119.002         20.785         19.176         25.466         13.456          7.566          8.965          7.594          0.285          0.189          0.384          0.213          0.041          0.009          0.010              ?          0.408          0.346          2.500
     02/12/1988          0.000        100.000     248024.578          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.179          0.302        103.214          1.143              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.751         42.399         94.846        106.698        112.355        116.194        118.936         20.816         19.224         25.557         13.484          7.579          8.962          7.592          0.285          0.192          0.391          0.215          0.041          0.009          0.010              ?          0.406          0.357          2.500
     03/12/1988          4.000        100.000     247022.562          0.000          0.000          0.000          0.000          0.000          0.000          0.021        626.107          3.051        103.429          1.159              ?          0.021          0.000          0.000          0.000          0.000          0.000          0.000         34.741         42.430         94.999        106.647        112.291        116.128        118.871         20.848         19.277         25.649         13.513          7.594          8.959          7.589          0.286          0.195          0.399          0.218          0.041          0.009          0.010              ?          0.403          0.364          2.500
     04/12/1988          0.000        100.000     246022.328          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.864          1.243        103.643          1.173              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.570         42.455         95.146        106.596        112.228        116.064        118.806         20.880         19.327         25.742         13.543          7.608          8.956          7.587          0.286          0.199          0.408          0.221          0.040          0.009          0.011              ?          0.401          0.370          2.500
     05/12/1988          0.000        100.000     245022.438          0.000          0.000          0.000          0.000          0.000          0.000          0.000        624.579          0.286        103.860          1.184              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.357         42.480         95.287        106.548        112.165        115.999        118.742         20.913         19.378         25.835         13.574          7.622          8.952          7.585          0.286          0.201          0.414          0.222          0.040          0.009          0.011              ?          0.400          0.374          2.500
