APSIM output file, version = 5.3
Title = p0N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1962            100     10/04/1962        874.700              54.346            324.284          5.156          2.527          1.951          1.948          1.149          1.157          1.129          1.108          1.101          1.094          0.000          0.019        147.458          0.718          0.655         16.742         73.716       1292.921         479.546          0.226          0.280          0.289          0.297          0.300          0.300          0.300          0.300          0.300          0.300        498.936        110.936          0.000          0.000                 0.377                 0.385                 0.797             42       1248.322       3607.839          0.289          5.867       1700.000         54.424         13.641         13.830         17.435         35.982         27.921         17.647         10.117          5.628          3.247          2.010         38.381         62.228              ?              ?              ?
           1963            102     12/04/1963       1062.700             137.584            515.893          4.999          2.339          1.859          1.887          1.114          1.120          1.106          1.097          1.093          1.088          0.000          0.027         96.248          0.737          1.156         27.087         71.853       1290.767         410.128          0.238          0.282          0.288          0.291          0.292          0.293          0.297          0.300          0.300          0.300        495.338        107.338          0.000          0.000                 0.401                 0.398                 0.825             41       1443.623       4312.364          0.334          6.969       1700.000         65.725          6.501          3.189          2.480          7.158         10.418         12.421         13.932         14.198         13.534         12.416         38.325        140.745              ?              ?              ?
           1964            105     14/04/1964        656.500              38.514            259.300          3.787          2.661          2.025          2.008          1.165          1.152          1.127          1.107          1.100          1.093          0.000          0.057        142.134          0.639          2.817         63.125         89.014       1291.187         345.007          0.120          0.217          0.242          0.257          0.267          0.276          0.285          0.294          0.299          0.300        453.389         73.400          0.128          0.128                 0.364                 0.361                 0.820             50        715.590       3200.424          0.187          5.572       1700.000         54.236         13.428         10.024         13.225         29.460         26.030         19.405         13.482          8.653          5.274          3.151         38.161         68.836              ?              ?              ?
           1965            111     21/04/1965        903.200              92.656            475.182          3.720          2.528          1.995          1.980          1.151          1.146          1.121          1.103          1.097          1.091          0.000          0.050        120.140          0.538          2.879         62.755         85.162       1290.055         359.370          0.125          0.217          0.238          0.249          0.258          0.267          0.279          0.291          0.298          0.300        446.134         65.584          0.046          0.046                 0.398                 0.406                 0.788             51        742.724       3358.962          0.193          5.802       1700.000         58.517         30.406         12.629          9.641         14.062         10.307          7.952          8.003          8.527          9.209          9.403         38.034         91.336              ?              ?              ?
           1966            107     17/04/1966        830.000              34.142            400.968          4.775          2.359          1.910          1.913          1.123          1.147          1.122          1.104          1.099          1.092          0.000          0.039        133.928          0.643          2.172         47.382         81.335       1288.782         370.342          0.217          0.283          0.292          0.298          0.300          0.300          0.300          0.300          0.300          0.301        499.095        111.095          0.015          0.015                 0.391                 0.424                 0.805             46       1301.954       3517.680          0.301          5.629       1700.000         50.973          3.531          2.546          3.450         13.296         19.803         23.153         22.598         19.379         15.128         11.044         38.013        123.435              ?              ?              ?
           1967            130     10/05/1967        841.400              51.424            396.149          5.976          2.675          1.999          1.965          1.158          1.154          1.130          1.115          1.109          1.102          0.000          0.029        129.978          0.565          1.330         31.066         73.867       1286.636         416.690          0.145          0.233          0.254          0.265          0.271          0.276          0.284          0.293          0.299          0.300        460.747         78.219          0.028          0.028                 0.361                 0.363                 0.833             70       1072.352       4185.105          0.266          6.962       1700.000         69.120         11.641          7.890          8.995         20.025         18.723         15.909         14.581         12.766         10.775          8.671         38.137        107.317              ?              ?              ?
           1968            112     21/04/1968        683.800              43.783            245.805          4.096          2.664          2.016          2.030          1.169          1.160          1.120          1.103          1.097          1.090          0.000          0.048        141.976          0.824          2.460         56.472         87.628       1286.879         363.576          0.251          0.284          0.279          0.256          0.263          0.272          0.282          0.293          0.299          0.300        474.487         86.487          0.088          0.088                 0.398                 0.401                 0.786             54        763.743       3302.099          0.205          5.647       1700.000         58.704         18.648         18.371         18.372         26.565         19.844         14.240         10.415          7.308          4.946          3.267         38.095         53.946              ?              ?              ?
           1969             88     29/03/1969        635.700              19.808            233.518          4.297          2.407          1.908          1.912          1.109          1.126          1.102          1.087          1.082          1.076          0.000          0.043        158.495          0.767          2.529         54.850         81.141       1285.265         373.825          0.263          0.288          0.291          0.296          0.299          0.300          0.300          0.300          0.300          0.300        503.061        115.061          0.010          0.010                 0.392                 0.389                 0.814             32       1039.483       3390.618          0.264          5.479       1700.000         52.425         16.463         16.525         19.472         36.841         27.510         17.798         10.895          6.559          3.973          2.459         37.994         50.397              ?              ?              ?
           1970            112     22/04/1970        969.200              66.433            421.972          5.120          2.729          2.010          1.984          1.137          1.134          1.111          1.096          1.090          1.084          0.000          0.029        148.110          0.503          1.344         31.875         83.826       1284.699         485.575          0.189          0.222          0.234          0.244          0.254          0.264          0.277          0.290          0.298          0.300        449.952         63.027          0.000          0.000                 0.365                 0.362                 0.812             53        743.035       3071.076          0.187          5.140       1700.000         52.776         81.901         18.657          5.504          6.030          6.453          6.850          7.219          6.458          5.209          3.828         37.775        113.101              ?              ?              ?
           1971             89     30/03/1971        696.500              49.702            292.983          4.067          2.377          1.866          1.884          1.097          1.114          1.091          1.082          1.077          1.073          0.000          0.046        146.585          0.532          2.532         56.904         83.466       1283.751         345.963          0.180          0.262          0.277          0.288          0.295          0.299          0.300          0.300          0.300          0.300        488.411        102.363          0.083          0.083                 0.398                 0.395                 0.803             31       1024.666       3329.615          0.247          5.347       1700.000         53.598          8.382          7.573         10.828         29.509         29.116         23.345         16.342         10.653          6.688          4.148         37.748         72.434              ?              ?              ?
