APSIM output file, version = 5.3
Title = p70N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            102     11/04/1952       1000.300              76.021            468.961         54.469          3.323          2.222          2.061          1.149          1.116          1.109          1.107          1.108          1.103          0.000          0.054          3.961          0.363          0.323         15.553         37.689       1322.700         394.735          0.100          0.200          0.201          0.202          0.204          0.208          0.245          0.272          0.290          0.297        393.837         15.837          0.102          0.102                 0.449                 0.465                 0.975             43       5537.372      13986.006          1.344         14.985       1700.000        167.096          0.940          0.385          0.170          0.074          0.026          0.000          0.017          0.063          0.316          1.971         46.790         78.007              ?              ?              ?
           1953            108     18/04/1953        918.900              45.276            293.340         40.803          3.048          2.082          1.893          1.006          0.981          1.001          1.068          1.141          1.118          0.000          0.160          2.572          0.806          4.216        197.180         84.486       1322.668         396.138          0.227          0.279          0.287          0.291          0.291          0.284          0.285          0.294          0.299          0.300        487.885         99.885          0.125          0.125                 0.363                 0.343                 0.998             49       6137.719      14816.312          2.140         15.040       1700.000        166.001          1.281          0.415          0.244          0.192          0.092          0.047          0.051          0.047          0.051          0.154         57.306         16.093              ?              ?              ?
           1954             97     07/04/1954        668.500              47.571            182.397         42.642          3.160          2.262          2.208          1.334          1.274          1.244          1.192          1.137          1.110          0.000          0.217          3.585          0.801          5.070        279.431        118.780       1324.721         329.231          0.159          0.219          0.227          0.230          0.236          0.244          0.264          0.282          0.294          0.299        430.075         46.221          0.455          0.455                 0.384                 0.370                 1.000             36       6018.937      16184.766          2.149         16.591       1700.000        172.714          2.076          0.387          0.188          0.137          0.091          0.059          0.085          0.077          0.102          0.383         66.110         17.923              ?              ?              ?
           1955             93     03/04/1955       1006.700              83.454            421.653         40.550          3.069          2.252          2.204          1.321          1.277          1.244          1.193          1.139          1.104          0.000          0.262          4.885          1.081          6.212        355.338        146.667       1329.529         369.904          0.185          0.249          0.258          0.264          0.267          0.267          0.271          0.285          0.295          0.299        458.747         72.271          0.297          0.297                 0.388                 0.367                 1.000             33       6251.199      15357.204          2.473         15.509       1700.000        174.794          2.322          0.375          0.186          0.136          0.086          0.058          0.084          0.085          0.191          1.362         74.933         51.468              ?              ?              ?
           1956             97     06/04/1956       1000.800              99.863            302.125         43.434          3.163          2.248          2.230          1.344          1.302          1.263          1.204          1.144          1.107          0.000          0.284          3.864          1.098          4.524        262.533        151.948       1335.136         408.315          0.202          0.257          0.266          0.272          0.278          0.283          0.293          0.298          0.300          0.300        477.141         89.141          0.202          0.202                 0.369                 0.366                 1.000             39       6284.297      15928.893          2.580         19.302       1700.000        183.718          2.583          0.334          0.179          0.162          0.098          0.062          0.066          0.063          0.082          0.236         84.398         29.268              ?              ?              ?
           1957             94     04/04/1957       1059.500              76.531            397.018         51.177          3.074          2.189          2.178          1.313          1.288          1.249          1.200          1.143          1.100          0.000          0.342         12.795          1.149          5.191        262.264        162.709       1341.449         440.889          0.153          0.219          0.228          0.233          0.240          0.251          0.277          0.291          0.298          0.300        437.856         54.584          0.202          0.202                 0.388                 0.386                 0.982             35       5689.821      14220.458          1.834         17.860       1700.000        146.698          3.677          0.859          0.657          1.081          0.926          0.697          0.889          0.995          1.247          1.768         93.569         51.270              ?              ?              ?
           1958            101     11/04/1958        815.700              80.721            307.556         53.986          3.291          2.300          2.263          1.331          1.285          1.253          1.203          1.151          1.120          0.000          0.207         17.222          0.993          4.410        210.082        166.597       1347.905         348.470          0.205          0.202          0.202          0.203          0.205          0.211          0.250          0.277          0.292          0.298        407.977         19.977          0.175          0.175                 0.347                 0.355                 0.982             43       5489.717      14606.934          1.428         18.681       1700.000        166.675          6.175          0.882          0.660          1.247          1.084          0.801          1.106          1.277          1.648          2.342        104.295         56.556              ?              ?              ?
           1959            117     27/04/1959        797.300              34.251            294.560         57.761          3.330          2.321          2.272          1.358          1.305          1.282          1.223          1.153          1.117          0.000          0.240         33.317          1.070          6.840        280.384        193.602       1355.118         401.968          0.100          0.200          0.203          0.204          0.207          0.214          0.250          0.275          0.291          0.298        398.000         19.999          0.148          0.148                 0.360                 0.360                 0.919             56       4060.558      11309.382          0.905         16.418       1700.000        151.035         12.500          2.920          2.365          3.284          2.020          1.242          1.612          1.831          2.330          3.212        114.397         54.127              ?              ?              ?
           1960            106     15/04/1960        663.400              30.947            240.139         57.775          3.060          2.182          2.137          1.306          1.326          1.281          1.202          1.153          1.109          0.000          0.185         57.986          1.527          6.497        217.912        203.670       1362.360         314.048          0.285          0.245          0.209          0.208          0.207          0.214          0.250          0.275          0.291          0.298        422.341         34.341          0.085          0.085                 0.401                 0.418                 0.937             46       5824.809      12764.836          1.271         16.885       1700.000        140.867          7.568          4.413          3.367          8.024          8.292          6.479          6.501          5.409          4.390          3.543        123.943         72.684              ?              ?              ?
           1961             86     27/03/1961        990.100              51.085            266.136         49.467          3.187          2.257          2.261          1.352          1.288          1.221          1.165          1.139          1.105          0.000          0.091         51.818          1.836          2.766         97.548        167.593       1371.039         397.367          0.266          0.283          0.287          0.289          0.290          0.292          0.297          0.299          0.300          0.300        497.077        109.077          0.000          0.000                 0.384                 0.382                 0.997             29       5866.550      15818.099          2.707         19.535       1700.000        180.559          8.428          4.677          4.213          7.230          6.453          5.202          4.531          4.009          3.680          3.395        133.964         71.198              ?              ?              ?
           1962             98     08/04/1962        872.600              43.771            328.996         52.969          3.159          2.230          2.256          1.323          1.271          1.225          1.174          1.136          1.097          0.000          0.254         30.950          1.346          3.561        143.785        171.392       1379.248         406.419          0.244          0.252          0.252          0.218          0.204          0.207          0.242          0.270          0.288          0.297        419.899         31.899          0.107          0.107                 0.353                 0.382                 0.995             39       5270.440      14253.177          1.835         17.751       1700.000        155.955          7.964          4.485          4.038          4.781          2.793          1.599          1.474          1.212          1.223          1.381        144.298         37.572              ?              ?              ?
           1963             95     05/04/1963       1051.300             181.375            414.163         50.827          3.073          2.213          2.244          1.265          1.241          1.202          1.159          1.112          1.087          0.000          0.177          9.458          1.342          4.398        174.061        183.615       1386.619         361.299          0.193          0.245          0.220          0.212          0.217          0.227          0.262          0.284          0.295          0.299        424.513         37.237          0.047          0.047                 0.387                 0.384                 0.993             33       5830.625      15662.177          1.988         19.161       1700.000        161.887          4.128          0.880          0.334          0.407          0.314          0.193          0.312          0.408          0.745          1.736        152.218         71.137              ?              ?              ?
           1964            102     11/04/1964        670.000              46.650            178.162         57.289          3.173          2.256          2.269          1.339          1.284          1.251          1.196          1.130          1.090          0.000          0.335         23.074          1.235          9.871        423.709        221.503       1393.555         310.961          0.100          0.200          0.201          0.202          0.204          0.212          0.249          0.275          0.291          0.297        396.101         18.101          1.754          1.754                 0.337                 0.349                 0.929             47       3699.418      10664.649          0.848         15.801       1700.000        159.320          7.245          2.124          2.077          3.570          2.446          1.411          1.312          1.053          0.905          0.931        160.532         25.675              ?              ?              ?
           1965            106     16/04/1965        903.200              90.298            467.546         57.362          3.068          2.099          2.069          1.214          1.258          1.239          1.183          1.114          1.086          0.000          0.228         34.664          1.475          8.680        273.094        221.174       1400.129         330.522          0.100          0.200          0.200          0.200          0.200          0.202          0.235          0.262          0.284          0.295        385.447          7.447          0.047          0.047                 0.290                 0.395                 0.997             46       2967.984       9840.899          1.065         14.793       1700.000        175.303         13.054          2.238          1.295          2.468          1.602          0.922          1.318          1.763          3.173          6.831        168.692         93.161              ?              ?              ?
           1966            104     14/04/1966        830.000              52.935            283.492         51.327          2.986          2.134          2.063          1.222          1.295          1.246          1.229          1.164          1.107          0.000          0.145         58.646          2.308          5.834        169.058        206.232       1406.847         316.825          0.250          0.286          0.292          0.295          0.295          0.286          0.272          0.288          0.296          0.299        489.354        101.354          0.019          0.019                 0.380                 0.413                 0.990             43       5680.833      14883.629          2.311         18.552       1700.000        144.622          5.318          3.257          3.474          8.055          9.415          8.665          7.067          5.687          4.382          3.326        177.103         65.651              ?              ?              ?
