Summary_file = step8.sum
Title = Step 8. swim
           date  transpiration
     25/04/1977          0.297
     26/04/1977          0.280
     27/04/1977          0.319
     28/04/1977          0.260
     29/04/1977          0.307
     30/04/1977          0.283
      1/05/1977          0.204
      2/05/1977          0.186
      3/05/1977          0.254
      4/05/1977          0.196
      5/05/1977          0.232
      6/05/1977          0.271
      7/05/1977          0.153
      8/05/1977          0.063
      9/05/1977          0.074
     10/05/1977          0.125
     11/05/1977          0.057
     12/05/1977          0.057
     13/05/1977          0.204
     14/05/1977          0.080
     15/05/1977          0.090
     16/05/1977          0.116
     17/05/1977          0.086
     18/05/1977          0.244
     19/05/1977          0.193
     20/05/1977          0.201
     21/05/1977          0.244
     22/05/1977          0.174
     23/05/1977          0.163
     24/05/1977          0.130
     25/05/1977          0.118
     26/05/1977          0.097
     27/05/1977          0.103
     28/05/1977          0.079
     29/05/1977          0.074
     30/05/1977          0.024
     31/05/1977          0.053
      1/06/1977          0.023
      2/06/1977          0.022
      3/06/1977          0.002
      4/06/1977          0.000
      5/06/1977          0.000
      6/06/1977          0.000
      7/06/1977          0.000
      8/06/1977          0.000
      9/06/1977          0.000
     10/06/1977          0.000
     11/06/1977          0.000
     12/06/1977          0.000
     13/06/1977          0.000
     14/06/1977          0.000
     15/06/1977          0.000
     16/06/1977          0.000
     17/06/1977          0.000
     18/06/1977          0.000
     19/06/1977          0.000
     20/06/1977          0.000
     21/06/1977          0.000
     22/06/1977          0.000
     23/06/1977          0.000
     24/06/1977          0.000
     25/06/1977          0.000
     26/06/1977          0.000
     27/06/1977          0.000
     28/06/1977          0.000
     29/06/1977          0.000
     30/06/1977          0.000
      1/07/1977          0.000
      2/07/1977          0.000
      3/07/1977          0.000
      4/07/1977          0.000
      5/07/1977          0.000
      6/07/1977          0.000
      7/07/1977          0.000
      8/07/1977          0.000
      9/07/1977          0.000
     10/07/1977          0.000
     11/07/1977          0.000
     12/07/1977          0.000
     13/07/1977          0.000
     14/07/1977          0.000
     15/07/1977          0.000
     16/07/1977          0.000
     17/07/1977          0.000
     18/07/1977          0.000
     19/07/1977          0.000
     20/07/1977          0.000
     21/07/1977          0.000
     22/07/1977          0.000
     23/07/1977          0.000
     24/07/1977          0.000
     25/07/1977          0.000
     26/07/1977          0.000
     27/07/1977          0.000
     28/07/1977          0.000
     29/07/1977          0.000
     30/07/1977          0.000
     31/07/1977          0.000
      1/08/1977          0.000
      2/08/1977          0.000
      3/08/1977          0.000
      4/08/1977          0.000
      5/08/1977          0.000
      6/08/1977          0.000
