Summary_file = ep-on.sum
Title = erosion productivity on
           date  max_n_avail()
             ()             ()
     31/12/1957         14.607
     31/12/1958         14.340
     31/12/1959         14.255
     30/12/1960         14.252
     31/12/1961         14.192
     31/12/1962         14.177
     31/12/1963         14.139
     30/12/1964         14.089
     31/12/1965         14.010
     31/12/1966         13.896
     31/12/1967         13.792
     30/12/1968         13.750
     31/12/1969         13.708
     31/12/1970         13.653
     31/12/1971         13.543
     30/12/1972         13.524
     31/12/1973         13.519
     31/12/1974         13.480
     31/12/1975         13.432
     30/12/1976         13.380
     31/12/1977         13.361
     31/12/1978         13.222
     31/12/1979         13.222
     30/12/1980         13.201
     31/12/1981         13.159
     31/12/1982         13.133
     31/12/1983         13.054
     30/12/1984         12.993
     31/12/1985         12.951
     31/12/1986         12.796
     31/12/1987         12.792
     30/12/1988         12.578
     31/12/1989         12.484
     31/12/1990         12.438
     31/12/1991         12.437
     30/12/1992         12.410
     31/12/1993         12.410
     31/12/1994         12.406
     31/12/1995         12.213
