APSIM output file, version = 5.4
Title = wagga 1500mm wet soil
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     23/11/1957            327           1957        217.000          215.820          0.001      13441.622       4402.510          0.328          0.771        214.351          2.370         10.432         72.518         84.656            284
     25/11/1958            329           1958        353.700          345.133          0.001      15154.616       5762.479          0.380          0.780        213.848          1.983         11.427         67.263        218.579            285
     21/11/1959            325           1959        237.900          237.337          0.001      16472.689       5839.876          0.355          0.756        264.288          1.922         11.224         65.828         54.783            283
     01/12/1960            336           1960        393.700          387.416          0.001      17152.016       5559.176          0.324          0.727        272.103          1.873         10.415         70.833        178.970            290
     19/11/1961            323           1961        309.500          301.908          0.001      14083.290       5064.974          0.360          0.777        241.664          2.105         10.660         73.636        132.740            283
     27/11/1962            331           1962        285.200          282.856          0.001      15169.140       5685.501          0.375          0.768        236.880          1.882         10.699         72.842        119.386            285
     21/11/1963            325           1963        388.600          385.361          0.001      15026.129       5275.279          0.351          0.759        249.071          1.962         10.350         80.033        192.341            283
     30/11/1964            335           1964        356.000          354.719          0.001      16014.239       5665.363          0.354          0.756        245.632          1.954         11.070         68.099        168.361            291
     16/11/1965            320           1965        280.600          279.143          0.001      14155.634       5437.955          0.384          0.782        242.372          1.999         10.871         71.636        102.391            280
     27/11/1966            331           1966        307.500          306.812          0.001      17213.582       5956.588          0.346          0.753        251.578          1.975         11.764         57.220        113.897            289
     12/11/1967            316           1967        166.700          166.532          0.001      13309.366       5404.791          0.406          0.803        209.786          2.058         11.122         70.350         51.725            276
     30/11/1968            335           1968        307.400          305.882          0.001      16093.583       5517.703          0.343          0.748        243.031          1.920         10.592         71.000        122.837            292
     22/11/1969            326           1969        373.200          356.560          0.001      15497.408       6004.810          0.387          0.775        251.602          1.914         11.492         69.926        167.935            284
