APSIM output file, version = 5.4
Title = Roseworthy Mid Sowing Low N
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957            316           1957        170.100          168.017          0.000       5699.408       1461.024          0.256          0.686         68.972          2.332          3.407         29.393          9.816            270
     25/11/1958            329           1958        285.800          284.569          0.000      12414.812       2005.700          0.162          0.460        167.322          1.410          2.828         21.482         27.218            284
     11/11/1959            315           1959        124.800          124.800          0.000       4411.534       1408.349          0.319          0.722         58.528          2.127          2.996         29.038          0.912            269
     25/11/1960            330           1960        278.600          278.358          0.000      10321.736       2369.276          0.230          0.548        144.831          1.367          3.238         22.184         25.249            286
     11/11/1961            315           1961        164.500          164.500          0.000       5779.528       1438.452          0.249          0.671         78.890          2.252          3.239         27.770          0.500            272
     14/11/1962            318           1962        226.000          226.000          0.000       6794.959       2673.013          0.393          0.721         90.316          1.525          4.077         27.809         32.944            269
     11/11/1963            315           1963        286.600          285.402          0.000       9881.431       2779.946          0.281          0.601        151.181          1.316          3.658         22.803         38.648            272
     17/11/1964            322           1964        269.900          269.900          0.000      10894.519       2368.781          0.217          0.526        146.115          1.322          3.131         26.848         14.952            275
     12/11/1965            316           1965        192.800          192.185          0.000       7782.373       2310.734          0.297          0.641        109.346          1.491          3.445         23.923          6.105            275
     23/11/1966            327           1966        239.900          238.522          0.000       8459.924       2742.054          0.324          0.644        115.764          1.323          3.628         26.213          2.556            284
     10/11/1967            314           1967        148.800          148.800          0.000       6609.665       1770.728          0.268          0.636         82.215          1.782          3.156         26.721          0.526            273
     20/11/1968            325           1968        377.500          374.742          0.000      13167.306       2736.238          0.208          0.499        205.183          1.226          3.354         22.588         49.211            283
     14/11/1969            318           1969        223.300          220.611          0.000       9427.399       2613.784          0.277          0.598        131.404          1.307          3.417         23.392          8.181            276
     19/11/1970            323           1970        243.300          243.255          0.000       9650.398       2373.524          0.246          0.569        124.186          1.351          3.207         24.579         20.043            277
     19/11/1971            323           1971        311.900          311.261          0.000      11863.579       2631.192          0.222          0.521        166.516          1.247          3.281         21.453         31.442            278
     09/11/1972            314           1972        185.900          185.900          0.000       7831.381       2320.244          0.296          0.640        107.435          1.474          3.420         24.957          1.295            268
     12/11/1973            316           1973        330.600          323.602          0.000      11401.194       2998.465          0.263          0.564        167.326          1.245          3.732         22.384         47.466            272
     18/11/1974            322           1974        275.400          274.962          0.000      11344.875       2571.488          0.227          0.538        148.373          1.295          3.330         25.534         17.670            275
     14/11/1975            318           1975        272.600          270.666          0.000      10509.771       2812.295          0.268          0.574        130.756          1.281          3.601         25.477         48.385            269
     14/11/1976            319           1976        211.400          211.400          0.000       6897.639       2245.587          0.326          0.677         91.177          1.602          3.597         30.241         17.352            273
     10/11/1977            314           1977        168.400          168.400          0.000       5731.456       1619.138          0.282          0.688         78.803          2.041          3.304         28.678          6.500            271
