APSIM output file, version = 5.4
Title = Roseworthy Early Sowing
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     19/10/1957            292           1957        162.000          161.915          0.000         6613.0         2732.4          0.413          0.829         78.216          2.678           7.32           70.6          1.424            238
     31/10/1958            304           1958        358.600          353.780          0.000        12352.9         4190.7          0.339          0.750        132.481          2.271           9.52           25.0        117.250            249
     20/10/1959            293           1959        122.200          122.200          0.000         3401.8         1307.1          0.384          0.597         48.043          2.877           3.76           98.1          4.178            242
     07/11/1960            312           1960        340.200          338.889          0.000        14160.0         4589.9          0.324          0.731        180.796          1.937           8.89           22.5         53.503            263
     19/10/1961            292           1961        187.000          187.000          0.000         8381.4         2990.1          0.357          0.790         99.595          2.445           7.31           55.7          1.202            246
     22/10/1962            295           1962        300.200          295.969          0.000         9826.5         3523.8          0.359          0.768        127.177          2.370           8.35           46.7         58.594            242
     20/10/1963            293           1963        317.200          312.393          0.000         6956.3         2337.8          0.336          0.628         94.810          2.876           6.72           57.6        111.736            245
     25/10/1964            299           1964        276.600          276.600          0.000        11974.8         4275.6          0.357          0.751        144.395          1.932           8.26           42.0         42.502            245
     21/10/1965            294           1965        224.400          224.391          0.000         9710.3         3631.2          0.374          0.784        129.032          2.314           8.40           47.7          5.868            245
     01/11/1966            305           1966        263.800          263.526          0.000        10418.2         3807.3          0.365          0.776        138.475          2.252           8.57           44.1         20.308            255
     18/10/1967            291           1967        157.200          157.200          0.000         6279.6         2546.5          0.406          0.811         76.118          2.417           6.15           78.5          1.221            240
     01/11/1968            306           1968        446.600          434.308          0.000        11039.1         3765.1          0.341          0.758        143.916          2.462           9.27           29.0        166.445            255
     25/10/1969            298           1969        265.500          261.462          0.000        10818.0         3603.0          0.333          0.765        151.545          2.522           9.09           37.0         16.707            244
     28/10/1970            301           1970        273.800          273.359          0.000        10502.3         3655.0          0.348          0.776        130.149          2.523           9.22           38.4         30.306            248
     28/10/1971            301           1971        314.600          313.946          0.000        10747.4         3635.0          0.338          0.763        132.342          2.636           9.58           31.4         67.430            248
     14/10/1972            288           1972        193.900          193.900          0.000         9819.6         3599.8          0.367          0.778        124.183          2.235           8.04           50.9          5.915            238
     19/10/1973            292           1973        339.800          334.864          0.000        11046.3         3827.9          0.347          0.770        136.572          2.485           9.51           32.4         97.602            242
     26/10/1974            299           1974        337.400          334.221          0.000        10544.5         3636.7          0.345          0.767        118.580          2.592           9.43           32.2        109.488            244
     14/10/1975            287           1975        277.000          276.725          0.000         8353.5         2867.4          0.343          0.723        101.759          2.879           8.25           49.8         73.293            235
     25/10/1976            299           1976        198.000          198.000          0.000         6010.8         2397.8          0.399          0.816         68.773          2.788           6.69           69.0         30.986            245
     17/10/1977            290           1977        190.300          190.300          0.000         7668.8         3144.0          0.410          0.814         96.823          2.294           7.21           62.1          4.571            238
     26/10/1978            299           1978        417.900          400.592          0.000        11299.1         3819.0          0.338          0.759        134.771          2.376           9.07           29.3        159.620            248
