Summary_file = Gunnedah1500.sum
Title = Gunnedah 1500mm wet soil
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     03/11/1957            307           1957         85.200           85.200          0.001      10888.806       3113.090          0.286          0.685        190.884          2.890          8.997         36.864         27.170            267
     03/11/1958            307           1958        283.500          266.629          0.001      16158.433       5779.139          0.358          0.760        266.683          1.968         11.375         30.636         98.071            260
     03/11/1959            307           1959        178.900          178.900          0.001      12574.612       4851.468          0.386          0.794        215.665          2.251         10.921         34.538         57.053            259
     06/11/1960            311           1960        211.300          211.300          0.001      13524.228       4675.813          0.346          0.781        228.709          2.416         11.296         31.535         66.467            268
     29/10/1961            302           1961        187.800          187.800          0.001      12671.824       4007.594          0.316          0.786        215.047          2.839         11.377         31.837         54.805            264
     04/11/1962            308           1962        265.300          265.048          0.001      12737.029       5319.834          0.418          0.811        237.126          2.226         11.841         38.324        103.536            262
     04/11/1963            308           1963        215.300          215.057          0.001      12726.485       4769.030          0.375          0.794        220.367          2.288         10.912         37.260         64.639            266
     08/11/1964            313           1964        276.400          271.570          0.001      15239.759       5478.632          0.359          0.756        264.247          2.019         11.060         31.334         79.346            265
     21/10/1965            294           1965        140.800          140.800          0.001       7423.886       2801.169          0.377          0.805        141.059          2.826          7.917        109.513         97.133            256
     01/11/1966            305           1966        269.000          265.808          0.001      14539.547       5584.676          0.384          0.776        218.149          2.044         11.417         35.104        127.275            261
     23/10/1967            296           1967        198.500          198.094          0.001      12072.145       4097.173          0.339          0.796        189.094          2.665         10.917         37.691         88.390            258
     05/11/1968            310           1968        217.600          217.600          0.001      17037.998       6152.354          0.361          0.749        251.574          1.857         11.423         27.483         60.448            268
     29/10/1969            302           1969        367.300          358.519          0.001      16156.712       5545.624          0.343          0.739        242.144          1.941         10.764         28.302        193.595            255
     29/10/1970            302           1970        206.200          205.970          0.001      10890.461       4273.871          0.392          0.778        186.382          2.876         12.292         40.565        102.718            260
     26/10/1971            299           1971        178.800          178.305          0.001      12975.666       4859.175          0.374          0.795        212.665          2.443         11.871         37.764         83.506            258
     17/10/1972            291           1972         80.700           80.700          0.001       7036.208       1711.056          0.243          0.563        136.817          1.348          2.307        166.153         66.994            251
     17/10/1973            290           1973        266.000          265.308          0.001      11778.289       4169.630          0.354          0.767        182.639          2.878         11.999         41.475        159.231            246
     31/10/1974            304           1974        163.200          162.695          0.001      13488.438       5271.008          0.391          0.794        199.829          2.132         11.239         33.377         60.648            259
     21/10/1975            294           1975        207.200          204.415          0.001      14296.812       5382.758          0.377          0.782        215.959          2.099         11.298         31.433         97.443            252
     30/10/1976            304           1976        246.800          246.800          0.001      16666.479       5919.713          0.355          0.752        241.171          1.941         11.489         26.582        102.486            256
     26/10/1977            299           1977        199.400          192.670          0.001      12954.320       4261.753          0.329          0.760        212.266          2.350         10.016         35.254         70.002            260
