APSIM output file, version = 5.4
Title = Latham 200mm wet soil SandGravel
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     14/10/1957            287           1957        225.200          225.063          0.000       7663.965       2502.141          0.326          0.774        115.076          2.470          6.181         39.918          9.205            242
     19/10/1958            292           1958        405.300          336.253          0.000      10662.619       3964.409          0.372          0.747        156.815          1.722          6.825         17.888         76.488            242
     05/10/1959            278           1959        227.400          225.832          0.000       7388.245       2843.920          0.385          0.796        128.600          2.217          6.306         41.415         17.694            233
     20/10/1960            294           1960        256.300          256.300          0.000       8770.065       3346.259          0.382          0.799        130.565          2.318          7.757         18.627         15.130            248
     10/10/1961            283           1961        208.300          205.369          0.000       7432.417       2401.027          0.323          0.781        110.856          2.679          6.432         35.824          7.841            241
     14/10/1962            287           1962        243.100          241.710          0.000       6937.557       2226.547          0.321          0.761        112.431          2.415          5.377         51.574         27.353            240
     10/10/1963            283           1963        324.100          310.419          0.000       8666.345       3392.102          0.391          0.791        129.688          2.037          6.909         29.364         65.034            240
     15/10/1964            289           1964        282.800          282.800          0.000       9374.024       3542.549          0.378          0.768        133.237          1.899          6.727         33.332         50.186            237
     15/10/1965            288           1965        254.600          254.600          0.000       9035.680       3387.911          0.375          0.793        128.307          2.223          7.530         21.867         20.900            242
     22/10/1966            295           1966        163.400          163.400          0.000       5157.011       1549.306          0.300          0.666         69.921          2.895          4.485         48.941          2.487            248
     14/10/1967            287           1967        244.800          244.800          0.000       8596.262       2710.344          0.315          0.755        122.792          2.304          6.245         36.240         11.076            242
     24/10/1968            298           1968        250.600          250.600          0.000       8301.687       2547.548          0.307          0.750        110.795          2.371          6.039         38.833         22.366            250
     14/10/1969            287           1969        124.100          124.100          0.000       4117.440        993.627          0.241          0.517         61.391          2.896          2.878         61.452          1.911            244
     16/10/1970            289           1970        219.800          219.800          0.000       5783.849       2162.292          0.374          0.708         90.386          2.901          6.273         29.513          9.700            242
     23/10/1971            296           1971        148.500          148.500          0.000       1304.616        451.515          0.346          0.405         21.333          2.877          1.299        102.237          3.409            248
     15/10/1972            289           1972        268.100          268.099          0.000       9088.172       3592.771          0.395          0.793        133.315          2.013          7.232         26.397         38.838            241
     18/10/1973            291           1973        262.300          262.226          0.000       9401.563       3784.633          0.403          0.788        128.515          1.967          7.444         21.866         16.476            244
     14/10/1974            287           1974        240.000          240.000          0.000       8954.359       3146.005          0.351          0.770        130.410          2.143          6.742         29.788         25.563            243
     17/10/1975            290           1975        180.500          180.500          0.000       3755.967       1164.913          0.310          0.551         52.892          2.898          3.375         62.866         24.736            242
     06/10/1976            280           1976        104.500          104.500          0.000       1308.324        436.533          0.334          0.368         20.942          2.892          1.262         99.661          1.504            233
     08/10/1977            281           1977        126.000          126.000          0.000       3138.174       1176.638          0.375          0.722         51.602          2.879          3.388         82.218          7.454            233
     19/10/1978            292           1978        176.000          176.000          0.000       6399.512       2272.029          0.355          0.763         88.472          2.890          6.566         28.150          6.191            245
     17/10/1979            290           1979         98.700           98.700          0.000       2563.570        709.126          0.277          0.486         38.023          2.897          2.054         86.493          0.945            243
     13/10/1980            287           1980        147.500          147.500          0.000       3529.358        819.425          0.232          0.553         44.988          2.881          2.361         80.392          1.125            242
     16/10/1981            289           1981        210.300          210.300          0.000       7979.100       2509.200          0.314          0.767        109.232          2.553          6.405         31.007          9.506            247
     12/10/1982            285           1982        159.700          159.700          0.000       3411.322        935.237          0.274          0.437         51.720          2.907          2.719         59.540         22.658            241
     05/10/1983            278           1983        225.900          225.900          0.000       8209.751       3090.205          0.376          0.800        126.462          2.513          7.766         22.634         20.497            233
     18/10/1984            292           1984        157.000          157.000          0.000       4457.078       1320.204          0.296          0.558         57.705          2.891          3.817         51.031          3.016            246
     08/10/1985            281           1985        130.400          130.400          0.000       2572.755        687.912          0.267          0.548         35.787          2.896          1.993         92.377          1.433            236
     24/10/1986            297           1986        181.400          181.400          0.000       6868.688       1928.129          0.281          0.702         84.623          2.901          5.593         34.350          4.039            249
     06/10/1987            279           1987        133.400          133.400          0.000       2955.120        922.901          0.312          0.524         43.815          2.904          2.680         76.481          8.937            237
     11/10/1988            285           1988        238.700          232.777          0.000       8599.240       3085.624          0.359          0.785        122.846          2.276          7.023         29.112          9.742            237
     18/10/1989            291           1989        175.400          172.999          0.000       6027.606       1548.215          0.257          0.699         88.751          2.892          4.477         50.301          3.947            246
     21/10/1990            294           1990        188.700          188.700          0.000       4874.752       1404.358          0.288          0.615         63.400          2.900          4.073         50.624         16.835            249
