APSIM output file, version = 5.4
Title = Emerald 1500mm wet soil Early sowing
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     14/09/1957            257           1957        178.000          178.000          0.000       9309.362       3079.352          0.331          0.731        195.213          2.010          6.191         30.717         19.276            215
     04/09/1958            247           1958         66.700           66.681          0.000       6157.047       1644.096          0.267          0.677        137.048          2.893          4.756         41.464          8.831            209
     12/09/1959            255           1959         91.600           85.492          0.000       6993.918       1892.852          0.271          0.731        130.805          2.799          5.298         39.868         21.509            212
     19/09/1960            263           1960         48.400           48.400          0.000       5630.856       1441.085          0.256          0.706        109.068          2.881          4.152         48.693          7.250            221
     18/09/1961            261           1961         53.000           53.000          0.000       5545.397       1381.128          0.249          0.676        114.224          2.892          3.994         48.344          7.416            218
     11/09/1962            254           1962         69.100           68.804          0.000       6359.433       1649.642          0.259          0.713        124.530          2.859          4.716         41.725         15.110            211
     17/09/1963            260           1963         69.100           69.100          0.000       5969.192       2402.694          0.403          0.815        131.935          2.477          5.950         52.303         10.890            219
     10/09/1964            254           1964         65.400           65.400          0.000       6270.992       1664.822          0.265          0.684        131.781          2.892          4.815         39.688          7.395            211
     15/09/1965            258           1965         16.300           16.300          0.000       5000.613       1245.118          0.249          0.692        105.980          2.547          3.171         72.112          9.438            219
     17/09/1966            260           1966        178.600          177.468          0.000       7284.031       2677.972          0.368          0.766        142.985          2.289          6.130         31.380         61.475            218
     17/09/1967            260           1967        172.200          160.838          0.000       9365.708       3008.804          0.321          0.723        178.551          1.972          5.932         30.190         23.112            214
     19/09/1968            263           1968        219.000          130.725          0.000       6840.545       1839.821          0.269          0.725        125.152          2.646          4.868         35.468         31.050            222
     04/09/1969            247           1969         49.500           49.500          0.000       5593.936       1449.614          0.259          0.671        117.115          2.893          4.194         51.372          8.094            208
     13/09/1970            256           1970         18.500           18.500          0.000       4287.441       1207.942          0.282          0.682        103.338          2.012          2.430         85.697          8.451            215
     14/09/1971            257           1971        133.000          132.786          0.000       5919.212       2317.468          0.392          0.792        125.583          2.910          6.743         34.951         43.901            219
     11/09/1972            255           1972         32.900           32.900          0.000       4789.807       1177.928          0.246          0.655        109.929          2.885          3.398         63.418          8.567            214
     30/08/1973            242           1973        179.900          178.709          0.000       8814.484       3347.156          0.380          0.783        188.285          2.115          7.079         32.420         19.205            203
     17/09/1974            260           1974         85.300           85.295          0.000       5368.319       1471.870          0.274          0.641        122.466          2.909          4.282         40.511         11.462            218
     07/09/1975            250           1975        114.500          114.500          0.000       5776.344       1789.195          0.310          0.764        131.520          2.883          5.159         45.338         25.012            210
     13/09/1976            257           1976         73.500           73.427          0.000       5331.914       1368.706          0.257          0.679        115.099          2.891          3.957         50.284         17.166            213
     11/09/1977            254           1977        206.100           73.319          0.000       5428.979       1405.959          0.259          0.709        114.217          2.873          4.040         41.973         21.624            214
     13/09/1978            256           1978        256.600          252.585          0.000      10061.337       3560.334          0.354          0.738        194.251          1.848          6.579         30.035         70.372            214
