APSIM output file, version = 5.3
Title = Mingenew 300mm wet soil Sand
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     07/10/1957            280           1957        332.800          326.060          0.001      10330.440       3681.418          0.356          0.745        179.157          1.890          6.958         44.258         39.909            236
     09/10/1958            282           1958        483.800          444.594          0.001      10978.187       3749.739          0.342          0.715        167.538          1.803          6.761         37.384        163.666            233
     29/09/1959            272           1959        217.500          216.279          0.001       7073.934       2663.984          0.377          0.801        125.460          2.429          6.471         59.240          2.084            226
     14/10/1960            288           1960        300.100          299.675          0.001      10757.640       4173.295          0.388          0.755        175.774          1.690          7.052         38.850         28.646            242
     05/10/1961            278           1961        236.900          234.447          0.001       8618.087       3455.878          0.401          0.794        134.995          2.004          6.924         49.888          2.496            234
     07/10/1962            280           1962        312.800          309.650          0.001       8227.057       3360.446          0.408          0.772        143.025          1.864          6.263         58.193         52.422            233
     03/10/1963            276           1963        445.900          337.938          0.001       6939.247       2388.963          0.344          0.760        103.254          2.355          5.625         42.739        118.077            231
     07/10/1964            281           1964        403.100          355.518          0.001       9990.161       3303.777          0.331          0.721        148.808          1.897          6.268         41.435        103.387            230
     07/10/1965            280           1965        400.300          384.379          0.001      10007.456       3342.595          0.334          0.733        166.237          2.026          6.772         43.984        106.323            232
     14/10/1966            287           1966        247.300          247.300          0.001       7593.547       2973.768          0.392          0.790        123.754          2.136          6.351         59.237          7.637            240
     07/10/1967            280           1967        355.200          347.541          0.001      10937.821       4033.104          0.369          0.757        189.771          1.824          7.356         41.189         27.034            233
     16/10/1968            290           1968        420.500          375.963          0.001      12063.054       3913.458          0.324          0.683        194.289          1.558          6.098         41.656         51.868            241
     08/10/1969            281           1969        189.700          187.245          0.001       6308.870       1699.394          0.269          0.692        110.707          2.376          4.037         75.170          1.009            236
     07/10/1970            280           1970        281.600          278.342          0.001       8293.135       3193.127          0.385          0.803        135.545          2.312          7.383         46.535         26.126            231
     16/10/1971            289           1971        258.900          257.613          0.001       7807.068       3195.780          0.409          0.790        131.852          1.997          6.380         55.734          6.467            241
     01/10/1972            275           1972        291.700          291.693          0.001       8216.990       2997.392          0.365          0.787        136.184          2.500          7.494         44.713         51.541            230
     10/10/1973            283           1973        316.100          316.100          0.001      10129.921       3474.948          0.343          0.742        165.244          1.989          6.910         46.308         32.239            235
     05/10/1974            278           1974        343.300          342.877          0.001      10090.386       3694.317          0.366          0.748        167.793          1.922          7.100         40.885         77.548            235
     07/10/1975            280           1975        290.500          290.077          0.001       9721.740       3845.465          0.396          0.766        160.773          1.809          6.956         48.121         26.172            234
     29/09/1976            273           1976        147.100          147.100          0.001       2595.171        898.210          0.346          0.474         43.426          2.876          2.583         91.444          6.719            226
     01/10/1977            274           1977        158.600          158.600          0.001       3067.068       1114.128          0.363          0.647         50.771          2.877          3.205         95.127         19.275            227
     11/10/1978            284           1978        300.500          300.385          0.001      11300.811       4188.203          0.371          0.736        172.498          1.658          6.943         41.712         20.304            236
     10/10/1979            283           1979        161.100          161.062          0.001       4254.375       1571.045          0.369          0.724         68.565          2.878          4.521         75.904          1.243            236
     05/10/1980            279           1980        223.700          223.700          0.001       7845.716       2739.164          0.349          0.779        120.313          2.327          6.373         56.132          0.861            234
     09/10/1981            282           1981        331.300          326.433          0.001       9684.669       3596.155          0.371          0.749        153.262          1.928          6.932         43.527         74.519            238
     05/10/1982            278           1982        240.300          238.245          0.001       6527.479       2068.275          0.317          0.745        105.066          2.500          5.170         67.244         33.487            233
     27/09/1983            270           1983        294.500          293.845          0.001       8417.095       3001.622          0.357          0.785        138.851          2.510          7.534         44.448         52.176            225
     09/10/1984            283           1984        223.200          222.973          0.001       7231.612       2399.299          0.332          0.760        101.248          2.612          6.266         56.173          9.058            236
     01/10/1985            274           1985        195.400          195.400          0.001       5495.287       2309.937          0.420          0.836         86.519          2.603          6.013         72.441          9.066            228
     14/10/1986            287           1986        352.100          344.292          0.001      12249.587       3956.548          0.323          0.679        182.161          1.529          6.049         44.162         65.485            240
     01/10/1987            274           1987        182.000          181.938          0.001       5756.728       1907.130          0.331          0.770         89.565          2.649          5.052         76.117          3.180            229
     02/10/1988            276           1988        314.000          301.996          0.001       9442.486       3320.170          0.352          0.757        154.079          2.159          7.168         44.251         33.287            229
     10/10/1989            283           1989        230.000          228.839          0.001       7474.271       2228.622          0.298          0.729        122.753          2.252          5.020         64.578          2.902            237
     13/10/1990            286           1990        386.700          382.318          0.001       8396.568       2908.953          0.346          0.757        120.721          2.178          6.335         50.373        145.991            243
     04/10/1991            277           1991        232.500          232.409          0.001       7727.424       2995.639          0.388          0.802        121.571          2.341          7.014         51.416          2.791            229
     10/10/1992            284           1992        328.800          328.205          0.001       9457.911       2925.987          0.309          0.726        139.590          2.334          6.829         45.025         75.678            231
     13/10/1993            286           1993        259.400          259.310          0.001      10126.904       3659.507          0.361          0.741        156.269          1.744          6.384         48.761          1.628            237
     27/09/1994            270           1994        245.200          243.717          0.001       7765.239       3069.622          0.395          0.815        139.981          2.329          7.149         51.834          2.544            227
     07/10/1995            280           1995        246.000          245.720          0.001       8959.719       3482.378          0.389          0.776        149.792          1.895          6.600         50.069          3.747            235
     29/09/1996            273           1996        362.000          361.738          0.001       7585.764       2556.750          0.337          0.767        113.430          2.805          7.171         45.753        131.507            226
     06/10/1997            279           1997        274.400          270.629          0.001       6748.255       2167.101          0.321          0.691        117.887          2.877          6.235         55.168         31.662            233
     06/10/1998            279           1998        300.600          296.896          0.001       9903.851       3441.414          0.347          0.755        154.062          2.220          7.641         37.541         31.197            231
     04/10/1999            277           1999        465.200          375.941          0.001       8300.760       3029.198          0.365          0.770        143.576          2.337          7.079         47.933         93.323            230
     03/10/2000            277           2000        201.700          201.700          0.001       6735.297       2860.889          0.425          0.822        106.844          2.204          6.305         65.868          1.282            231
     06/10/2001            279           2001        215.100          215.100          0.001       3881.817       1431.290          0.369          0.773         71.425          2.891          4.138         87.777         40.199            232
     01/10/2002            274           2002        148.600          148.600          0.001       1893.111        595.304          0.314          0.609         31.337          2.911          1.733        118.905          0.093            226
