Summary_file = SugarWT.sum
Title = APSwim Sample Simulation
           date        WTdepth       drain230            lai             ep     root_depth    nfact_photo    swdef_photo           sw50          sw100          sw140          sw200       uptake50      uptake100      uptake140      uptake200
             ()             ()        (kg/ha)      (m^2/m^2)           (mm)           (mm)             ()             ()        (cc/cc)        (cc/cc)        (cc/cc)        (cc/cc)           (mm)           (mm)           (mm)           (mm)
     01/01/2000        130.000        -72.561          0.000          0.000          0.000          0.000          0.000          0.342          0.340          0.398          0.399          0.000          0.000          0.000          0.000
     02/01/2000        130.000         -8.740          0.000          0.000          0.000          0.000          0.000          0.342          0.361          0.408          0.399          0.000          0.000          0.000          0.000
     03/01/2000        130.000         -2.004          0.000          0.000          0.000          0.000          0.000          0.342          0.366          0.408          0.399          0.000          0.000          0.000          0.000
     04/01/2000        130.000         -1.495          0.000          0.000          0.000          0.000          0.000          0.387          0.369          0.408          0.399          0.000          0.000          0.000          0.000
     05/01/2000        130.000         -1.112          0.000          0.000          0.000          0.000          0.000          0.387          0.371          0.408          0.399          0.000          0.000          0.000          0.000
     06/01/2000        130.000         -0.757          0.000          0.000          0.000          0.000          0.000          0.385          0.373          0.408          0.399          0.000          0.000          0.000          0.000
     07/01/2000        130.000         -0.396          0.000          0.000          0.000          0.000          0.000          0.383          0.376          0.408          0.399          0.000          0.000          0.000          0.000
     08/01/2000        130.000         -0.001          0.000          0.000          0.000          0.000          0.000          0.381          0.378          0.408          0.399          0.000          0.000          0.000          0.000
     09/01/2000        130.000          0.377          0.000          0.000          0.000          0.000          0.000          0.380          0.379          0.408          0.399          0.000          0.000          0.000          0.000
     10/01/2000        130.000          0.661          0.000          0.000          0.000          0.000          0.000          0.378          0.380          0.408          0.399          0.000          0.000          0.000          0.000
     11/01/2000        130.000          0.818          0.000          0.000          0.000          0.000          0.000          0.377          0.380          0.408          0.399          0.000          0.000          0.000          0.000
     12/01/2000        130.000          1.929          0.000          0.000          0.000          0.000          0.000          0.398          0.394          0.408          0.399          0.000          0.000          0.000          0.000
     13/01/2000        130.000         27.527          0.000          0.000          0.000          0.000          0.000          0.398          0.385          0.408          0.399          0.000          0.000          0.000          0.000
     14/01/2000        130.000         18.530          0.000          0.000          0.000          0.000          0.000          0.398          0.381          0.408          0.399          0.000          0.000          0.000          0.000
     15/01/2000        130.000          6.339          0.000          0.000          0.000          0.000          0.000          0.391          0.392          0.408          0.399          0.000          0.000          0.000          0.000
     16/01/2000        130.000          4.599          0.000          0.000          0.000          0.000          0.000          0.388          0.389          0.408          0.399          0.000          0.000          0.000          0.000
     17/01/2000        130.000          3.683          0.000          0.000          0.000          0.000          0.000          0.398          0.391          0.408          0.399          0.000          0.000          0.000          0.000
     18/01/2000        130.000          4.946          0.000          0.000          0.000          0.000          0.000          0.397          0.393          0.408          0.399          0.000          0.000          0.000          0.000
     19/01/2000        130.000          5.627          0.000          0.000          0.000          0.000          0.000          0.393          0.392          0.408          0.399          0.000          0.000          0.000          0.000
     20/01/2000        130.000          4.762          0.000          0.000          0.000          0.000          0.000          0.390          0.390          0.408          0.399          0.000          0.000          0.000          0.000
     21/01/2000        130.000          3.766          0.000          0.000          0.000          0.000          0.000          0.386          0.387          0.408          0.399          0.000          0.000          0.000          0.000
     22/01/2000        130.000          2.925          0.000          0.000          0.000          0.000          0.000          0.384          0.386          0.408          0.399          0.000          0.000          0.000          0.000
     23/01/2000        130.000          2.309          0.000          0.000          0.000          0.000          0.000          0.382          0.384          0.408          0.399          0.000          0.000          0.000          0.000
     24/01/2000        130.000          1.878          0.000          0.000          0.000          0.000          0.000          0.380          0.383          0.408          0.399          0.000          0.000          0.000          0.000
     25/01/2000        130.000          1.571          0.000          0.000          0.000          0.000          0.000          0.378          0.382          0.408          0.399          0.000          0.000          0.000          0.000
     26/01/2000        130.000         15.611          0.000          0.000          0.000          0.000          0.000          0.399          0.385          0.408          0.399          0.000          0.000          0.000          0.000
     27/01/2000        130.000          7.362          0.000          0.000          0.000          0.000          0.000          0.392          0.392          0.408          0.399          0.000          0.000          0.000          0.000
     28/01/2000        130.000          4.737          0.000          0.000          0.000          0.000          0.000          0.388          0.389          0.408          0.399          0.000          0.000          0.000          0.000
     29/01/2000        130.000          3.615          0.000          0.000          0.000          0.000          0.000          0.386          0.387          0.408          0.399          0.000          0.000          0.000          0.000
     30/01/2000        130.000         13.045          0.000          0.000          0.000          0.000          0.000          0.398          0.382          0.408          0.399          0.000          0.000          0.000          0.000
     31/01/2000        130.000          7.869          0.000          0.000          0.000          0.000          0.000          0.398          0.397          0.408          0.399          0.000          0.000          0.000          0.000
     01/02/2000        130.000         12.872          0.000          0.000          0.000          0.000          0.000          0.398          0.381          0.408          0.399          0.000          0.000          0.000          0.000
     02/02/2000        130.000         15.194          0.000          0.000          0.000          0.000          0.000          0.398          0.381          0.408          0.399          0.000          0.000          0.000          0.000
     03/02/2000        130.000         11.819          0.000          0.000          0.000          0.000          0.000          0.398          0.383          0.408          0.399          0.000          0.000          0.000          0.000
     04/02/2000        130.000          6.572          0.000          0.000          0.000          0.000          0.000          0.394          0.392          0.408          0.399          0.000          0.000          0.000          0.000
     05/02/2000        130.000         45.204          0.000          0.000          0.000          0.000          0.000          0.401          0.397          0.408          0.399          0.000          0.000          0.000          0.000
     06/02/2000        130.000         47.861          0.000          0.000          0.000          0.000          0.000          0.401          0.396          0.408          0.399          0.000          0.000          0.000          0.000
     07/02/2000        130.000         75.378          0.000          0.000          0.000          0.000          0.000          0.410          0.414          0.408          0.399          0.000          0.000          0.000          0.000
     08/02/2000        130.000         76.978          0.000          0.000          0.000          0.000          0.000          0.407          0.414          0.408          0.399          0.000          0.000          0.000          0.000
     09/02/2000        130.000         37.865          0.000          0.000          0.000          0.000          0.000          0.398          0.387          0.408          0.399          0.000          0.000          0.000          0.000
     10/02/2000        130.000          8.566          0.000          0.000          0.000          0.000          0.000          0.398          0.397          0.408          0.399          0.000          0.000          0.000          0.000
     11/02/2000        130.000         35.188          0.000          0.000          0.000          0.000          0.000          0.399          0.389          0.408          0.399          0.000          0.000          0.000          0.000
     12/02/2000        130.000         26.113          0.000          0.000          0.000          0.000          0.000          0.398          0.384          0.408          0.399          0.000          0.000          0.000          0.000
     13/02/2000        130.000          6.999          0.000          0.000          0.000          0.000          0.000          0.395          0.392          0.408          0.399          0.000          0.000          0.000          0.000
     14/02/2000        130.000          5.051          0.000          0.000          0.000          0.000          0.000          0.390          0.390          0.408          0.399          0.000          0.000          0.000          0.000
     15/02/2000        130.000          4.099          0.000          0.000          0.000          0.000          0.000          0.387          0.388          0.408          0.399          0.000          0.000          0.000          0.000
     16/02/2000        130.000          3.144          0.000          0.000          0.000          0.000          0.000          0.384          0.386          0.408          0.399          0.000          0.000          0.000          0.000
     17/02/2000        130.000          2.439          0.000          0.000          0.000          0.000          0.000          0.387          0.385          0.408          0.399          0.000          0.000          0.000          0.000
     18/02/2000        130.000          2.001          0.000          0.000          0.000          0.000          0.000          0.387          0.384          0.408          0.399          0.000          0.000          0.000          0.000
     19/02/2000        130.000         30.156          0.000          0.000          0.000          0.000          0.000          0.399          0.390          0.408          0.399          0.000          0.000          0.000          0.000
     20/02/2000        130.000         20.850          0.000          0.000          0.000          0.000          0.000          0.398          0.383          0.408          0.399          0.000          0.000          0.000          0.000
     21/02/2000        130.000         20.203          0.000          0.000          0.000          0.000          0.000          0.398          0.383          0.408          0.399          0.000          0.000          0.000          0.000
     22/02/2000        130.000          6.878          0.000          0.000          0.000          0.000          0.000          0.396          0.393          0.408          0.399          0.000          0.000          0.000          0.000
     23/02/2000        130.000         17.948          0.000          0.000          0.000          0.000          0.000          0.398          0.383          0.408          0.399          0.000          0.000          0.000          0.000
     24/02/2000        130.000         18.716          0.000          0.000          0.000          0.000          0.000          0.398          0.383          0.408          0.399          0.000          0.000          0.000          0.000
     25/02/2000        130.000         47.749          0.000          0.000          0.000          0.000          0.000          0.401          0.398          0.408          0.399          0.000          0.000          0.000          0.000
     26/02/2000        130.000         37.527          0.000          0.000          0.000          0.000          0.000          0.399          0.389          0.408          0.399          0.000          0.000          0.000          0.000
     27/02/2000        130.000         33.680          0.000          0.000          0.000          0.000          0.000          0.399          0.387          0.408          0.399          0.000          0.000          0.000          0.000
     28/02/2000        130.000         47.924          0.000          0.000          0.000          0.000          0.000          0.401          0.397          0.408          0.399          0.000          0.000          0.000          0.000
     29/02/2000        130.000         43.562          0.000          0.000          0.000          0.000          0.000          0.400          0.393          0.408          0.399          0.000          0.000          0.000          0.000
     01/03/2000        130.000         48.963          0.000          0.000          0.000          0.000          0.000          0.401          0.397          0.408          0.399          0.000          0.000          0.000          0.000
     02/03/2000        130.000         36.803          0.000          0.000          0.000          0.000          0.000          0.399          0.388          0.408          0.399          0.000          0.000          0.000          0.000
     03/03/2000        130.000          9.617          0.000          0.000          0.000          0.000          0.000          0.398          0.397          0.408          0.399          0.000          0.000          0.000          0.000
     04/03/2000        130.000          7.590          0.000          0.000          0.000          0.000          0.000          0.396          0.394          0.408          0.399          0.000          0.000          0.000          0.000
     05/03/2000        130.000          5.901          0.000          0.000          0.000          0.000          0.000          0.391          0.392          0.408          0.399          0.000          0.000          0.000          0.000
     06/03/2000        130.000          4.520          0.000          0.000          0.000          0.000          0.000          0.387          0.389          0.408          0.399          0.000          0.000          0.000          0.000
     07/03/2000        130.000          3.350          0.000          0.000          0.000          0.000          0.000          0.384          0.386          0.408          0.399          0.000          0.000          0.000          0.000
     08/03/2000        130.000          2.534          0.000          0.000          0.000          0.000          0.000          0.382          0.385          0.408          0.399          0.000          0.000          0.000          0.000
     09/03/2000        130.000          2.012          0.000          0.000          0.000          0.000          0.000          0.395          0.384          0.408          0.399          0.000          0.000          0.000          0.000
     10/03/2000        130.000         41.269          0.000          0.000          0.000          0.000          0.000          0.401          0.396          0.408          0.399          0.000          0.000          0.000          0.000
