Summary_file = sorghum.sum
Title = sorghum Sample Simulation
           year     dd/mm/yyyy            das          stage            lai        biomass          yield      biomass_n    swdef_expan    nfact_expan    swdef_pheno    nfact_pheno   dlt_dm_light   dlt_dm_water         dlt_dm  extinct_coeff
         (year)             ()         (days)             ()        (m2/m2)        (kg/ha)        (kg/ha)         (g/m2)             ()             ()             ()             ()        (g/m^2)        (g/m^2)        (g/m^2)            (?)
           1989     01/11/1989              1          1.999          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000              ?
           1989     02/11/1989              2          2.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000              ?
           1989     03/11/1989              3          2.303          0.000          0.000          0.000          0.000          1.000          1.000          1.000          0.000          0.000          0.029          0.000              ?
           1989     04/11/1989              4          2.630          0.000          0.000          0.000          0.000          1.000          1.000          1.000          0.000          0.000          0.135          0.000              ?
           1989     05/11/1989              5          2.964          0.000          0.000          0.000          0.000          1.000          1.000          1.000          0.000          0.000          0.514          0.000              ?
           1989     06/11/1989              6          3.000          0.002         20.000          0.000          0.035          1.000          1.000          1.000          1.000          0.000          1.764          0.000              ?
           1989     07/11/1989              7          3.168          0.020         20.138          0.000          0.060          1.000          1.000          1.000          1.000          0.014          3.464          0.014              ?
           1989     08/11/1989              8          3.252          0.021         22.455          0.000          0.074          1.000          1.000          1.000          1.000          0.232          3.417          0.232              ?
           1989     09/11/1989              9          3.356          0.030         25.223          0.000          0.087          1.000          1.000          1.000          1.000          0.277          3.521          0.277              ?
           1989     10/11/1989             10          3.450          0.038         28.266          0.000          0.098          1.000          1.000          1.000          1.000          0.304          5.211          0.304              ?
           1989     11/11/1989             11          3.555          0.047         31.707          0.000          0.110          1.000          1.000          1.000          1.000          0.344          9.289          0.344              ?
           1989     12/11/1989             12          3.667          0.056         37.165          0.000          0.122          1.000          1.000          1.000          1.000          0.546          8.770          0.546              ?
           1989     13/11/1989             13          3.788          0.067         42.422          0.000          0.135          1.000          1.000          1.000          1.000          0.526         11.705          0.526              ?
           1989     14/11/1989             14          3.920          0.081         49.819          0.000          0.152          1.000          1.000          1.000          1.000          0.740         14.003          0.740              ?
           1989     15/11/1989             15          4.000          0.097         58.984          0.000          0.173          1.000          1.000          1.000          1.000          0.916         14.497          0.916              ?
           1989     16/11/1989             16          4.128          0.117         69.463          0.000          0.199          1.000          1.000          1.000          1.000          1.048         16.063          1.048              ?
           1989     17/11/1989             17          4.231          0.143         82.351          0.000          0.232          1.000          1.000          1.000          1.000          1.289         17.006          1.289              ?
           1989     18/11/1989             18          4.333          0.174         94.275          0.000          0.271          1.000          1.000          1.000          1.000          1.192         27.126          1.192              ?
           1989     19/11/1989             19          4.425          0.208        107.276          0.000          0.316          1.000          1.000          1.000          1.000          1.300         43.293          1.300              ?
           1989     20/11/1989             20          4.498          0.239        126.343          0.000          0.363          1.000          1.000          1.000          1.000          1.907         56.064          1.907              ?
           1989     21/11/1989             21          4.564          0.271        152.135          0.000          0.416          1.000          1.000          1.000          1.000          2.579         40.223          2.579              ?
           1989     22/11/1989             22          4.629          0.306        181.260          0.000          0.472          1.000          1.000          1.000          1.000          2.912         46.498          2.912              ?
           1989     23/11/1989             23          4.687          0.340        208.555          0.000          0.528          1.000          1.000          1.000          1.000          2.730         51.973          2.730              ?
           1989     24/11/1989             24          4.766          0.391        243.266          0.000          0.601          1.000          1.000          1.000          1.000          3.471         51.639          3.471              ?
           1989     25/11/1989             25          4.845          0.450        285.002          0.000          0.686          1.000          1.000          1.000          1.000          4.174         54.050          4.174              ?
           1989     26/11/1989             26          4.914          0.507        330.682          0.000          0.777          1.000          1.000          1.000          1.000          4.568         53.344          4.568              ?
           1989     27/11/1989             27          4.993          0.579        383.071          0.000          0.882          1.000          1.000          1.000          1.000          5.239         60.144          5.239              ?
           1989     28/11/1989             28          5.000          0.643        442.090          0.000          0.989          1.000          1.000          1.000          1.000          5.902         60.302          5.902              ?
           1989     29/11/1989             29          5.067          0.714        510.846          0.000          1.108          1.000          1.000          1.000          1.000          6.876         55.579          6.876              ?
           1989     30/11/1989             30          5.103          0.793        589.446          0.000          1.243          1.000          1.000          1.000          1.000          7.860         50.349          7.860              ?
           1989     01/12/1989             31          5.140          0.880        675.019          0.000          1.392          1.000          1.000          1.000          1.000          8.557         48.737          8.557              ?
           1989     02/12/1989             32          5.185          0.992        766.957          0.000          1.570          1.000          1.000          1.000          1.000          9.194         42.781          9.194              ?
           1989     03/12/1989             33          5.238          1.131        861.704          0.000          1.778          1.000          1.000          1.000          1.000          9.475         49.070          9.475              ?
           1989     04/12/1989             34          5.292          1.281        953.107          0.000          2.011          1.000          1.000          1.000          1.000          9.140         50.203          9.140              ?
           1989     05/12/1989             35          5.337          1.406       1017.163          0.000          2.222          1.000          1.000          1.000          1.000          6.406        132.184          6.406              ?
           1989     06/12/1989             36          5.387          1.547       1140.504          0.000          2.472          1.000          1.000          1.000          1.000         12.334         67.396         12.334              ?
           1989     07/12/1989             37          5.439          1.691       1280.366          0.000          2.737          1.000          1.000          1.000          1.000         13.986         63.058         13.986              ?
           1989     08/12/1989             38          5.485          1.813       1429.833          0.000          2.994          1.000          1.000          1.000          1.000         14.947         71.817         14.947              ?
           1989     09/12/1989             39          5.527          1.921       1573.532          0.000          3.240          1.000          1.000          1.000          1.000         14.370         56.435         14.370              ?
           1989     10/12/1989             40          5.573          2.031       1743.599          0.000          3.490          1.000          1.000          1.000          1.000         17.007         54.862         17.007              ?
           1989     11/12/1989             41          5.622          2.138       1928.022          0.000          3.748          1.000          1.000          1.000          1.000         18.442         42.857         18.442              ?
           1989     12/12/1989             42          5.672          2.239       2112.697          0.000          3.999          1.000          1.000          1.000          1.000         18.467         43.368         18.467              ?
           1989     13/12/1989             43          5.726          2.333       2295.864          0.000          4.237          1.000          1.000          1.000          1.000         18.317         48.821         18.317              ?
           1989     14/12/1989             44          5.775          2.407       2421.395          0.000          4.431          1.000          1.000          1.000          1.000         12.553        101.356         12.553              ?
           1989     15/12/1989             45          5.816          2.461       2556.478          0.000          4.607          1.000          1.000          1.000          1.000         13.508        104.139         13.508              ?
           1989     16/12/1989             46          5.854          2.504       2716.347          0.000          4.788          1.000          1.000          1.000          1.000         15.987        130.773         15.987              ?
           1989     17/12/1989             47          5.888          2.539       2895.970          0.000          4.987          1.000          1.000          1.000          1.000         17.962        103.536         17.962              ?
           1989     18/12/1989             48          5.926          2.572       3098.580          0.000          5.211          1.000          1.000          1.000          1.000         20.261         79.092         20.261              ?
           1989     19/12/1989             49          5.966          2.601       3311.283          0.000          5.449          1.000          1.000          1.000          1.000         21.270         64.222         21.270              ?
           1989     20/12/1989             50          6.000          2.621       3531.491          0.000          5.700          1.000          1.000          1.000          1.000         22.021         48.449         22.021              ?
           1989     21/12/1989             51          6.150          2.611       3757.561          0.000          5.973          1.000          1.000          1.000          1.000         22.607         41.196         22.607              ?
           1989     22/12/1989             52          6.281          2.601       3955.856          0.000          6.191          1.000          1.000          1.000          1.000         19.829         49.280         19.829              ?
           1989     23/12/1989             53          6.403          2.591       4130.506          0.000          6.367          1.000          1.000          1.000          1.000         17.465         64.393         17.465              ?
           1989     24/12/1989             54          6.548          2.579       4320.064          0.000          6.531          1.000          1.000          1.000          1.000         18.956         86.228         18.956              ?
           1989     25/12/1989             55          6.672          2.567       4484.379          0.000          6.664          1.000          1.000          1.000          1.000         16.431        103.352         16.431              ?
           1989     26/12/1989             56          6.811          2.552       4680.908          0.000          6.810          1.000          1.000          1.000          1.000         19.653         66.396         19.653              ?
           1989     27/12/1989             57          6.951          2.536       4893.390          0.000          6.954          1.000          1.000          1.000          1.000         21.248         65.384         21.248              ?
           1989     28/12/1989             58          7.000          2.520       5104.468          0.000          7.089          1.000          1.000          1.000          1.000         21.108         67.634         21.108              ?
           1989     29/12/1989             59          7.973          2.504       5318.047          0.000          7.248          1.000          1.000          1.000          1.000         21.358         63.509         21.358              ?
           1989     30/12/1989             60          8.000          2.486       5529.406          0.000          7.269          1.000          1.000          1.000          1.000         21.136         64.013         21.136              ?
           1989     31/12/1989             61          8.056          2.468       5742.974         53.392          7.304          1.000          1.000          1.000          1.000         21.357         56.288         21.357              ?
           1990     01/01/1990             62          8.086          2.447       5957.729        107.081          7.367          1.000          1.000          1.000          1.000         21.475         50.829         21.475              ?
           1990     02/01/1990             63          8.120          2.426       6179.613        162.552          7.485          1.000          1.000          1.000          1.000         22.188         41.335         22.188              ?
           1990     03/01/1990             64          8.153          2.404       6399.133        217.432          7.653          1.000          1.000          1.000          1.000         21.952         39.430         21.952              ?
           1990     04/01/1990             65          8.189          2.380       6616.133        271.682          7.882          1.000          1.000          1.000          1.000         21.700         33.101         21.700              ?
           1990     05/01/1990             66          8.224          2.348       6796.926        516.305          8.065          1.000          1.000          1.000          1.000         18.079         63.132         18.079              ?
           1990     06/01/1990             67          8.257          2.316       6985.054        755.999          8.205          1.000          1.000          1.000          1.000         18.813         48.224         18.813              ?
           1990     07/01/1990             68          8.293          2.282       7179.735       1011.731          8.353          1.000          1.000          1.000          1.000         19.468         45.062         19.468              ?
           1990     08/01/1990             69          8.327          2.247       7376.908       1260.583          8.474          1.000          1.000          1.000          1.000         19.717         41.027         19.717              ?
           1990     09/01/1990             70          8.359          2.208       7560.795       1494.629          8.603          1.000          1.000          1.000          1.000         18.389         48.892         18.389              ?
           1990     10/01/1990             71          8.390          2.167       7732.478       1718.637          8.710          1.000          1.000          1.000          1.000         17.168         50.483         17.168              ?
           1990     11/01/1990             72          8.419          2.125       7864.047       1917.825          8.819          1.000          1.000          1.000          1.000         13.157         93.318         13.157              ?
           1990     12/01/1990             73          8.449          2.081       8020.412       2126.207          8.914          1.000          1.000          1.000          1.000         15.636         66.824         15.636              ?
           1990     13/01/1990             74          8.481          2.037       8179.398       2351.804          9.026          1.000          1.000          1.000          1.000         15.899         35.478         15.899              ?
           1990     14/01/1990             75          8.518          1.990       8335.061       2596.556          9.120          1.000          1.000          1.000          1.000         15.566         32.460         15.566              ?
