ApsimVersion = 6.1
Title = stock lablab SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm   dlt_dm_green    RootGreenWt    StemGreenWt    LeafGreenWt dlt_dm_senesced StemSenescedWt LeafSenescedWt dm_feed_on_offer() dm_feed_removed() herbage_trampling
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)                (?)               (?)               (?)
     03/11/1988          0.000             29          3.384          1.062          626.4            0.0        530.000          2.805        113.046           4.99           9.98          55.97          15.87          43.26            1.53           0.00           3.51            626.423             0.000             0.000
     04/11/1988          0.000             30          3.411          1.104          679.6            0.0        550.000          2.709        126.925           5.31          10.63          60.98          17.15          46.05            1.55           0.00           4.76            679.556             0.000             0.000
     05/11/1988          0.000             31          3.437          1.132          728.6            0.0        570.000          2.614        137.166           4.91           9.82          65.56          18.62          48.04            1.78           0.00           6.20            728.639             0.000             0.000
     06/11/1988          0.600             32          3.454          1.246          769.4            0.0        590.000          0.201        148.967           4.08           8.15          69.29          19.44          51.30            0.35           0.00           6.20            769.394             0.000             0.000
     07/11/1988          4.000             33          3.470          1.389          857.0            0.0        610.000          2.415        155.488           8.77          17.53          77.66          21.19          58.31            0.39           0.00           6.20            857.044             0.000             0.000
     08/11/1988          0.000             34          3.487          1.469          946.8            0.0        630.000          2.698        169.512           8.97          17.95          86.20          24.67          62.99            1.25           0.00           7.02            946.793             0.000             0.000
     09/11/1988          0.000             35          3.509          1.470         1001.1            0.0        650.000          2.550        197.385           5.43          10.87          91.18          27.39          63.63            2.54           0.00           9.10           1001.134             0.000             0.000
     10/11/1988          0.000             36          3.535          1.491         1057.8            0.0        670.000          2.520        219.092           5.67          11.34          96.36          29.31          65.36            2.50           0.00          11.11           1057.844             0.000             0.000
     11/11/1988          0.000             37          3.562          1.543         1123.4            0.0        690.000          2.499        234.508           6.56          13.12         102.41          30.74          68.66            2.35           0.00          12.94           1123.429             0.000             0.000
     12/11/1988          0.000             38          3.588          1.597         1194.1            0.0        710.000          2.480        245.902           7.06          14.13         108.92          32.47          72.13            2.41           0.00          14.81           1194.058             0.000             0.000
     13/11/1988          0.000             39          3.611          1.633         1263.6            0.0        730.000          2.461        259.735           6.96          13.91         115.30          34.97          74.55            2.61           0.00          16.84           1263.633             0.000             0.000
     14/11/1988          0.000             40          3.635          1.633         1316.0            0.0        750.000          2.441        279.771           5.23          10.47         119.93          37.10          75.09            3.17           0.00          19.41           1315.961             0.000             0.000
     15/11/1988          0.000             41          3.662          1.642         1370.6            0.0        770.000          2.419        296.807           5.47          10.94         124.77          39.00          76.08            3.21           0.00          21.99           1370.645             0.000             0.000
     16/11/1988         17.000             42          3.674          1.784         1446.4            0.0        790.000          1.385        311.976           7.58          15.16         131.69          40.51          82.14            0.66           0.00          21.99           1446.431             0.000             0.000
     17/11/1988          0.000             43          3.688          1.928         1557.6            0.0        810.000          3.582        324.102          11.12          22.24         142.10          43.60          90.17            0.71           0.00          21.99           1557.641             0.000             0.000
     18/11/1988          0.000             44          3.709          1.956         1636.9            0.0        830.000          3.442        348.818           7.93          15.86         149.28          46.88          92.21            3.36           0.00          24.60           1636.928             0.000             0.000
     19/11/1988          0.000             45          3.733          1.947         1695.3            0.0        850.000          3.234        375.064           5.84          11.68         154.34          49.44          92.24            4.03           0.00          27.86           1695.329             0.000             0.000
     20/11/1988          0.000             46          3.755          2.070         1795.8            0.0        870.000          3.107        395.531          10.04          20.09         163.56          51.45          98.61            2.49           0.00          29.52           1795.774             0.000             0.000
     21/11/1988          0.000             47          3.783          2.124         1866.9            0.0        890.000          2.982        411.603           7.11          14.22         169.82          52.87         101.33            3.82           0.00          32.49           1866.898             0.000             0.000
     22/11/1988          2.200             48          3.811          2.204         1939.8            0.0        910.000          2.972        422.982           7.29          14.57         176.22          54.33         104.30            3.74           0.00          35.34           1939.751             0.000             0.000
     23/11/1988          0.000             49          3.835          2.174         1989.8            0.0        930.000          2.781        434.639           5.01          10.02         180.32          56.42         103.25            4.87           0.00          39.31           1989.837             0.000             0.000
     24/11/1988          0.000             50          3.861          2.155         2041.0            0.0        950.000          2.698        451.372           5.12          10.24         184.52          58.02         102.89            4.82           0.00          43.20           2041.030             0.000             0.000
     25/11/1988          0.000             51          3.814          1.822         1926.9            0.0        970.000          2.626        471.145           5.67          11.34         186.29          58.89          87.50            4.65           0.00          46.30           2097.744           166.142          5000.000
     26/11/1988          0.000             52          3.763          1.496         1810.2            0.0        990.000          2.564        480.922           5.40          10.79         187.28          60.12          72.22            4.03           0.00          48.69           1980.875           165.765          5024.495
     27/11/1988          1.800             53          3.711          1.241         1701.7            0.0       1010.000          2.573        486.010           6.20          12.41         188.49          60.75          59.43            3.04           0.00          50.00           1872.210           165.368          5048.500
     28/11/1988          0.000             54          3.649          0.954         1589.9            0.0       1030.000          2.475        496.057           5.82          11.63         188.51          62.01          46.06            2.76           0.00          50.93           1759.894           164.762          5072.015
     29/11/1988          0.000             55          3.588          0.699         1471.8            0.0       1050.000          2.430        495.405           5.11          10.22         186.80          61.93          33.97            2.32           0.00          51.29           1641.029           163.899          5094.935
