ApsimVersion = 6.1
Title = Lettuce Sample Simulation
           Date DaysAfterSowing          Stage            lai        biomass             ep         tt_tot    LeafGreenWt    StemGreenWt  FloretGreenWt        node_no
             ()             (?)             ()      (m^2/m^2)        (kg/ha)           (mm)            (?)        (g/m^2)        (g/m^2)        (g/m^2)       (/plant)
    01/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Apr/1998               ?          1.021          0.001            1.8          0.000              ?           0.18           0.00           0.00          0.000
    06/Apr/1998               ?          1.043          0.001            2.0          0.005              ?           0.19           0.01           0.00          0.000
    07/Apr/1998               ?          1.064          0.002            2.2          0.005              ?           0.20           0.02           0.00          1.000
    08/Apr/1998               ?          1.087          0.002            2.4          0.006              ?           0.22           0.03           0.00          1.000
    09/Apr/1998               ?          1.111          0.002            2.6          0.006              ?           0.23           0.03           0.00          2.000
    10/Apr/1998               ?          1.135          0.002            2.8          0.006              ?           0.24           0.04           0.00          2.000
    11/Apr/1998               ?          1.158          0.002            3.1          0.009              ?           0.26           0.05           0.00          3.000
    12/Apr/1998               ?          1.183          0.003            3.3          0.006              ?           0.27           0.06           0.00          3.000
    13/Apr/1998               ?          1.210          0.003            3.4          0.003              ?           0.27           0.06           0.00          4.000
    14/Apr/1998               ?          1.233          0.003            3.5          0.002              ?           0.25           0.07           0.00          4.000
    15/Apr/1998               ?          1.252          0.002            3.7          0.001              ?           0.24           0.07           0.00          4.000
    16/Apr/1998               ?          1.272          0.002            3.8          0.002              ?           0.22           0.08           0.00          5.000
    17/Apr/1998               ?          1.293          0.002            4.1          0.004              ?           0.21           0.09           0.00          5.000
    18/Apr/1998               ?          1.313          0.002            4.4          0.006              ?           0.20           0.10           0.00          6.000
    19/Apr/1998               ?          1.332          0.002            4.8          0.008              ?           0.20           0.12           0.00          6.000
    20/Apr/1998               ?          1.351          0.002            5.0          0.004              ?           0.18           0.13           0.00          7.000
    21/Apr/1998               ?          1.371          0.002            5.2          0.005              ?           0.18           0.14           0.00          8.000
    22/Apr/1998               ?          1.393          0.002            5.4          0.004              ?           0.18           0.14           0.00          8.000
    23/Apr/1998               ?          1.414          0.002            5.6          0.000              ?           0.18           0.15           0.00          9.000
    24/Apr/1998               ?          1.434          0.002            5.9          0.003              ?           0.19           0.16           0.00         10.000
    25/Apr/1998               ?          1.455          0.003            6.2          0.006              ?           0.20           0.18           0.00         11.000
    26/Apr/1998               ?          1.473          0.003            6.6          0.010              ?           0.22           0.19           0.00         11.000
    27/Apr/1998               ?          1.491          0.003            7.1          0.010              ?           0.24           0.21           0.00         12.000
    28/Apr/1998               ?          1.506          0.004            7.5          0.006              ?           0.25           0.23           0.00         12.000
    29/Apr/1998               ?          1.526          0.004            7.9          0.008              ?           0.26           0.24           0.00         13.000
    30/Apr/1998               ?          1.545          0.004            8.4          0.013              ?           0.29           0.27           0.00         14.000
    01/May/1998               ?          1.565          0.004            8.9          0.011              ?           0.30           0.29           0.00         14.000
    02/May/1998               ?          1.583          0.005            9.2          0.001              ?           0.31           0.30           0.00         15.000
    03/May/1998               ?          1.601          0.005            9.7          0.003              ?           0.34           0.31           0.00         16.000
    04/May/1998               ?          1.623          0.005           10.1          0.008              ?           0.36           0.33           0.00         16.000
    05/May/1998               ?          1.642          0.006           10.4          0.002              ?           0.37           0.35           0.00         17.000
    06/May/1998               ?          1.661          0.006           11.1          0.009              ?           0.41           0.37           0.00         18.000
    07/May/1998               ?          1.680          0.007           12.0          0.016              ?           0.45           0.41           0.00         18.000
    08/May/1998               ?          1.697          0.007           12.7          0.015              ?           0.48           0.43           0.00         19.000
    09/May/1998               ?          1.713          0.008           13.7          0.022              ?           0.54           0.48           0.00         20.000
    10/May/1998               ?          1.728          0.009           14.9          0.024              ?           0.60           0.52           0.00         20.000
    11/May/1998               ?          1.742          0.010           16.0          0.023              ?           0.66           0.57           0.00         21.000
    12/May/1998               ?          1.760          0.011           17.4          0.031              ?           0.73           0.63           0.00         21.000
