ApsimVersion = 6.1
Title = populneaW90
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
             ()          (day)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)           (mm)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1889            233          1.140          700.6         1838.4          1.000          0.984          0.000          0.000          0.792          0.400          0.502          0.485          0.304          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1381.633          1.000          0.000          0.000          0.000          0.000          0.000      62494.906          0.000          186.8            8.6        751.339          0.026          0.027          0.020          0.017          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.039          3.469          0.000          0.000          0.236          0.804          1.000        497.485          0.725          1.039          2.324          0.000          1.000        192.133          1.000          0.045         2539.5          1.000
     21/08/1890            233          1.047          646.0         1689.5          1.000          0.995          0.000          0.000          0.423          0.307          0.422          0.441          0.374          0.257          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1365.034          1.000          0.000          0.000          0.000          0.000          0.000      62495.668          0.000          178.6           18.6       1203.577          0.024          0.023          0.017          0.006          0.025          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.773          3.339          0.000          0.000          0.191          0.582          1.000        490.222          0.550          0.773          2.056          0.000          0.473        175.534          1.000          0.044         2336.0          1.000
     21/08/1891            233          0.929          573.8         1498.0          1.000          0.998          0.000          0.000          1.799          0.452          0.503          0.413          0.303          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1367.591          1.000          0.000          0.000          0.000          0.000          0.000      62496.582          0.000          184.1           28.7        741.605          0.042          0.047          0.019          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.766          3.385          0.000          0.000          0.157          0.609          1.000        479.687          0.350          0.766          1.563          0.000          0.636        178.091          1.000          0.044         2072.2          1.000
     21/08/1892            234          0.889          557.1         1434.4          0.677          1.000          0.000          0.000          0.503          0.276          0.385          0.391          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1316.733          1.000          0.000          0.000          0.000          0.000          0.000      62496.777          0.002          194.2           39.4        784.194          0.043          0.040          0.022          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.544          3.626          0.000          0.000          0.173          0.630          1.000        477.337          0.625          0.803          0.544          0.000          2.653        127.233          0.000          0.044         1994.8          1.000
     21/08/1893            233          1.027          632.9         1656.4          1.000          0.994          2.600          0.000          0.659          0.344          0.442          0.434          0.304          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1348.758          1.000          0.000          0.000          0.000          0.000          0.000      62495.844          0.000          193.4           44.0        821.250          0.027          0.033          0.032          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.833          3.377          0.000          0.000          0.187          0.646          1.000        488.085          0.950          0.833          1.403          0.000          0.621        159.258          0.685          0.044         2289.8          1.000
     21/08/1894            233          0.744          462.3         1200.0          1.000          0.999         11.500          0.000          0.342          0.259          0.429          0.400          0.303          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1323.820          1.000          0.000          0.000          0.000          0.000          0.000      62497.781          0.000          215.3           54.0        856.384          0.040          0.040          0.021          0.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.594          3.553          0.000          0.000          0.125          0.469          1.000        460.538          0.800          0.594          0.761          0.000          0.653        134.320          0.281          0.043         1662.6          1.000
     21/08/1895            233          0.454          345.2          732.6          0.189          1.000          0.000          0.000          2.452          0.206          0.332          0.380          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1294.484          1.000          0.000          0.000          0.000          0.000          0.000      62498.762          0.002          236.5           55.5        649.226          0.036          0.034          0.007          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.073          3.517          0.000          0.000          0.055          0.330          1.000        435.841          0.650          0.385          0.073          0.000         32.566        104.984          0.000          0.042         1081.6          1.000
     21/08/1896            234          0.756          469.8         1219.7          1.000          0.996          0.000          0.000          0.609          0.355          0.463          0.386          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1338.824          1.000          0.000          0.000          0.000          0.000          0.000      62497.711          0.000          231.2           60.8        745.435          0.039          0.043          0.023          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.624          3.565          0.000          0.000          0.126          0.497          1.000        461.598          0.525          0.624          0.895          0.000          0.357        149.324          0.434          0.043         1689.9          1.000
     21/08/1897            233          0.739          463.2         1191.2          1.000          0.999          1.700          0.000          2.091          0.354          0.459          0.382          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1336.743          1.000          0.000          0.000          0.000          0.000          0.000      62497.773          0.000          239.5           61.9        731.792          0.037          0.043          0.022          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.625          3.538          0.000          0.000          0.123          0.502          1.000        460.621          0.775          0.625          0.830          0.000          3.140        147.243          0.327          0.043         1654.8          1.000
