Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date             es            eos             eo          drain   infiltration            esw          esw()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     10/05/1980          0.282          0.282          2.729          3.837          0.000        380.871        380.871            104.004             26.916             15.530             14.133             12.327             10.514              9.204       7201.443          0.000          0.000          0.000          0.000          1.000          0.000
     11/05/1980          0.547          0.547          5.026          3.771          0.000        376.554        376.554            101.907             26.916             15.658             14.041             12.254             10.470              9.177       7040.754          0.000          0.000          0.000          0.000          1.000          0.000
     12/05/1980          0.662          0.662          5.788          3.696          0.000        372.195        372.195            100.428             26.582             15.764             13.952             12.178             10.421              9.146       6889.476          0.000          0.000          0.000          0.000          1.000          0.000
     13/05/1980          0.601          0.601          5.018          3.613          0.000        367.981        367.981             99.137             26.313             15.816             13.869             12.101             10.369              9.113       6746.628          0.000          0.000          0.000          0.000          1.000          0.000
     14/05/1980          0.558          0.620          4.954          3.520          0.000        363.903        363.903             97.959             26.161             15.828             13.789             12.023             10.313              9.077       6611.974          0.000          0.000          0.000          0.000          1.000          0.000
     15/05/1980          0.325          0.325          2.491          3.417          0.000        360.161        360.161             96.778             26.157             15.817             13.713             11.945             10.255              9.037       6482.695          0.000          0.000          0.000          0.000          1.000          0.000
     16/05/1980          0.425          0.425          3.130          3.304          0.000        356.432        356.432             95.720             26.125             15.821             13.646             11.869             10.194              8.995       6359.389          0.000          0.000          0.000          0.000          1.000          0.000
     17/05/1980          0.678          0.678          4.806          3.182          0.000        352.573        352.573             94.763             26.096             15.844             13.588             11.795             10.132              8.951       6243.818          0.000          0.000          0.000          0.000          1.000          0.000
     18/05/1980          0.678          0.678          4.636          3.051          0.000        348.844        348.844             93.885             26.092             15.881             13.540             11.725             10.069              8.904       6135.638          0.000          0.000          0.000          0.000          1.000          0.000
     19/05/1980          0.426          0.426          2.818          2.913          0.000        345.505        345.505             93.036             26.126             15.933             13.501             11.659             10.006              8.856       6032.600          0.000          0.000          0.000          0.000          1.000          0.000
     20/05/1980          0.807          0.807          5.175          2.768          0.000        341.930        341.930             92.362             26.103             15.991             13.471             11.598              9.943              8.807       5937.381          0.000          0.000          0.000          0.000          1.000          0.000
     21/05/1980          0.573          0.573          3.568          2.619          0.000        338.738        338.738             91.749             26.106             16.058             13.450             11.541              9.881              8.756       5847.920          0.000          0.000          0.000          0.000          1.000          0.000
     22/05/1980          0.758          0.758          4.588          2.466          0.000        335.514        335.514             91.254             26.078             16.129             13.435             11.488              9.821              8.706       5765.346          0.000          0.000          0.000          0.000          1.000          0.000
     23/05/1980          0.313          0.313          1.848          2.314         22.315        355.201        355.201             73.811             37.746             19.235             13.569             11.460              9.767              8.656       5621.160          0.000          0.000          0.000          0.000          1.000          0.000
     24/05/1980          0.538          0.538          3.039          2.166          0.000        352.497        352.497             70.698             37.936             19.823             13.695             11.449              9.721              8.609       5484.361          0.000          0.000          0.000          0.000          1.000          0.000
     25/05/1980          0.681          0.681          3.688          2.026          2.000        351.791        351.791             67.562             38.167             20.382             13.814             11.452              9.683              8.564       5347.202          0.000          0.000          0.000          0.000          1.000          0.000
     26/05/1980          0.383          0.383          1.988          1.896          3.000        352.511        352.511             64.216             38.520             20.942             13.927             11.463              9.654              8.524       5213.473          0.000          0.000          0.000          0.000          1.000          0.000
     27/05/1980          0.462          0.462          2.304          1.798         23.388        373.639        373.639             47.153             41.097             30.349             16.186             11.704              9.666              8.493       5083.088          0.000          0.000          0.000          0.000          1.000          0.000
     28/05/1980          0.754          0.754          3.607          1.767          9.000        380.118        380.118             40.464             41.018             32.958             17.172             12.237              9.754              8.482       4955.965          0.000          0.010          3.530          3.530          1.000          0.000
     29/05/1980          0.648          0.648          3.000          1.842         11.000        388.618        388.628             33.824             40.157             35.792             18.256             13.051              9.942              8.503       4832.021          0.000          0.011          3.609          3.609          1.000          1.000
     30/05/1980          1.217          1.217          5.426          1.978          0.000        385.397        385.423             32.012             39.653             35.610             18.443             13.070             10.088              8.543       4718.527          0.000          0.012          3.761          3.761          1.000          1.000
     31/05/1980          0.913          0.913          3.933          2.144          0.000        382.319        382.340             30.673             39.082             35.474             18.570             13.079             10.198              8.591       4613.084          0.000          0.013          3.882          3.882          1.000          1.000
     01/06/1980          1.249          1.266          5.285          2.318          0.000        378.724        378.753             29.761             38.525             35.341             18.650             13.077             10.277              8.641       4517.301          0.000          0.014          4.058          4.058          1.000          1.000
     02/06/1980          0.843          0.843          3.418          2.483          0.000        375.373        375.398             29.571             37.626             35.188             18.694             13.063             10.329              8.688       4428.268          0.000          0.015          4.183          4.183          1.000          1.000
     03/06/1980          1.161          1.161          4.583          2.630          0.000        371.549        371.582             29.681             36.831             34.961             18.704             13.039             10.360              8.729       4347.416          0.000          0.016          4.367          4.367          1.000          1.000
     04/06/1980          0.976          0.976          3.763          2.752          0.000        367.787        367.821             29.782             36.348             34.667             18.677             13.005             10.372              8.762       4273.347          0.000          0.017          4.536          4.536          1.000          1.000
     05/06/1980          1.083          1.083          4.083          2.844          0.000        363.818        363.860             29.832             36.188             34.293             18.624             12.961             10.368              8.786       4206.326          0.000          0.019          4.733          4.733          1.000          1.000
