Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date          esw()          no3()     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     09/04/1980        285.023         80.172       9749.908          0.000          0.000          0.000          0.000          0.000          0.000
     10/04/1980        315.750         78.227       9506.071          0.000          0.000          0.000          0.000          0.000          0.000
     11/04/1980        327.500         75.982       9268.333          0.000          0.000          0.000          0.000          0.000          0.000
     12/04/1980        333.276         73.613       9036.540          0.000          0.000          0.000          0.000          0.000          0.000
     13/04/1980        376.702         72.480       8933.416          0.000          0.000          0.000          0.000          0.000          0.000
     14/04/1980        394.762         71.986       8891.501          0.000          0.000          0.000          0.000          0.000          0.000
     15/04/1980        403.964         71.609       8867.044          0.000          0.000          0.000          0.000          0.000          0.000
     16/04/1980        406.900         70.963       8847.808          0.000          0.000          0.000          0.000          0.000          0.000
     17/04/1980        406.935         70.575       8830.168          0.000          0.000          0.000          0.000          0.000          0.000
     18/04/1980        406.951         70.191       8813.035          0.000          0.000          0.000          0.000          0.000          0.000
     19/04/1980        407.097         69.226       8796.552          0.000          0.000          0.000          0.000          0.000          0.000
     20/04/1980        402.003         68.985       8779.631          0.000          0.000          0.000          0.000          0.000          0.000
     21/04/1980        397.010         68.848       8761.633          0.000          0.000          0.000          0.000          0.000          0.000
     22/04/1980        393.366         68.737       8743.511          0.000          0.000          0.000          0.000          0.000          0.000
     23/04/1980        396.859         68.503       8725.412          0.000          0.000          0.000          0.000          0.000          0.000
     24/04/1980        406.989         67.519       8709.833          0.000          0.000          0.000          0.000          0.000          0.000
     25/04/1980        401.872         67.213       8693.678          0.000          0.000          0.000          0.000          0.000          0.000
     26/04/1980        396.929         67.003       8676.157          0.000          0.000          0.000          0.000          0.000          0.000
     27/04/1980        392.133         66.826       8657.132          0.000          0.000          0.000          0.000          0.000          0.000
     28/04/1980        401.507         66.392       8636.378          0.000          0.000          0.000          0.000          0.000          0.000
     29/04/1980        407.006         65.884       8617.877          0.000          0.000          0.000          0.000          0.000          0.000
     30/04/1980        406.100         65.455       8600.502          0.000          0.000          0.000          0.000          0.000          0.000
     01/05/1980        402.237         65.140       8584.109          0.000          0.000          0.000          0.000          0.000          0.000
     02/05/1980        397.503         64.935       8567.829          0.000          0.000          0.000          0.000          0.000          0.000
     03/05/1980        397.980        220.472       8353.555          0.000          0.000          0.000          0.000          1.000          0.000
     04/05/1980        394.530        216.279       8144.640          0.000          0.000          0.000          0.000          1.000          0.000
     05/05/1980        400.175        211.964       7940.949          0.000          0.000          0.000          0.000          1.000          0.000
     06/05/1980        395.719        208.067       7745.015          0.000          0.000          0.000          0.000          1.000          0.000
     07/05/1980        391.187        204.553       7557.476          0.000          0.000          0.000          0.000          1.000          0.000
     08/05/1980        386.620        201.368       7378.603          0.000          0.000          0.000          0.000          1.000          0.000
     09/05/1980        382.207        198.501       7206.991          0.000          0.000          0.000          0.000          1.000          0.000
     10/05/1980        377.885        195.913       7042.043          0.000          0.000          0.000          0.000          1.000          0.000
     11/05/1980        373.357        193.649       6885.929          0.000          0.000          0.000          0.000          1.000          0.000
     12/05/1980        368.797        191.702       6739.252          0.000          0.000          0.000          0.000          1.000          0.000
     13/05/1980        364.403        190.024       6601.005          0.000          0.000          0.000          0.000          1.000          0.000
     14/05/1980        360.253        188.575       6470.949          0.000          0.000          0.000          0.000          1.000          0.000
     15/05/1980        356.393        187.287       6346.202          0.000          0.000          0.000          0.000          1.000          0.000
     16/05/1980        352.568        186.169       6227.377          0.000          0.000          0.000          0.000          1.000          0.000
     17/05/1980        348.626        185.210       6116.275          0.000          0.000          0.000          0.000          1.000          0.000
     18/05/1980        344.838        184.375       6012.544          0.000          0.000          0.000          0.000          1.000          0.000
     19/05/1980        341.469        183.626       5913.898          0.000          0.000          0.000          0.000          1.000          0.000
     20/05/1980        337.863        183.004       5823.063          0.000          0.000          0.000          0.000          1.000          0.000
     21/05/1980        334.658        182.477       5737.945          0.000          0.000          0.000          0.000          1.000          0.000
     22/05/1980        331.420        182.043       5659.693          0.000          0.000          0.000          0.000          1.000          0.000
     23/05/1980        351.186        179.548       5518.149          0.000          0.000          0.000          0.000          1.000          0.000
     24/05/1980        348.466        177.429       5383.977          0.000          0.000          0.000          0.000          1.000          0.000
     25/05/1980        347.719        175.352       5249.329          0.000          0.000          0.000          0.000          1.000          0.000
     26/05/1980        348.380        173.261       5118.047          0.000          0.000          0.000          0.000          1.000          0.000
