Summary_file = referenc.sum
Title = sugar reference run
      year       day           date             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@swdef_photo avg@nfact_photo     root_depth avg@oxdef_photo    crop_status      dm_dead() lodge_redn_photo lodge_redn_sucrose lodge_redn_green_leaf     residue_wt      residue_n        fom_c()        fom_n()
    (year)     (day)             ()            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (g/m^2)              ()              ()           (mm)           (0-1)             ()        (g/m^2)               ()                 ()                    ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
      1984        92     01/04/1984              3.089              6.709              6.582             31.796             79.961             80.000         16.200          0.000          0.000           0.000           0.000        600.000           0.333          alive          0.000            1.000              1.000                 1.000          0.000          0.000        346.656          7.703
      1984        99     08/04/1984              3.334              8.627              7.711             27.184             79.816             80.000        108.607          0.000          0.000           1.000           0.000        600.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        257.240          5.716
      1984       113     22/04/1984              3.640             10.688              7.627             34.987             79.736             80.000        236.035          0.000          0.000           1.000           0.000        600.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        183.433          4.076
      1984       120     29/04/1984              4.302             11.805              7.600             28.353             79.608             80.000        326.837          0.000          0.000           1.000           0.000        600.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        144.550          3.212
      1984       127     06/05/1984              4.945             12.862              7.586             25.256             79.447             80.000        395.145          0.010          3.530           1.000           0.000        600.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        124.224          2.761
      1984       134     13/05/1984              5.387             13.917              7.582             22.906             79.166             79.999        501.595          0.016          4.314           1.000           1.000        670.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        116.445          2.549
      1984       141     20/05/1984              6.101             15.098              7.585             30.455             79.364             79.997        607.145          0.025          5.649           1.000           1.000        740.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        100.128          2.161
      1984       148     27/05/1984              6.960             16.070              7.584             26.602             79.042             79.986        707.045          0.041          7.837           1.000           1.000        810.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         89.770          1.908
      1984       155     03/06/1984              7.541             16.863              7.534             23.944             78.638             79.947        801.845          0.062         10.706           1.000           1.000        880.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         85.052          1.779
      1984       162     10/06/1984              7.950             17.718              7.464             32.479             79.121             79.901        897.145          0.088         14.369           1.000           1.000        950.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         78.039          1.608
