ApsimVersion = 6.0
Title = Sweet Sorghum Sample Simulation
           Date           rain            das    zadok_stage     day_length          stage            lai        biomass          yield     root_depth             ep    swdef_photo    swdef_expan    nfact_photo temp_stress_photo           maxt           mint           radn       tt_tot()         dlt_tt    LeafGreenWt    StemGreenWt
             ()           (mm)            (d)        (0-100)        (hours)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)             ()             ()             ()                ()           (oC)           (oC)       (MJ/m^2)           (dd)           (dd)        (g/m^2)        (g/m^2)
    01/Sep/1998          1.000              0          0.000         12.333          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         20.500         13.000          9.000          0.000          0.000           0.00           0.00
    02/Sep/1998          1.000              0          0.000         12.359          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.000         11.500         20.000          0.000          0.000           0.00           0.00
    03/Sep/1998          0.000              0          0.000         12.385          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.000          7.000         21.000          0.000          0.000           0.00           0.00
    04/Sep/1998          0.000              0          0.000         12.412          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.500         11.500         18.000          0.000          0.000           0.00           0.00
    05/Sep/1998          0.000              0          0.000         12.438          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         28.500         14.500         19.000          0.000          0.000           0.00           0.00
    06/Sep/1998          3.800              0          0.000         12.465          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.500         17.000         16.000          0.000          0.000           0.00           0.00
    07/Sep/1998          0.000              0          0.000         12.492          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         23.500         11.500         18.000          0.000          0.000           0.00           0.00
    08/Sep/1998          0.200              0          0.000         12.518          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         23.500         10.000         18.000          0.000          0.000           0.00           0.00
    09/Sep/1998          0.000              0          0.000         12.545          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         19.000         13.000          9.000          0.000          0.000           0.00           0.00
