Summary_file = step1.sum
Title = Step 1. All off.
           date     root_depth       sw_index  transpiration       sw_dep()
             ()           (mm)            (?)             ()           (mm)
     01/01/1957       1250.000           ????          0.000        280.663
     02/01/1957       1250.000           ????          0.000        278.689
     03/01/1957       1250.000           ????          0.000        277.000
     04/01/1957       1250.000           ????          0.000        275.512
     05/01/1957       1250.000           ????          0.000        274.175
     06/01/1957       1250.000           ????          0.000        272.957
     07/01/1957       1250.000           ????          0.000        271.835
     08/01/1957       1250.000           ????          0.000        270.795
     09/01/1957       1250.000           ????          0.000        269.824
     10/01/1957       1250.000           ????          0.000        285.387
     11/01/1957       1250.000           ????          0.000        284.264
     12/01/1957       1250.000           ????          0.000        281.634
     13/01/1957       1250.000           ????          0.000        279.554
     14/01/1957       1250.000           ????          0.000        278.048
     15/01/1957       1250.000           ????          0.000        276.705
     16/01/1957       1250.000           ????          0.000        275.487
     17/01/1957       1250.000           ????          0.000        274.371
     18/01/1957       1250.000           ????          0.000        273.337
     19/01/1957       1250.000           ????          0.000        272.374
     20/01/1957       1250.000           ????          0.000        271.320
     21/01/1957       1250.000           ????          0.000        270.337
     22/01/1957       1250.000           ????          0.000        269.416
     23/01/1957       1250.000           ????          0.000        268.548
     24/01/1957       1250.000           ????          0.000        267.728
     25/01/1957       1250.000           ????          0.000        270.718
     26/01/1957       1250.000           ????          0.000        276.946
     27/01/1957       1250.000           ????          0.000        275.036
     28/01/1957       1250.000           ????          0.000        273.714
     29/01/1957       1250.000           ????          0.000        272.701
     30/01/1957       1250.000           ????          0.000        271.777
     31/01/1957       1250.000           ????          0.000        270.909
     01/02/1957       1250.000           ????          0.000        270.090
     02/02/1957       1250.000           ????          0.000        269.312
     03/02/1957       1250.000           ????          0.000        268.574
     04/02/1957       1250.000           ????          0.000        267.869
     05/02/1957       1250.000           ????          0.000        267.196
     06/02/1957       1250.000           ????          0.000        266.551
     07/02/1957       1250.000           ????          0.000        265.933
     08/02/1957       1250.000           ????          0.000        265.338
     09/02/1957       1250.000           ????          0.000        264.766
     10/02/1957       1250.000           ????          0.000        264.215
     11/02/1957       1250.000           ????          0.000        263.682
     12/02/1957       1250.000           ????          0.000        263.168
     13/02/1957       1250.000           ????          0.000        262.671
     14/02/1957       1250.000           ????          0.000        262.189
     15/02/1957       1250.000           ????          0.000        261.723
     16/02/1957       1250.000           ????          0.000        261.270
     17/02/1957       1250.000           ????          0.000        260.831
     18/02/1957       1250.000           ????          0.000        260.404
     19/02/1957       1250.000           ????          0.000        259.990
     20/02/1957       1250.000           ????          0.000        259.586
     21/02/1957       1250.000           ????          0.000        259.194
     22/02/1957       1250.000           ????          0.000        258.812
     23/02/1957       1250.000           ????          0.000        258.439
     24/02/1957       1250.000           ????          0.000        258.076
     25/02/1957       1250.000           ????          0.000        257.722
     26/02/1957       1250.000           ????          0.000        257.377
     27/02/1957       1250.000           ????          0.000        264.887
     28/02/1957       1250.000           ????          0.000        263.962
     01/03/1957       1250.000           ????          0.000        263.200
     02/03/1957       1250.000           ????          0.000        262.556
     03/03/1957       1250.000           ????          0.000        262.003
     04/03/1957       1250.000           ????          0.000        261.523
     05/03/1957       1250.000           ????          0.000        262.831
     06/03/1957       1250.000           ????          0.000        263.916
     07/03/1957       1250.000           ????          0.000        263.161
     08/03/1957       1250.000           ????          0.000        263.365
     09/03/1957       1250.000           ????          0.000        262.697
     10/03/1957       1250.000           ????          0.000        262.125
     11/03/1957       1250.000           ????          0.000        269.417
     12/03/1957       1250.000           ????          0.000        268.057
     13/03/1957       1250.000           ????          0.000        266.555
     14/03/1957       1250.000           ????          0.000        265.438
     15/03/1957       1250.000           ????          0.000        266.107
     16/03/1957       1250.000           ????          0.000        265.088
     17/03/1957       1250.000           ????          0.000        264.407
     18/03/1957       1250.000           ????          0.000        263.825
     19/03/1957       1250.000           ????          0.000        263.322
     20/03/1957       1250.000           ????          0.000        262.881
     21/03/1957       1250.000           ????          0.000        262.474
     22/03/1957       1250.000           ????          0.000        262.078
     23/03/1957       1250.000           ????          0.000        261.692
     24/03/1957       1250.000           ????          0.000        261.316
     25/03/1957       1250.000           ????          0.000        289.360
     26/03/1957       1250.000           ????          0.000        286.788
     27/03/1957       1250.000           ????          0.000        284.829
     28/03/1957       1250.000           ????          0.000        283.196
     29/03/1957       1250.000           ????          0.000        281.775
     30/03/1957       1250.000           ????          0.000        280.506
     31/03/1957       1250.000           ????          0.000        279.356
     01/04/1957       1250.000           ????          0.000        278.299
     02/04/1957       1250.000           ????          0.000        277.320
     03/04/1957       1250.000           ????          0.000        276.406
     04/04/1957       1250.000           ????          0.000        276.487
     05/04/1957       1250.000           ????          0.000        275.624
     06/04/1957       1250.000           ????          0.000        274.810
     07/04/1957       1250.000           ????          0.000        274.040
     08/04/1957       1250.000           ????          0.000        273.309
     09/04/1957       1250.000           ????          0.000        272.611
     10/04/1957       1250.000           ????          0.000        280.919
     11/04/1957       1250.000           ????          0.000        279.197
     12/04/1957       1250.000           ????          0.000        278.206
     13/04/1957       1250.000           ????          0.000        277.390
     14/04/1957       1250.000           ????          0.000        276.655
     15/04/1957       1250.000           ????          0.000        275.957
     16/04/1957       1250.000           ????          0.000        275.291
     17/04/1957       1250.000           ????          0.000        274.655
     18/04/1957       1250.000           ????          0.000        274.045
     19/04/1957       1250.000           ????          0.000        273.459
     20/04/1957       1250.000           ????          0.000        272.896
     21/04/1957       1250.000           ????          0.000        272.353
     22/04/1957       1250.000           ????          0.000        274.714
     23/04/1957       1250.000           ????          0.000        274.102
     24/04/1957       1250.000           ????          0.000        273.514
     25/04/1957       1250.000           ????          0.000        272.949
     26/04/1957       1250.000           ????          0.000        272.404
     27/04/1957       1250.000           ????          0.000        271.879
     28/04/1957       1250.000           ????          0.000        271.371
     29/04/1957       1250.000           ????          0.000        270.879
     30/04/1957       1250.000           ????          0.000        270.403
     01/05/1957       1250.000           ????          0.000        269.941
     02/05/1957       1250.000           ????          0.000        269.493
     03/05/1957       1250.000           ????          0.000        269.057
     04/05/1957       1250.000           ????          0.000        268.634
     05/05/1957       1250.000           ????          0.000        268.325
     06/05/1957       1250.000           ????          0.000        268.022
     07/05/1957       1250.000           ????          0.000        267.725
     08/05/1957       1250.000           ????          0.000        267.433
     09/05/1957       1250.000           ????          0.000        267.147
     10/05/1957       1250.000           ????          0.000        266.866
     11/05/1957       1250.000           ????          0.000        266.590
     12/05/1957       1250.000           ????          0.000        266.319
     13/05/1957       1250.000           ????          0.000        266.053
     14/05/1957       1250.000           ????          0.000        265.791
     15/05/1957       1250.000           ????          0.000        265.533
     16/05/1957       1250.000           ????          0.000        265.280
     17/05/1957       1250.000           ????          0.000        265.031
     18/05/1957       1250.000           ????          0.000        264.786
     19/05/1957       1250.000           ????          0.000        264.545
     20/05/1957       1250.000           ????          0.000        264.308
     21/05/1957       1250.000           ????          0.000        264.074
     22/05/1957       1250.000           ????          0.000        263.844
     23/05/1957       1250.000           ????          0.000        263.617
     24/05/1957       1250.000           ????          0.000        263.394
     25/05/1957       1250.000           ????          0.000        263.174
     26/05/1957       1250.000           ????          0.000        262.957
     27/05/1957       1250.000           ????          0.000        262.743
     28/05/1957       1250.000           ????          0.000        262.532
     29/05/1957       1250.000           ????          0.000        262.324
     30/05/1957       1250.000           ????          0.000        262.119
     31/05/1957       1250.000           ????          0.000        261.917
     01/06/1957       1250.000           ????          0.000        261.718
