Summary_file = oryza-wl.sum
Title = oryza Sample Simulation - water limited
           year            day   plant_status      crop_type        cropsta            dae            dvs            dvr             hu         lrstrs         ldstrs         lestrs           pcew         tnsoil           nflv           fnlv           nacr           ancr           anso           anlv         rnstrs           wagt            wso            wst           wlvg           wlvd           dtga            gcr           rlai           ssga            zrt            eff            etd           etrd           etae            trc
         (year)          (day)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()       (mm/day)             ()             ()             ()
           1992              1            out          0.000              0              0          0.000          0.000          0.000          1.000          1.000          1.000          1.000      10000.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.268          0.000          0.000          0.000
           1992              2            out          0.000              0              0          0.000          0.000          0.000          1.000          1.000          1.000          1.000      10000.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.173          0.000          0.000          0.000
           1992              3            out          0.000              0              0          0.000          0.000          0.000          1.000          1.000          1.000          1.000      10000.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.331          0.000          0.000          0.000
           1992              4          alive           rice              2              1          0.014          0.014         17.550          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000          4.219          0.000          1.690          2.530          0.000         16.228          8.399          0.115          0.000          0.010          0.436          4.750          3.562          1.187          0.000
           1992              5          alive           rice              2              2          0.027          0.013         17.300          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000          8.545          0.000          3.420          5.125          0.000         16.632          8.517          0.132          0.000          0.020          0.437          2.985          2.239          0.746          0.000
           1992              6          alive           rice              2              3          0.040          0.013         16.650          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         14.173          0.000          5.671          8.502          0.000         21.423         10.914          0.150          0.000          0.030          0.438          3.883          2.912          0.971          0.000
           1992              7          alive           rice              2              4          0.053          0.013         16.600          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         19.654          0.000          7.864         11.790          0.000         20.795         10.476          0.172          0.000          0.040          0.442          2.672          2.004          0.668          0.000
           1992              8          alive           rice              2              5          0.067          0.014         18.000          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         27.204          0.000         10.884         16.320          0.000         28.332         14.229          0.198          0.000          0.050          0.432          4.385          3.289          1.096          0.000
           1992              9          alive           rice              2              6          0.080          0.013         17.050          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         36.092          0.000         14.439         21.653          0.000         32.957         16.500          0.227          0.000          0.060          0.436          4.859          3.645          1.215          0.000
           1992             10          alive           rice              2              7          0.093          0.013         17.050          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         45.176          0.000         18.072         27.103          0.000         33.544         16.625          0.260          0.000          0.070          0.440          3.097          2.323          0.774          0.000
           1992             11          alive           rice              2              8          0.105          0.013         16.250          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         54.398          0.000         21.761         32.637          0.000         33.835         16.646          0.295          0.000          0.080          0.448          2.377          1.783          0.594          0.000
           1992             12          alive           rice              2              9          0.119          0.013         16.950          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         64.977          0.000         25.993         38.984          0.000         38.519         18.848          0.338          0.000          0.090          0.444          2.440          1.830          0.610          0.000
           1992             13          alive           rice              2             10          0.132          0.013         17.250          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         78.745          0.000         31.500         47.245          0.000         49.298         24.199          0.387          0.000          0.100          0.440          3.070          2.303          0.768          0.000
           1992             14          alive           rice              2             11          0.144          0.012         16.100          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         94.208          0.000         37.685         56.523          0.000         54.626         26.813          0.440          0.000          0.110          0.448          2.781          2.086          0.695          0.000
           1992             15          alive           rice              3             12          0.157          0.012         15.850          1.000          1.000          1.000          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         32.436          0.000         12.975         19.461          0.000         71.637         35.380          0.055          0.000          0.060          0.443          4.274          3.205          1.068          0.000
           1992             16          alive           rice              4             13          0.157          0.000         16.050          1.000          1.000          0.458          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         34.209          0.000         13.684         20.522          0.003          9.751          4.452          0.055          0.000          0.070          0.442          4.831          3.624          1.208          0.165
           1992             17          alive           rice              4             14          0.157          0.000         16.100          1.000          1.000          0.458          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         35.949          0.000         14.380         21.566          0.003          9.673          4.368          0.055          0.000          0.080          0.441          4.329          3.247          1.082          0.148
           1992             18          alive           rice              4             15          0.157          0.000         16.500          1.000          1.000          0.458          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         37.583          0.000         15.034         22.547          0.003          9.274          4.102          0.059          0.000          0.090          0.440          3.717          2.788          0.929          0.127
           1992             19          alive           rice              4             16          0.157          0.000         16.800          1.000          1.000          0.459          1.000      10000.000          0.540          0.025          0.000          0.000          0.000          0.000          1.000         39.190          0.000         15.676         23.511          0.003          9.236          4.027          0.062          0.000          0.100          0.440          3.208          2.406          0.802          0.116
           1992             20          alive           rice              4             17          0.170          0.013         16.867          1.000          1.000          0.459          1.000      10000.000          0.596          0.025          0.000          0.000          0.000          0.000          1.000         41.144          0.000         16.458         24.684          0.002         11.021          4.899          0.067          0.000          0.110          0.434          4.737          3.553          1.184          0.183
           1992             21          alive           rice              4             18          0.184          0.014         18.000          1.000          1.000          0.459          1.000      10000.000          0.677          0.025          0.000          0.000          0.000          0.000          1.000         43.335          0.000         17.334         25.998          0.002         12.182          5.390          0.071          0.000          0.120          0.434          4.892          3.669          1.223          0.201
           1992             22          alive           rice              4             19          0.197          0.013         17.250          1.000          1.000          0.458          1.000      10000.000          0.755          0.025          0.000          0.000          0.000          0.000          1.000         45.722          0.000         18.289         27.431          0.002         12.920          5.763          0.076          0.000          0.130          0.439          3.813          2.860          0.953          0.168
           1992             23          alive           rice              4             20          0.210          0.013         17.200          1.000          1.000          0.458          1.000      10000.000          0.832          0.025          0.000          0.000          0.000          0.000          1.000         48.559          0.000         19.424         29.133          0.002         14.882          6.722          0.081          0.000          0.140          0.437          4.321          3.240          1.080          0.203
           1992             24          alive           rice              4             21          0.224          0.013         17.400          1.000          1.000          0.458          1.000      10000.000          0.911          0.025          0.000          0.000          0.000          0.000          1.000         51.506          0.000         20.603         30.901          0.002         15.305          6.858          0.087          0.000          0.150          0.436          3.650          2.738          0.913          0.183
           1992             25          alive           rice              4             22          0.237          0.013         17.300          1.000          1.000          0.457          1.000      10000.000          0.988          0.025          0.000          0.000          0.000          0.000          1.000         54.449          0.000         21.780         32.667          0.002         15.165          6.722          0.092          0.000          0.160          0.438          3.041          2.280          0.760          0.162
           1992             26          alive           rice              4             23          0.251          0.014         18.305          1.000          1.000          0.456          1.000      10000.000          1.071          0.025          0.000          0.000          0.000          0.000          1.000         58.534          0.000         23.414         35.118          0.002         20.224          9.170          0.099          0.000          0.170          0.429          4.935          3.701          1.234          0.281
           1992             27          alive           rice              4             24          0.265          0.013         17.300          1.000          1.000          0.454          1.000      10000.000          1.149          0.025          0.000          0.000          0.000          0.000          1.000         63.245          0.000         25.298         37.945          0.002         22.595         10.400          0.106          0.000          0.180          0.437          4.947          3.710          1.237          0.302
           1992             28          alive           rice              4             25          0.277          0.013         16.650          1.000          1.000          0.452          1.000      10000.000          1.224          0.025          0.000          0.000          0.000          0.000          1.000         67.056          0.000         26.822         40.231          0.002         18.587          8.280          0.112          0.000          0.190          0.445          2.726          2.045          0.682          0.177
           1992             29          alive           rice              4             26          0.290          0.013         16.850          1.000          1.000          0.451          1.000      10000.000          1.300          0.025          0.000          0.000          0.000          0.000          1.000         70.860          0.000         28.344         42.513          0.002         18.489          8.126          0.120          0.000          0.200          0.444          2.440          1.830          0.610          0.168
           1992             30          alive           rice              4             27          0.304          0.014         17.800          1.000          1.000          0.450          1.000      10000.000          1.380          0.025          0.000          0.000          0.000          0.000          1.000         77.140          0.000         30.856         46.282          0.002         28.634         13.188          0.128          0.000          0.210          0.436          4.650          3.487          1.162          0.341
           1992             31          alive           rice              4             28          0.318          0.014         18.008          1.000          1.000          0.448          1.000      10000.000          1.461          0.025          0.000          0.000          0.000          0.000          1.000         84.115          0.000         33.646         50.467          0.002         31.597         14.416          0.136          0.000          0.220          0.423          5.292          3.969          1.323          0.415
           1992             32          alive           rice              4             29          0.332          0.014         17.600          1.000          1.000          0.444          1.000      10000.000          1.528          0.025          0.000          0.000          0.000          0.000          1.000         89.624          0.000         35.850         53.772          0.002         25.345         11.209          0.146          0.000          0.230          0.439          2.816          2.112          0.704          0.235
           1992             33          alive           rice              4             30          0.345          0.013         17.200          1.000          1.000          0.444          1.000      10000.000          1.515          0.025          0.000          0.000          0.000          0.000          1.000         96.536          0.000         38.614         57.919          0.002         30.520         13.820          0.155          0.000          0.240          0.441          3.267          2.451          0.817          0.291
           1992             34          alive           rice              4             31          0.359          0.014         17.550          1.000          1.000          0.442          1.000      10000.000          1.502          0.025          0.000          0.000          0.000          0.000          1.000        102.499          0.000         41.000         61.497          0.002         26.869         11.731          0.165          0.000          0.250          0.439          2.543          1.908          0.636          0.241
           1992             35          alive           rice              4             32          0.372          0.013         17.350          1.000          1.000          0.464          1.000      10000.000          1.489          0.025          0.000          0.000          0.000          0.000          1.000        108.837          0.000         43.535         65.299          0.002         27.497         11.961          0.177          0.000          0.260          0.441          2.389          1.792          0.597          0.241
           1992             36          alive           rice              4             33          0.386          0.014         17.838          1.000          1.000          0.438          1.000      10000.000          1.476          0.025          0.000          0.000          0.000          0.000          1.000        119.374          0.000         47.750         71.622          0.003         43.571         20.065          0.188          0.000          0.270          0.432          4.621          3.466          1.155          0.497
           1992             37          alive           rice              4             34          0.400          0.014         18.150          1.000          1.000          0.435          1.000      10000.000          1.462          0.025          0.000          0.000          0.000          0.000          1.000        129.454          0.000         51.782         77.669          0.003         41.859         18.894          0.201          0.000          0.280          0.432          3.814          2.860          0.953          0.436
           1992             38          alive           rice              4             35          0.413          0.014         17.594          0.999          1.000          0.433          1.000      10000.000          1.449          0.025          0.000          0.000          0.000          0.000          1.000        141.934          0.000         56.774         85.158          0.003         50.209         23.009          0.214          0.000          0.290          0.428          5.001          3.751          1.250          0.610
           1992             39          alive           rice              4             36          0.427          0.013         17.500          0.995          1.000          0.429          1.000      10000.000          1.436          0.025          0.000          0.000          0.000          0.000          1.000        155.347          0.000         62.139         93.205          0.003         53.109         24.376          0.228          0.000          0.300          0.434          4.813          3.610          1.203          0.623
