Summary_file = std.sum
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)             ()
     15/10/1940       5313.834        350.000
     20/10/1941       3505.522        350.000
     14/10/1942       3704.239        350.000
     25/10/1943       4439.116        350.000
     19/10/1944       4049.818        350.000
     21/10/1945       2952.107        350.000
     22/10/1946       5082.364        350.000
     24/10/1947       2346.074        350.000
     24/10/1948       3038.755        350.000
     23/10/1949       3606.603        350.000
     16/10/1950       3138.248        350.000
     24/10/1951       4135.567        350.000
     23/10/1952       2598.760        350.000
     24/10/1953       3215.305        350.000
     15/10/1954       3272.593        350.000
     20/10/1955       3107.698        350.000
     29/10/1956       2716.639        350.000
     21/10/1957       3502.245        350.000
     23/10/1958       2745.586        350.000
     23/10/1959       3406.427        350.000
     25/10/1960       2894.193        350.000
     22/10/1961       3065.618        350.000
     21/10/1962       2573.025        350.000
     24/10/1963       3097.618        350.000
     23/10/1964       2233.304        350.000
     19/10/1965       3433.620        350.000
     28/10/1966       1846.971        350.000
     19/10/1967       2878.587        350.000
     25/10/1968       2679.414        350.000
     23/10/1969       2700.000        350.000
     24/10/1970       2116.088        350.000
     24/10/1971       2088.187        350.000
     18/10/1972       3506.515        350.000
     10/10/1973       2199.614        350.000
     25/10/1974       3525.960        350.000
     18/10/1975       1525.119        350.000
     26/10/1976       2286.977        350.000
     20/10/1977       2849.481        350.000
     30/10/1978       2084.562        350.000
     19/10/1979       1767.460        350.000
     13/10/1980       2703.109        350.000
     21/10/1981       1571.283        350.000
     23/10/1982       2296.057        350.000
     19/10/1983       1439.149        350.000
     26/10/1984       2080.827        350.000
     23/10/1985       1414.929        350.000
     22/10/1986       2557.483        350.000
     21/10/1987       1754.740        350.000
     15/10/1988       1945.919        350.000
     25/10/1989       2130.757        350.000
