Summary_file = ep-on.sum
Title = erosion productivity on
           date  max_n_avail()
             ()             ()
     31/12/1957         14.560
     31/12/1958         14.212
     31/12/1959         14.047
     30/12/1960         14.039
     31/12/1961         13.923
     31/12/1962         13.889
     31/12/1963         13.819
     30/12/1964         13.708
     31/12/1965         13.546
     31/12/1966         13.363
     31/12/1967         13.176
     30/12/1968         13.107
     31/12/1969         12.998
     31/12/1970         12.874
     31/12/1971         12.707
     30/12/1972         12.655
     31/12/1973         12.648
     31/12/1974         12.574
     31/12/1975         12.498
     30/12/1976         12.401
     31/12/1977         12.361
     31/12/1978         12.106
     31/12/1979         12.104
     30/12/1980         12.056
     31/12/1981         11.979
     31/12/1982         11.941
     31/12/1983         11.809
     30/12/1984         11.690
     31/12/1985         11.606
     31/12/1986         11.369
     31/12/1987         11.354
     30/12/1988         11.043
     31/12/1989         10.884
     31/12/1990         10.810
     31/12/1991         10.803
     30/12/1992         10.752
     31/12/1993         10.751
     31/12/1994         10.744
     31/12/1995         10.360
