Summary_file = sunflower.sum
Title = Sunflower sample simulation
           year     dd/mm/yyyy            das          stage            lai        biomass          grain          yield        grain_n        tillers      rootdepth            cep       ws_pheno       ws_photo       ws_expan      ws_tiller       Ns_pheno       Ns_photo       Ns_expan      Ns_tiller
         (year)             ()         (days)             ()      (m^2/m^2)        (g/m^2)        (g/m^2)        (kg/ha)        (g/m^2)             ()           (mm)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()
           1988     14/12/1988              1          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     15/12/1988              2          2.000          0.000          0.000          0.000          0.000          0.000          0.000         88.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     16/12/1988              3          2.422          0.000          0.000          0.000          0.000          0.000          0.000        126.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     17/12/1988              4          2.609          0.000          0.000          0.000          0.000          0.000          0.000        164.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     18/12/1988              5          2.798          0.000          0.000          0.000          0.000          0.000          0.000        202.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     19/12/1988              6          3.000          0.002          1.000          0.000          0.000          0.000          0.000        240.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     20/12/1988              7          3.099          0.015          1.050          0.000          0.000          0.000          0.000        278.000          0.022          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
           1988     21/12/1988              8          3.184          0.018          1.455          0.000          0.000          0.000          0.000        316.000          0.239          1.000          1.000          1.000          1.000          1.000          1.000          0.927          1.000
           1988     22/12/1988              9          3.280          0.020          1.883          0.000          0.000          0.000          0.000        354.000          0.408          1.000          1.000          1.000          1.000          1.000          1.000          0.664          1.000
           1988     23/12/1988             10          3.372          0.022          2.360          0.000          0.000          0.000          0.000        392.000          0.631          1.000          1.000          1.000          1.000          1.000          0.970          0.631          1.000
           1988     24/12/1988             11          3.467          0.025          2.884          0.000          0.000          0.000          0.000        430.000          0.839          1.000          1.000          1.000          1.000          1.000          0.975          0.657          1.000
           1988     25/12/1988             12          3.558          0.028          3.512          0.000          0.000          0.000          0.000        468.000          1.138          1.000          1.000          1.000          1.000          1.000          0.978          0.653          1.000
           1988     26/12/1988             13          3.649          0.033          4.242          0.000          0.000          0.000          0.000        506.000          1.479          1.000          1.000          1.000          1.000          1.000          0.989          0.680          1.000
           1988     27/12/1988             14          3.748          0.038          4.903          0.000          0.000          0.000          0.000        544.000          1.705          1.000          1.000          1.000          1.000          1.000          0.994          0.690          1.000
           1988     28/12/1988             15          3.835          0.044          5.941          0.000          0.000          0.000          0.000        582.000          2.257          1.000          1.000          1.000          1.000          1.000          1.000          0.696          1.000
           1988     29/12/1988             16          3.928          0.052          7.062          0.000          0.000          0.000          0.000        620.000          2.749          1.000          1.000          1.000          1.000          1.000          1.000          0.719          1.000
           1988     30/12/1988             17          4.000          0.061          8.277          0.000          0.000          0.000          0.000        658.000          3.193          1.000          1.000          1.000          1.000          1.000          0.994          0.707          1.000
           1988     31/12/1988             18          4.066          0.073          9.680          0.000          0.000          0.000          0.000        696.000          3.642          1.000          1.000          1.000          1.000          0.989          0.989          0.714          0.626
           1989     01/01/1989             19          4.115          0.085         11.355          0.000          0.000          0.000          0.000        734.000          4.292          1.000          1.000          1.000          1.000          0.957          0.957          0.704          0.587
           1989     02/01/1989             20          4.164          0.100         12.703          0.000          0.000          0.000          0.000        772.000          4.618          1.000          1.000          1.000          1.000          0.947          0.947          0.707          0.574
           1989     03/01/1989             21          4.213          0.118         14.761          0.000          0.000          0.000          0.000        810.000          5.539          1.000          1.000          1.000          1.000          0.979          0.979          0.743          0.613
           1989     04/01/1989             22          4.260          0.139         17.552          0.000          0.000          0.000          0.000        848.000          6.912          1.000          1.000          1.000          1.000          0.969          0.969          0.741          0.602
           1989     05/01/1989             23          4.305          0.161         20.908          0.000          0.000          0.000          0.000        886.000          8.666          1.000          1.000          1.000          1.000          0.949          0.949          0.727          0.576
           1989     06/01/1989             24          4.356          0.191         23.322          0.000          0.000          0.000          0.000        924.000          9.293          1.000          1.000          1.000          1.000          0.941          0.941          0.724          0.567
           1989     07/01/1989             25          4.406          0.226         27.017          0.000          0.000          0.000          0.000        962.000         10.803          1.000          1.000          1.000          1.000          0.981          0.981          0.760          0.615
           1989     08/01/1989             26          4.457          0.267         31.876          0.000          0.000          0.000          0.000       1000.000         12.664          1.000          1.000          1.000          1.000          0.970          0.970          0.754          0.602
           1989     09/01/1989             27          4.505          0.312         37.350          0.000          0.000          0.000          0.000       1038.000         15.022          1.000          1.000          1.000          1.000          0.947          0.947          0.736          0.574
           1989     10/01/1989             28          4.547          0.357         44.472          0.000          0.000          0.000          0.000       1076.000         19.204          1.000          1.000          1.000          1.000          0.947          0.947          0.737          0.574
           1989     11/01/1989             29          4.594          0.413         51.220          0.000          0.000          0.000          0.000       1114.000         22.358          1.000          1.000          1.000          1.000          0.943          0.943          0.735          0.569
           1989     12/01/1989             30          4.640          0.476         60.086          0.000          0.000          0.000          0.000       1152.000         26.798          1.000          1.000          1.000          1.000          0.962          0.962          0.751          0.592
           1989     13/01/1989             31          4.687          0.549         69.903          0.000          0.000          0.000          0.000       1190.000         31.340          1.000          1.000          1.000          1.000          0.954          0.954          0.746          0.583
           1989     14/01/1989             32          4.736          0.634         79.580          0.000          0.000          0.000          0.000       1228.000         34.447          1.000          1.000          1.000          1.000          0.956          0.956          0.748          0.585
           1989     15/01/1989             33          4.785          0.730         91.271          0.000          0.000          0.000          0.000       1266.000         38.938          1.000          1.000          1.000          1.000          0.971          0.971          0.760          0.603
           1989     16/01/1989             34          4.835          0.836        104.179          0.000          0.000          0.000          0.000       1304.000         43.793          1.000          1.000          1.000          1.000          0.973          0.973          0.762          0.605
           1989     17/01/1989             35          4.883          0.950        118.768          0.000          0.000          0.000          0.000       1342.000         50.122          1.000          1.000          1.000          1.000          0.977          0.977          0.767          0.611
           1989     18/01/1989             36          4.929          1.068        135.274          0.000          0.000          0.000          0.000       1380.000         58.984          1.000          1.000          1.000          1.000          0.983          0.983          0.771          0.618
           1989     19/01/1989             37          4.974          1.191        153.400          0.000          0.000          0.000          0.000       1418.000         69.456          1.000          1.000          1.000          1.000          0.988          0.988          0.777          0.625
           1989     20/01/1989             38          5.000          1.304        169.523          0.000          0.000          0.000          0.000       1456.000         78.016          1.000          1.000          1.000          1.000          0.995          0.995          0.782          0.633
           1989     21/01/1989             39          5.066          1.437        189.488          0.000          0.000          0.000          0.000       1494.000         89.418          1.000          1.000          0.795          1.000          1.000          1.000          0.850          0.725
           1989     22/01/1989             40          5.116          1.604        204.332          0.000          0.000          0.000          0.000       1532.000         95.250          1.000          1.000          1.000          1.000          1.000          1.000          0.857          0.739
           1989     23/01/1989             41          5.170          1.791        218.216          0.000          0.000          0.000          0.000       1570.000         99.058          1.000          1.000          1.000          1.000          1.000          1.000          0.894          0.802
           1989     24/01/1989             42          5.220          1.962        232.204          0.000          0.000          0.000          0.000       1608.000        101.894          1.000          1.000          1.000          1.000          1.000          1.000          0.923          0.854
           1989     25/01/1989             43          5.265          2.115        252.006          0.000          0.000          0.000          0.000       1646.000        107.959          1.000          1.000          1.000          1.000          1.000          1.000          0.939          0.881
           1989     26/01/1989             44          5.309          2.259        274.322          0.000          0.000          0.000          0.000       1684.000        117.385          1.000          1.000          0.965          1.000          1.000          1.000          0.930          0.862
           1989     27/01/1989             45          5.353          2.386        291.435          0.000          0.000          0.000          0.000       1722.000        123.409          1.000          1.000          1.000          1.000          1.000          1.000          0.908          0.818
           1989     28/01/1989             46          5.398          2.507        312.460          0.000          0.000          0.000          0.000       1760.000        130.524          1.000          1.000          1.000          1.000          1.000          1.000          0.892          0.786
           1989     29/01/1989             47          5.442          2.611        333.842          0.000          0.000          0.000          0.000       1798.000        138.992          1.000          1.000          0.996          1.000          1.000          1.000          0.848          0.706
           1989     30/01/1989             48          5.485          2.624        359.178          0.000          0.000          0.000          0.000       1800.000        153.718          1.000          1.000          0.194          1.000          0.992          0.992          0.805          0.629
           1989     31/01/1989             49          5.522          2.626        379.069          0.000          0.000          0.000          0.000       1800.000        168.618          1.000          0.803          0.100          1.000          0.954          0.954          0.818          0.582
           1989     01/02/1989             50          5.566          2.650        401.206          0.000          0.000          0.000          0.000       1800.000        179.560          1.000          1.000          0.311          1.000          0.935          0.935          0.836          0.559
           1989     02/02/1989             51          5.613          2.721        417.299          0.000          0.000          0.000          0.000       1800.000        183.804          1.000          1.000          1.000          1.000          0.906          0.906          0.833          0.526
           1989     03/02/1989             52          5.658          2.776        432.210          0.000          0.000          0.000          0.000       1800.000        187.152          1.000          1.000          1.000          1.000          0.889          0.889          0.812          0.506
           1989     04/02/1989             53          5.697          2.814        438.945          0.000          0.000          0.000          0.000       1800.000        187.690          1.000          1.000          1.000          1.000          0.880          0.880          0.799          0.496
           1989     05/02/1989             54          5.731          2.843        443.650          0.000          0.000          0.000          0.000       1800.000        187.981          1.000          1.000          1.000          1.000          0.895          0.895          0.807          0.512
           1989     06/02/1989             55          5.768          2.872        456.454          0.000          0.000          0.000          0.000       1800.000        190.046          1.000          1.000          1.000          1.000          0.913          0.913          0.818          0.534
           1989     07/02/1989             56          5.808          2.897        472.357          0.000          0.000          0.000          0.000       1800.000        193.672          1.000          1.000          1.000          1.000          0.912          0.912          0.814          0.533
           1989     08/02/1989             57          5.852          2.917        492.359          0.000          0.000          0.000          0.000       1800.000        201.236          1.000          1.000          0.803          1.000          0.907          0.907          0.809          0.527
           1989     09/02/1989             58          5.894          2.909        513.674          0.000          0.000          0.000          0.000       1800.000        212.359          1.000          1.000          0.224          1.000          0.901          0.901          0.809          0.520
           1989     10/02/1989             59          5.932          2.898        531.904          0.000          0.000          0.000          0.000       1800.000        223.905          1.000          0.810          0.100          1.000          0.903          0.903          0.828          0.522
           1989     11/02/1989             60          5.977          2.898        549.035          0.000          0.000          0.000          0.000       1800.000        230.886          1.000          1.000          0.584          1.000          0.910          0.910          0.848          0.530
           1989     12/02/1989             61          6.000          2.877        565.963          0.000          0.000          0.000          0.000       1800.000        236.816          1.000          1.000          0.734          1.000          0.920          0.920          0.860          0.542
           1989     13/02/1989             62          7.000          2.857        585.964          0.000          0.000          0.000          0.000       1800.000        246.268          1.000          0.891          0.100          1.000          0.934          0.934          0.889          0.558
           1989     14/02/1989             63          7.594          2.835        602.217          0.000          0.000          0.000          0.000       1800.000        254.739          1.000          0.710          0.100          1.000          0.931          0.931          0.913          0.555
           1989     15/02/1989             64          7.838          2.812        616.768          0.000          0.000          0.000          0.000       1800.000        262.323          1.000          0.635          0.100          1.000          0.936          0.936          0.941          0.560
           1989     16/02/1989             65          8.000          2.786        628.478          5.668         56.681          0.112          0.000       1800.000        269.109          1.000          0.566          0.100          1.000          0.943          0.943          0.971          0.569
           1989     17/02/1989             66          8.054          2.758        641.403         11.593        115.934          0.229          0.000       1800.000        275.205          1.000          0.655          0.100          1.000          0.945          0.945          0.987          0.571
           1989     18/02/1989             67          8.094          2.728        652.453         17.727        177.267          0.350          0.000       1800.000        280.691          1.000          0.584          0.100          1.000          0.946          0.946          1.000          0.572
           1989     19/02/1989             68          8.137          2.696        661.043         23.997        239.969          0.473          0.000       1800.000        285.635          1.000          0.459          0.100          1.000          0.949          0.949          1.000          0.577
           1989     20/02/1989             69          8.181          2.662        667.960         30.374        303.736          0.599          0.000       1800.000        290.093          1.000          0.375          0.100          1.000          0.956          0.956          1.000          0.585
           1989     21/02/1989             70          8.224          2.623        683.632         37.382        373.820          0.744          0.000       1800.000        297.993          1.000          1.000          0.498          1.000          0.965          0.965          1.000          0.597
           1989     22/02/1989             71          8.269          2.578        701.473         44.845        448.448          0.900          0.000       1800.000        304.729          1.000          1.000          0.608          1.000          0.968          0.968          1.000          0.599
           1989     23/02/1989             72          8.308          2.532        717.967         52.567        525.670          1.064          0.000       1800.000        310.360          1.000          1.000          0.767          1.000          0.967          0.967          1.000          0.599
