Summary_file = P40N25c_h.sum
Title = P40N25
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              73.824            505.138             26.946              2.980              2.169              2.043              1.376              1.363              1.347              1.334              1.323              1.310          0.000          0.049          1.913          0.382          0.203         13.529         37.574       1322.633         403.233              0.146              0.230              0.249              0.261              0.270              0.278              0.289              0.296              0.300              0.300        461.265         78.689          0.113          0.113                 0.477                 0.307                 0.468             43       1771.752       6172.233          0.691          3.795       1700.000        101.207              1.046              0.457              0.183              0.064              0.021              0.001              0.002              0.006              0.018              0.117         51.490         14.862              ?              ?              ?
      1953       108     18/04/1953        918.900              44.924            392.780             25.192              2.964              2.215              2.114              1.374              1.310              1.306              1.325              1.322              1.309          0.000          0.237          1.484          0.459          3.159        271.022         52.767       1318.748         423.719              0.219              0.284              0.292              0.298              0.299              0.300              0.300              0.300              0.301              0.301        499.245        111.245          1.252          1.252                 0.363                 0.216                 1.000             49        877.611       5193.468          0.680          3.042       1700.000         83.124              0.699              0.321              0.170              0.120              0.059              0.026              0.024              0.018              0.015              0.031         68.092          3.782              ?              ?              ?
      1954        97     07/04/1954        668.500              40.409            274.986             25.984              2.957              2.190              2.121              1.410              1.361              1.344              1.315              1.296              1.282          0.000          0.624          1.674          0.461          4.369        353.680         66.739       1315.646         336.994              0.195              0.258              0.269              0.278              0.285              0.290              0.296              0.299              0.300              0.300        481.918         94.384          0.990          0.990                 0.384                 0.233                 1.000             36       1103.052       6005.130          0.780          3.525       1700.000         94.729              1.050              0.283              0.115              0.071              0.041              0.021              0.022              0.011              0.013              0.048         82.492          2.796              ?              ?              ?
      1955        92     02/04/1955       1006.700              81.437            500.377             28.189              3.105              2.247              2.167              1.388              1.320              1.304              1.277              1.263              1.252          0.000          0.814          1.749          0.497          5.217        424.955         77.385       1313.315         396.771              0.198              0.267              0.278              0.286              0.292              0.295              0.299              0.300              0.300              0.300        488.600        100.778          0.775          0.775                 0.386                 0.236                 1.000             32        860.237       5583.545          0.693          3.314       1700.000         85.182              1.066              0.268              0.123              0.078              0.045              0.025              0.024              0.015              0.015              0.090         96.637         10.302              ?              ?              ?
      1956        97     06/04/1956       1000.800              89.569            422.391             26.827              2.983              2.193              2.138              1.395              1.346              1.320              1.280              1.265              1.253          0.000          0.727          1.939          0.511          4.684        367.756         84.467       1311.384         427.686              0.209              0.273              0.283              0.291              0.295              0.297              0.299              0.300              0.300              0.300        492.799        104.799          0.367          0.367                 0.368                 0.236                 1.000             39       1535.071       6413.167          0.926          4.257       1700.000        103.347              1.330              0.245              0.118              0.088              0.051              0.028              0.025              0.013              0.014              0.027        111.176          5.946              ?              ?              ?
      1957        94     04/04/1957       1059.500              74.422            481.801             29.682              2.894              2.134              2.089              1.341              1.304              1.275              1.243              1.239              1.228          0.000          0.847          1.850          0.559          5.361        417.480         88.092       1309.580         456.915              0.176              0.254              0.267              0.277              0.284              0.290              0.296              0.299              0.300              0.300        479.021         93.408          1.163          1.163                 0.388                 0.263                 0.979             36       1472.642       5922.169          0.760          3.884       1700.000         90.895              1.151              0.303              0.129              0.086              0.053              0.031              0.027              0.019              0.014              0.038        124.040          9.821              ?              ?              ?
      1958       101     11/04/1958        815.700              79.817            346.200             27.811              2.971              2.186              2.132              1.381              1.345              1.309              1.274              1.252              1.240          0.000          0.583          2.706          0.689          4.083        324.213         91.748       1308.462         360.420              0.236              0.245              0.251              0.259              0.268              0.276              0.288              0.296              0.299              0.300        470.551         82.551          1.442          1.442                 0.358                 0.231                 1.000             43       1833.775       6752.522          0.863          4.397       1700.000        107.164              1.853              0.386              0.156              0.096              0.053              0.030              0.029              0.016              0.017              0.070        138.104          8.277              ?              ?              ?
      1959       117     27/04/1959        797.300              34.063            310.677             29.819              2.981              2.203              2.133              1.372              1.335              1.308              1.271              1.253              1.242          0.000          0.642          2.853          0.541          5.106        408.215         97.698       1308.021         411.944              0.139              0.219              0.236              0.245              0.255              0.265              0.280              0.292              0.298              0.300        446.790         64.904          1.828          1.828                 0.362                 0.236                 0.981             57       1954.754       6418.634          0.647          4.080       1700.000        101.752              1.826              0.322              0.165              0.106              0.059              0.033              0.035              0.023              0.024              0.260        150.673         13.453              ?              ?              ?
      1960       106     15/04/1960        663.400              29.817            270.443             29.604              2.842              2.147              2.088              1.332              1.308              1.291              1.256              1.231              1.221          0.000          0.587          2.466          0.675          6.033        499.753        103.767       1308.095         325.434              0.292              0.298              0.289              0.275              0.282              0.288              0.295              0.299              0.300              0.300        495.502        107.502          4.223          4.223                 0.401                 0.284                 0.846             45       1926.438       5952.739          0.753          3.820       1700.000         91.004              1.315              0.603              0.194              0.093              0.053              0.034              0.034              0.022              0.020              0.099        161.511          5.523              ?              ?              ?
      1961        85     26/03/1961        989.300              52.286            423.274             28.949              3.043              2.194              2.153              1.326              1.280              1.251              1.218              1.201              1.189          0.000          0.375          2.371          0.919          3.733        309.547         94.761       1307.136         411.024              0.271              0.291              0.296              0.298              0.299              0.300              0.300              0.300              0.300              0.301        505.441        117.440          0.723          0.723                 0.383                 0.259                 1.000             29       1757.713       7200.474          1.066          5.114       1700.000        114.429              1.509              0.355              0.176              0.128              0.063              0.033              0.023              0.017              0.018              0.049        171.714          6.880              ?              ?              ?
