APSIM output file, version = 5.4
Title = p10N100
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1976            104     13/04/1976        733.700              37.309            242.237          9.040          2.652          2.001          1.890          1.119          1.131          1.125          1.124          1.122          1.115          0.000          0.035          7.012          0.518          0.205         10.435         34.872       1320.629         372.691          0.260          0.293          0.299          0.301          0.301          0.301          0.301          0.301          0.301          0.301        506.519        118.519          0.058          0.058                 0.474                 0.474                 0.850             43       2914.024       8046.137          0.716         10.757       1700.000        119.479          1.902          1.599          1.020          0.709          0.248          0.064          0.080          0.172          0.383          0.836         40.965         27.767              ?              ?              ?
           1977            113     23/04/1977       1122.500             138.824            495.775          8.858          2.580          2.023          1.978          1.218          1.112          1.126          1.167          1.137          1.126          0.000          0.040         11.062          0.592          1.061         31.826         62.937       1318.111         437.125          0.189          0.265          0.276          0.285          0.290          0.294          0.298          0.300          0.300          0.300        486.554         99.681          0.000          0.000                 0.363                 0.360                 0.892             52       3378.395       7736.282          0.734         10.339       1700.000        100.585          4.442          1.732          0.944          0.768          0.427          0.239          0.227          0.318          0.619          1.346         42.146         64.421              ?              ?              ?
           1978             97     07/04/1978       1159.600             109.240            548.291          9.011          2.547          1.994          1.986          1.205          1.216          1.177          1.142          1.121          1.111          0.000          0.032          9.975          0.793          0.956         28.801         62.492       1313.875         398.551          0.239          0.287          0.294          0.299          0.300          0.300          0.300          0.301          0.301          0.301        502.359        114.359          0.000          0.000                 0.372                 0.370                 0.901             40       3546.644       8982.893          0.841         11.881       1700.000        129.875          3.793          1.921          1.197          1.192          0.658          0.369          0.223          0.159          0.174          0.291         43.511         51.841              ?              ?              ?
           1979            117     27/04/1979        678.800              19.270            205.052         10.748          2.684          2.048          2.033          1.262          1.272          1.230          1.180          1.135          1.122          0.000          0.058         45.624          0.615          2.090         61.644         92.691       1314.861         399.707          0.197          0.262          0.273          0.281          0.285          0.286          0.288          0.294          0.298          0.300        479.658         91.913          0.044          0.044                 0.369                 0.366                 0.858             56       2302.904       6034.273          0.496          8.923       1700.000         80.090          8.993          5.436          5.279          8.947          6.089          3.461          2.526          1.943          1.573          1.377         44.643         22.652              ?              ?              ?
           1980             87     27/03/1980        661.800              26.718            257.315         10.546          2.646          2.021          1.995          1.202          1.200          1.165          1.129          1.107          1.097          0.000          0.055         41.081          0.698          2.684         68.131         91.531       1314.115         334.954          0.185          0.263          0.276          0.285          0.290          0.291          0.289          0.288          0.296          0.299        480.075         93.525          0.031          0.031                 0.400                 0.397                 0.845             32       2202.716       6234.185          0.518          9.507       1700.000         93.581          7.510          5.092          4.527          6.407          4.276          2.781          2.683          2.577          2.614          2.616         45.945         40.776              ?              ?              ?
           1981             88     29/03/1981       1027.100             120.760            427.854         10.752          2.497          1.948          1.950          1.175          1.188          1.161          1.131          1.103          1.096          0.000          0.033         28.035          0.879          1.287         33.852         99.283       1315.432         408.217          0.297          0.303          0.306          0.306          0.306          0.306          0.306          0.306          0.306          0.306        518.985        130.985          0.000          0.000                 0.365                 0.362                 0.919             30       3997.105       8354.227          0.870         11.035       1700.000        104.920          2.579          2.458          2.322          3.565          2.839          2.579          2.691          2.922          3.054          3.026         46.990         44.596              ?              ?              ?
           1982             92     02/04/1982        781.000              70.287            259.865         11.463          2.632          2.026          2.003          1.210          1.205          1.176          1.132          1.110          1.100          0.000          0.044         32.366          0.680          1.611         47.219        100.797       1315.929         352.543          0.185          0.263          0.277          0.288          0.295          0.299          0.300          0.300          0.300          0.300        488.692        102.189          0.071          0.071                 0.350                 0.347                 0.883             36       2610.146       6893.648          0.575         10.674       1700.000        108.052          6.036          3.234          2.937          5.344          4.480          3.116          2.394          1.884          1.566          1.373         48.257         33.584              ?              ?              ?
           1983             99     09/04/1983        492.900               7.709            107.935         13.440          2.849          2.118          2.102          1.279          1.229          1.191          1.138          1.116          1.106          0.000          0.030         59.157          0.762          1.249         32.596        105.208       1317.220         335.011          0.165          0.245          0.258          0.264          0.251          0.247          0.267          0.285          0.295          0.299        448.726         64.262          0.146          0.146                 0.328                 0.325                 0.874             45       1902.540       5857.660          0.445          9.425       1700.000         91.043         16.093         10.449          9.652         12.062          5.156          1.896          1.327          0.940          0.805          0.776         49.888         12.594              ?              ?              ?
           1984            113     22/04/1984        627.200              19.125            171.388         12.041          2.622          2.025          2.008          1.224          1.231          1.205          1.152          1.120          1.110          0.000          0.028         62.062          0.736          1.380         32.762         93.829       1316.609         357.530          0.180          0.258          0.272          0.281          0.287          0.292          0.297          0.299          0.300          0.300        482.362         96.328          0.028          0.028                 0.359                 0.356                 0.882             55       2817.728       6717.858          0.630          9.405       1700.000         86.308          8.015          5.754          6.502         13.402         10.856          7.083          4.417          2.804          1.866          1.363         51.870         30.442              ?              ?              ?
           1985             95     05/04/1985       1049.100              57.022            496.511         10.639          2.564          1.956          1.978          1.187          1.184          1.139          1.108          1.100          1.093          0.000          0.033         11.468          0.690          1.413         37.306         91.893       1316.301         406.847          0.206          0.275          0.285          0.292          0.296          0.298          0.300          0.300          0.300          0.300        493.912        105.912          0.000          0.000                 0.376                 0.367                 0.881             38       3069.979       8695.599          0.731         10.624       1700.000        129.245          5.260          1.465          0.881          0.846          0.450          0.221          0.130          0.154          0.456          1.605         53.130         74.455              ?              ?              ?
