Summary_file = p20N250c_h.sum
Title = p20N250
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              73.996            475.125             12.761              2.656              2.055              1.969              1.341              1.345              1.331              1.323              1.314              1.303          0.000          0.052         66.796          0.395          0.320         15.439         37.732       1322.730         403.488              0.117              0.216              0.238              0.248              0.255              0.263              0.276              0.289              0.297              0.300        442.528         62.802          0.109          0.109                 0.477                 0.477                 0.365             43       3479.053       9978.803          0.780         14.952       1700.000        140.839              4.051              3.532              3.680              7.373              7.127              6.274              7.405              8.248              9.147              9.959         45.237        132.665              ?              ?              ?
      1953       108     18/04/1953        918.900              49.062            331.864             11.216              2.451              2.016              1.993              1.391              1.410              1.388              1.356              1.334              1.311          0.000          0.058        106.038          0.830          1.911         52.788         72.685       1322.255         405.698              0.233              0.286              0.294              0.299              0.300              0.300              0.300              0.301              0.301              0.301        501.755        113.755          0.000          0.000                 0.363                 0.360                 0.295             49       4389.425      10374.183          0.954         15.709       1700.000        149.767              4.088              3.318              4.274             15.241             19.937             19.615             15.805             11.281              7.548              4.932         51.513         88.163              ?              ?              ?
      1954        97     07/04/1954        668.500              48.324            209.879             11.449              2.500              2.015              2.015              1.406              1.422              1.395              1.347              1.311              1.285          0.000          0.081        139.220          0.703          3.933         91.612         91.355       1322.177         334.762              0.205              0.267              0.278              0.288              0.294              0.298              0.300              0.300              0.300              0.300        490.730        102.730          0.011          0.011                 0.384                 0.381                 0.349             36       3946.377       9711.805          0.866         14.602       1700.000        139.404              9.281              5.539              7.864             26.454             30.419             25.166             16.393              9.529              5.419              3.154         56.581         77.494              ?              ?              ?
      1955        92     02/04/1955       1006.700              87.370            429.064             11.908              2.456              1.997              2.002              1.364              1.380              1.352              1.316              1.273              1.253          0.000          0.071         94.644          0.738          3.267         77.391         94.840       1321.990         381.649              0.209              0.272              0.283              0.291              0.296              0.299              0.300              0.300              0.300              0.300        493.433        105.433          0.000          0.000                 0.386                 0.383                 0.394             32       5228.448      11691.043          1.114         16.149       1700.000        159.001              9.021              5.641              6.532             15.091             13.555             10.055              8.426              8.242              8.777              9.304         61.983        119.798              ?              ?              ?
      1956        97     06/04/1956       1000.800              92.499            362.295             13.234              2.460              1.999              2.027              1.387              1.409              1.374              1.327              1.280              1.255          0.000          0.052        129.211          0.765          2.008         51.888        102.380       1323.581         422.971              0.211              0.273              0.283              0.291              0.295              0.297              0.299              0.300              0.300              0.300        492.995        104.995          0.000          0.000                 0.368                 0.365                 0.398             39       5332.084      11324.288          1.177         15.000       1700.000        144.379              4.439              2.284              3.145             12.448             19.082             22.774             22.086             18.597             14.193             10.164         67.400        134.630              ?              ?              ?
      1957        95     05/04/1957       1059.500              74.144            435.423             14.650              2.527              1.996              2.014              1.354              1.379              1.346              1.305              1.254              1.232          0.000          0.063        143.985          0.892          2.389         69.921        108.831       1325.036         460.348              0.170              0.252              0.268              0.278              0.285              0.290              0.296              0.299              0.300              0.300        478.799         93.807          0.021          0.021                 0.390                 0.387                 0.477             36       4456.939       8893.527          0.871         11.995       1700.000        103.783              4.519              3.892              5.548             19.342             24.718             24.984             21.503             17.119             12.893              9.466         72.504        137.236              ?              ?              ?
      1958       101     11/04/1958        815.700              79.979            316.687             15.052              2.637              2.062              2.057              1.361              1.366              1.335              1.292              1.259              1.240          0.000          0.049        119.976          0.772          1.521         46.010        107.026       1326.417         359.382              0.219              0.223              0.232              0.239              0.247              0.259              0.277              0.291              0.298              0.300        449.563         61.563          0.010          0.010                 0.358                 0.356                 0.317             43       4207.904      11010.678          0.930         15.914       1700.000        145.443              6.790              3.554              4.804             15.867             19.470             19.218             17.337             14.177             10.812              7.947         78.690        120.129              ?              ?              ?
      1959       117     27/04/1959        797.300              34.854            302.379             16.830              2.776              2.125              2.098              1.384              1.382              1.355              1.310              1.262              1.239          0.000          0.062        138.676          0.884          2.185         63.119        133.769       1330.603         411.531              0.105              0.201              0.221              0.229              0.235              0.246              0.267              0.285              0.295              0.299        424.175         45.663          0.017          0.017                 0.362                 0.360                 0.287             57       2620.301       8843.934          0.630         14.088       1700.000        135.358             22.384             12.345             14.155             23.942             17.196             12.406             11.283              9.976              8.356              6.632         84.468         89.778              ?              ?              ?
      1960       106     15/04/1960        663.400              30.941            245.205             15.815              2.573              2.065              2.081              1.378              1.373              1.333              1.291              1.256              1.223          0.000          0.092        153.412          1.153          4.460        111.937        148.552       1334.623         317.747              0.293              0.299              0.294              0.272              0.264              0.264              0.277              0.289              0.297              0.300        481.015         93.015          0.069          0.069                 0.401                 0.418                 0.310             45       3173.191       8759.072          0.718         13.855       1700.000        125.788              8.500              8.035              9.463             27.918             30.221             24.244             18.409             12.823              8.438              5.361         89.407        105.677              ?              ?              ?
      1961        85     26/03/1961        989.300              52.231            327.202             14.224              2.468              1.976              2.005              1.300              1.308              1.267              1.243              1.223              1.195          0.000          0.049        114.867          1.454          1.990         49.552        130.465       1339.577         397.442              0.277              0.292              0.297              0.299              0.299              0.300              0.300              0.300              0.300              0.301        506.290        118.290          0.000          0.000                 0.383                 0.380                 0.371             29       5751.799      14135.899          1.425         18.687       1700.000        183.955              7.037              5.182              5.956             16.638             19.824             18.941             15.286             11.516              8.426              6.059         93.690        135.929              ?              ?              ?
