Summary_file = P40N175c_h.sum
Title = P40N175
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              74.829            472.632             23.472              2.828              2.112              2.019              1.346              1.335              1.321              1.314              1.306              1.295          0.000          0.054          4.671          0.361          0.320         15.460         37.714       1322.718         399.311              0.100              0.200              0.208              0.210              0.214              0.223              0.256              0.279              0.293              0.298        405.559         27.553          0.106          0.106                 0.477                 0.474                 0.408             43       5246.396      12545.782          1.087         14.917       1700.000        152.941              0.968              0.390              0.190              0.086              0.031              0.001              0.028              0.103              0.451              2.423         50.886         83.254              ?              ?              ?
      1953       108     18/04/1953        918.900              46.230            293.591             17.287              2.598              2.042              1.930              1.279              1.267              1.272              1.319              1.334              1.311          0.000          0.127          3.803          0.822          3.867        147.486         78.217       1322.040         397.851              0.234              0.285              0.293              0.298              0.299              0.300              0.300              0.300              0.300              0.301        500.761        112.761          0.034          0.034                 0.363                 0.359                 0.339             49       6140.452      13703.292          1.358         16.044       1700.000        166.155              1.764              0.672              0.405              0.326              0.152              0.069              0.060              0.052              0.073              0.230         64.645         20.372              ?              ?              ?
      1954        97     07/04/1954        668.500              47.801            182.171             19.502              2.718              2.128              2.120              1.469              1.438              1.404              1.352              1.311              1.282          0.000          0.150          4.051          0.845          4.752        182.434        108.253       1323.374         329.790              0.166              0.234              0.245              0.251              0.257              0.262              0.272              0.285              0.295              0.299        448.574         63.937          0.053          0.053                 0.384                 0.381                 0.493             36       6022.313      14802.216          1.351         18.180       1700.000        172.778              2.177              0.442              0.220              0.162              0.106              0.068              0.107              0.107              0.162              0.500         75.668         22.868              ?              ?              ?
      1955        92     02/04/1955       1006.700              84.820            419.885             18.836              2.660              2.117              2.110              1.433              1.421              1.388              1.339              1.290              1.256          0.000          0.159          5.221          1.101          5.055        199.998        131.275       1326.917         369.450              0.186              0.250              0.259              0.264              0.266              0.260              0.267              0.284              0.295              0.299        456.479         69.918          0.032          0.032                 0.386                 0.376                 0.497             32       6176.237      15858.077          1.618         16.930       1700.000        175.602              2.287              0.363              0.176              0.123              0.078              0.061              0.085              0.094              0.254              1.701         86.313         59.997              ?              ?              ?
      1956        97     06/04/1956       1000.800              96.541            315.705             18.933              2.625              2.076              2.099              1.437              1.444              1.405              1.352              1.296              1.258          0.000          0.156         10.491          1.047          4.240        201.396        144.091       1331.830         413.374              0.201              0.258              0.267              0.274              0.280              0.285              0.294              0.298              0.300              0.300        478.719         90.719          0.138          0.138                 0.368                 0.365                 0.727             39       6057.734      14718.458          1.746         18.416       1700.000        165.360              3.314              0.819              0.687              1.083              0.874              0.670              0.697              0.686              0.737              0.924         97.163         36.060              ?              ?              ?
      1957        94     04/04/1957       1059.500              75.605            405.622             23.395              2.674              2.070              2.080              1.394              1.407              1.368              1.326              1.268              1.230          0.000          0.149         26.746          1.086          4.478        200.519        151.432       1337.008         446.260              0.154              0.223              0.233              0.239              0.247              0.257              0.280              0.293              0.298              0.300        443.553         60.119          0.150          0.150                 0.388                 0.386                 0.934             36       5500.408      13044.867          1.424         16.647       1700.000        135.568              3.902              1.512              1.451              3.104              3.142              2.722              2.852              2.705              2.634              2.722        107.021         59.914              ?              ?              ?
      1958       101     11/04/1958        815.700              80.852            308.056             24.742              2.849              2.164              2.151              1.405              1.394              1.363              1.317              1.274              1.247          0.000          0.128         19.645          0.892          3.794        166.657        152.568       1342.099         349.506              0.216              0.206              0.207              0.209              0.214              0.225              0.259              0.282              0.294              0.299        419.374         31.374          0.141          0.141                 0.358                 0.355                 0.740             43       5629.798      13772.441          1.220         18.395       1700.000        166.330              6.212              1.019              0.793              1.530              1.409              1.122              1.480              1.643              1.956              2.479        119.072         57.067              ?              ?              ?
      1959       117     27/04/1959        797.300              34.284            296.732             27.614              2.955              2.210              2.183              1.434              1.414              1.386              1.333              1.274              1.241          0.000          0.165         41.011          1.047          5.883        212.216        178.893       1348.473         405.491              0.100              0.200              0.206              0.208              0.212              0.222              0.255              0.278              0.292              0.298        403.587         25.584          0.073          0.073                 0.362                 0.360                 0.337             57       3656.434      10728.850          0.840         16.157       1700.000        149.438             13.389              3.606              3.132              4.528              2.895              1.866              2.324              2.557              3.017              3.699        130.231         58.942              ?              ?              ?
      1960       106     15/04/1960        663.400              30.920            241.509             29.093              2.812              2.154              2.158              1.428              1.426              1.378              1.312              1.269              1.226          0.000          0.148         77.338          1.532          6.205        187.898        190.348       1354.977         314.887              0.290              0.288              0.250              0.248              0.237              0.244              0.267              0.285              0.295              0.299        457.383         69.383          0.076          0.076                 0.401                 0.418                 0.335             46       4495.466      10558.205          0.973         15.040       1700.000        137.317              8.120              6.529              5.261             12.327             11.641              9.298              8.467              6.727              5.138              3.830        140.909         74.600              ?              ?              ?
      1961        85     26/03/1961        989.300              51.752            289.255             24.762              2.744              2.108              2.131              1.378              1.354              1.299              1.259              1.235              1.202          0.000          0.069         51.457          1.730          2.484         76.318        157.406       1362.729         397.604              0.271              0.287              0.290              0.291              0.291              0.294              0.298              0.300              0.300              0.300        499.425        111.425          0.000          0.000                 0.383                 0.380                 0.397             29       5747.428      15709.870          2.081         19.505       1700.000        181.552              7.492              4.523              4.116              7.234              6.581              5.376              4.700              4.168              3.800              3.467        151.525         79.376              ?              ?              ?
