Summary_file = p50N75c_h.sum
Title = p50N75
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.564            481.511             30.451              2.939              2.156              2.038              1.369              1.357              1.340              1.327              1.318              1.306          0.000          0.052          2.259          0.354          0.252         14.946         37.622       1322.657         397.968              0.129              0.213              0.229              0.237              0.246              0.257              0.277              0.291              0.298              0.300        438.389         57.518          0.105          0.105                 0.477                 0.365                 0.452             43       4364.802       9871.165          1.065          7.234       1700.000        145.418              0.969              0.432              0.184              0.068              0.019              0.001              0.001              0.002              0.048              0.535         54.069         40.688              ?              ?              ?
      1953       108     18/04/1953        918.900              48.783            353.226             24.529              2.722              2.123              2.026              1.328              1.268              1.267              1.290              1.322              1.310          0.000          0.198          1.805          0.606          2.766        221.123         62.136       1319.932         402.607              0.230              0.283              0.291              0.297              0.298              0.299              0.300              0.300              0.300              0.301        499.494        111.494          1.088          1.088                 0.363                 0.263                 0.639             49       3889.571       9100.633          1.435          6.474       1700.000        139.521              0.901              0.355              0.194              0.141              0.068              0.031              0.027              0.026              0.023              0.041         73.514          6.893              ?              ?              ?
      1954        97     07/04/1954        668.500              49.534            222.732             25.712              2.788              2.141              2.106              1.412              1.367              1.346              1.329              1.303              1.283          0.000          0.256          2.282          0.648          3.361        259.585         80.776       1318.285         331.596              0.185              0.249              0.261              0.269              0.276              0.282              0.292              0.298              0.300              0.300        472.631         86.180          0.970          0.970                 0.384                 0.286                 1.000             36       4279.079      10250.500          1.512          7.594       1700.000        150.239              1.448              0.321              0.135              0.092              0.059              0.036              0.042              0.032              0.022              0.095         89.426          7.667              ?              ?              ?
      1955        92     02/04/1955       1006.700              85.376            465.642             26.260              2.839              2.164              2.132              1.406              1.368              1.348              1.302              1.271              1.255          0.000          0.293          2.650          0.668          4.247        332.349         92.828       1317.614         377.607              0.201              0.265              0.276              0.284              0.289              0.293              0.298              0.299              0.300              0.300        486.700         98.700          0.771          0.771                 0.386                 0.285                 1.000             32       3867.843       9552.139          1.642          7.153       1700.000        142.117              1.553              0.294              0.136              0.095              0.060              0.040              0.045              0.041              0.046              0.341        104.790         30.549              ?              ?              ?
      1956        97     06/04/1956       1000.800             101.162            362.763             25.356              2.778              2.130              2.125              1.424              1.397              1.366              1.324              1.275              1.254          0.000          0.372          2.593          0.676          3.524        270.084         99.101       1317.303         415.368              0.210              0.268              0.278              0.285              0.290              0.293              0.298              0.299              0.300              0.300        488.790        100.790          0.465          0.465                 0.368                 0.297                 0.997             39       4690.439      10971.484          1.896          8.855       1700.000        158.863              1.780              0.272              0.137              0.114              0.072              0.046              0.047              0.037              0.026              0.063        120.442         14.851              ?              ?              ?
      1957        94     04/04/1957       1059.500              78.528            434.522             30.445              2.788              2.110              2.103              1.384              1.363              1.329              1.285              1.244              1.229          0.000          0.502          2.566          0.742          4.718        342.278        106.110       1317.377         448.376              0.169              0.243              0.257              0.266              0.273              0.280              0.291              0.297              0.300              0.300        468.122         83.258          0.982          0.982                 0.388                 0.320                 0.979             36       4617.672       9865.018          1.462          8.165       1700.000        133.552              1.548              0.343              0.154              0.115              0.078              0.053              0.055              0.052              0.041              0.126        134.201         22.786              ?              ?              ?
      1958       101     11/04/1958        815.700              82.213            320.057             30.959              2.955              2.196              2.171              1.430              1.407              1.367              1.320              1.271              1.247          0.000          0.293          3.488          0.738          3.553        258.790        109.293       1317.972         353.026              0.227              0.223              0.227              0.232              0.241              0.252              0.275              0.290              0.297              0.300        444.917         56.917          1.068          1.068                 0.358                 0.286                 0.986             43       4784.664      11258.632          1.251          8.975       1700.000        159.284              2.326              0.402              0.175              0.127              0.082              0.052              0.052              0.042              0.047              0.184        150.271         17.153              ?              ?              ?
      1959       117     27/04/1959        797.300              33.768            299.270             34.053              3.017              2.230              2.187              1.421              1.383              1.354              1.311              1.271              1.244          0.000          0.411          3.899          0.624          6.096        441.699        124.243       1319.715         408.615              0.113              0.202              0.217              0.223              0.230              0.241              0.266              0.284              0.295              0.299        420.856         41.533          1.802          1.802                 0.362                 0.294                 0.660             56       3810.332       9327.466          0.822          7.758       1700.000        139.457              2.281              0.325              0.173              0.123              0.084              0.059              0.074              0.063              0.091              0.626        165.082         26.266              ?              ?              ?
      1960       106     15/04/1960        663.400              30.868            244.899             33.963              2.839              2.163              2.115              1.376              1.361              1.340              1.299              1.251              1.223          0.000          0.340          3.876          0.947          5.959        380.927        136.450       1322.154         316.660              0.290              0.288              0.247              0.248              0.248              0.252              0.272              0.288              0.297              0.300        463.438         75.438          1.026          1.026                 0.401                 0.352                 0.368             46       4599.556       9940.286          1.022          8.294       1700.000        133.845              2.014              0.782              0.215              0.157              0.105              0.067              0.070              0.055              0.075              0.334        178.460         16.095              ?              ?              ?
      1961        86     27/03/1961        990.100              52.405            341.837             27.472              2.806              2.122              2.132              1.363              1.339              1.293              1.255              1.229              1.198          0.000          0.185          3.382          1.261          2.949        193.698        120.155       1324.353         399.435              0.270              0.287              0.292              0.295              0.296              0.297              0.299              0.300              0.300              0.300        502.278        114.278          0.196          0.196                 0.384                 0.323                 0.467             29       4842.419      12059.092          2.193         10.563       1700.000        170.748              2.167              0.406              0.202              0.154              0.079              0.045              0.037              0.036              0.056              0.199        190.986         22.805              ?              ?              ?
      1962        97     07/04/1962        868.500              43.536            327.449             32.559              2.915              2.163              2.174              1.392              1.352              1.293              1.257              1.226              1.190          0.000          0.414          3.797          1.108          3.799        241.691        124.102       1326.645         413.529              0.261              0.278              0.284              0.284              0.248              0.246              0.265              0.282              0.294              0.299        466.061         78.061          0.563          0.563                 0.369                 0.316                 0.993             39       4666.924      10894.642          1.453          8.972       1700.000        147.514              2.100              0.397              0.212              0.146              0.095              0.072              0.080              0.065              0.114              0.516        202.603         16.083              ?              ?              ?
      1963        95     05/04/1963       1055.400             178.284            443.155             32.450              2.874              2.137              2.153              1.334              1.309              1.275              1.232              1.192              1.170          0.000          0.291          3.485          0.925          3.901        261.202        127.587       1328.922         371.376              0.218              0.273              0.274              0.257              0.260              0.269              0.284              0.294              0.299              0.300        468.958         80.958          0.583          0.583                 0.386                 0.307                 0.990             33       4659.242      10540.810          1.586          8.583       1700.000        142.886              2.311              0.484              0.184              0.139              0.082              0.043              0.045              0.036              0.032              0.130        212.431         26.311              ?              ?              ?
      1964       102     11/04/1964        670.000              45.925            203.174             37.369              2.991              2.191              2.199              1.356              1.305              1.277              1.236              1.195              1.169          0.000          0.419          3.154          0.771          6.490        443.908        146.014       1331.469         331.733              0.100              0.200              0.210              0.214              0.221              0.233              0.263              0.284              0.295              0.299        412.760         34.752          4.503          4.503                 0.352                 0.303                 0.925             47       3308.162       8896.021          0.746          7.637       1700.000        139.803              1.973              0.337              0.170              0.144              0.091              0.057              0.070              0.063              0.058              0.192        222.898          8.351              ?              ?              ?
