Summary_file = p50N13c_h.sum
Title = p50N13
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              73.142            512.713             35.065              3.071              2.201              2.067              1.384              1.364              1.348              1.336              1.324              1.310          0.000          0.048          1.866          0.394          0.192         12.997         37.690       1322.718         406.683              0.147              0.232              0.251              0.263              0.272              0.280              0.290              0.297              0.300              0.300        462.998         80.249          0.119          0.119                 0.477                 0.283                 0.474             43        865.173       5131.021          0.541          2.852       1700.000         82.472              1.020              0.460              0.182              0.065              0.023              0.003              0.004              0.008              0.016              0.085         54.736         10.622              ?              ?              ?
      1953       108     18/04/1953        918.900              41.832            398.546             34.315              3.188              2.298              2.179              1.407              1.325              1.322              1.334              1.321              1.308          0.000          0.457          1.342          0.417          3.649        306.511         50.792       1318.615         433.654              0.219              0.283              0.292              0.297              0.299              0.300              0.300              0.300              0.300              0.301        498.787        110.787          1.191          1.191                 0.363                 0.207                 1.000             49        106.905       4261.563          0.448          2.243       1700.000         63.112              0.601              0.307              0.163              0.114              0.054              0.024              0.021              0.013              0.014              0.031         76.888          3.410              ?              ?              ?
      1954        97     07/04/1954        668.500              35.912            289.077             35.150              3.151              2.260              2.163              1.423              1.359              1.340              1.308              1.295              1.282          0.000          0.777          1.504          0.400          5.110        381.090         64.935       1315.367         342.488              0.197              0.256              0.267              0.277              0.284              0.289              0.296              0.299              0.300              0.300        480.912         93.173          0.603          0.603                 0.384                 0.222                 1.000             36        265.014       4895.772          0.533          2.532       1700.000         73.170              0.913              0.285              0.115              0.065              0.035              0.015              0.014              0.008              0.012              0.042         96.304          2.274              ?              ?              ?
      1955        92     02/04/1955       1006.700              80.326            501.309             37.706              3.262              2.299              2.193              1.388              1.310              1.294              1.274              1.262              1.252          0.000          0.903          1.575          0.472          5.605        419.690         76.106       1312.940         410.870              0.194              0.265              0.277              0.285              0.291              0.294              0.298              0.300              0.300              0.300        487.171         99.764          0.507          0.507                 0.386                 0.225                 1.000             32         60.509       4492.902          0.455          2.394       1700.000         62.182              0.950              0.266              0.121              0.073              0.039              0.019              0.016              0.009              0.012              0.070        115.370          7.229              ?              ?              ?
      1956        97     06/04/1956       1000.800              81.202            436.710             36.775              3.152              2.248              2.161              1.387              1.331              1.301              1.275              1.264              1.253          0.000          0.736          1.735          0.504          4.642        334.327         82.690       1310.846         435.064              0.202              0.272              0.282              0.290              0.294              0.297              0.299              0.300              0.300              0.300        491.430        103.430          0.205          0.205                 0.368                 0.226                 1.000             39        734.326       5408.159          0.652          3.307       1700.000         83.469              1.173              0.241              0.115              0.081              0.043              0.020              0.015              0.011              0.012              0.022        134.910          4.211              ?              ?              ?
      1957        94     04/04/1957       1059.500              66.619            497.831             39.605              3.025              2.177              2.107              1.335              1.283              1.259              1.249              1.238              1.229          0.000          0.792          1.774          0.523          5.221        374.244         85.856       1308.831         463.032              0.176              0.252              0.266              0.276              0.283              0.289              0.295              0.299              0.300              0.300        477.766         92.135          0.787          0.787                 0.388                 0.244                 0.982             35        551.265       4942.976          0.526          2.909       1700.000         70.436              1.126              0.300              0.127              0.079              0.046              0.023              0.018              0.011              0.013              0.031        152.429          7.610              ?              ?              ?
      1958       101     11/04/1958        815.700              71.788            359.212             36.542              3.078              2.219              2.139              1.369              1.325              1.291              1.262              1.250              1.239          0.000          0.612          2.558          0.659          4.214        304.633         89.386       1307.538         365.784              0.234              0.247              0.253              0.262              0.271              0.279              0.289              0.296              0.300              0.300        472.787         84.787          0.886          0.886                 0.358                 0.219                 1.000             43       1044.057       5652.128          0.755          3.419       1700.000         87.813              1.783              0.380              0.148              0.085              0.044              0.022              0.018              0.009              0.014              0.055        171.072          6.800              ?              ?              ?
      1959       117     27/04/1959        797.300              34.287            316.749             38.452              3.066              2.229              2.134              1.360              1.316              1.289              1.264              1.252              1.242          0.000          0.767          2.681          0.499          4.852        367.286         93.663       1306.733         413.333              0.146              0.224              0.241              0.252              0.261              0.271              0.284              0.294              0.299              0.300        453.135         70.520          1.557          1.557                 0.362                 0.223                 0.985             56       1131.094       5387.198          0.599          3.167       1700.000         84.182              1.776              0.321              0.162              0.093              0.048              0.025              0.024              0.011              0.019              0.202        187.653         10.748              ?              ?              ?
      1960       106     15/04/1960        663.400              28.803            282.234             39.064              2.955              2.180              2.105              1.325              1.290              1.274              1.243              1.231              1.220          0.000          0.832          2.195          0.601          6.262        507.001         97.533       1306.314         329.385              0.291              0.299              0.293              0.278              0.284              0.289              0.296              0.299              0.300              0.300        497.403        109.403          4.245          4.245                 0.401                 0.269                 0.975             45       1054.928       4908.636          0.652          2.900       1700.000         75.526              1.166              0.558              0.185              0.083              0.046              0.027              0.025              0.011              0.015              0.080        201.850          4.677              ?              ?              ?
      1961        85     26/03/1961        989.300              46.579            440.074             40.104              3.254              2.265              2.192              1.328              1.265              1.234              1.206              1.197              1.187          0.000          0.619          2.164          0.838          4.154        338.090         89.901       1304.741         419.128              0.267              0.290              0.295              0.298              0.299              0.300              0.300              0.300              0.300              0.301        504.645        116.645          0.732          0.732                 0.383                 0.245                 1.000             29        932.240       5966.696          0.757          3.926       1700.000         92.689              1.387              0.335              0.165              0.116              0.057              0.028              0.017              0.011              0.013              0.036        215.775          4.780              ?              ?              ?
