Summary_file = p20N150c_h.sum
Title = p20N150
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              74.002            475.118             12.768              2.657              2.055              1.969              1.342              1.348              1.331              1.323              1.314              1.303          0.000          0.052          5.505          0.395          0.319         15.407         37.731       1322.730         403.650              0.117              0.216              0.238              0.248              0.255              0.263              0.276              0.289              0.297              0.300        442.562         62.832          0.110          0.110                 0.477                 0.477                 0.365             43       3477.215       9961.905          0.780         12.891       1700.000        140.460              1.002              0.735              0.427              0.194              0.063              0.002              0.029              0.133              0.538              2.383         45.239         73.406              ?              ?              ?
      1953       108     18/04/1953        918.900              47.994            346.979              9.686              2.441              2.012              1.989              1.363              1.287              1.291              1.342              1.335              1.311          0.000          0.095         15.472          0.784          3.510        110.076         73.021       1321.448         409.037              0.229              0.286              0.293              0.299              0.300              0.300              0.300              0.301              0.301              0.301        501.232        113.232          0.012          0.012                 0.363                 0.360                 0.280             49       3596.146       9082.327          0.808         14.115       1700.000        135.294              3.179              2.044              1.706              2.388              1.753              1.233              0.927              0.761              0.715              0.765         51.259         27.945              ?              ?              ?
      1954        97     07/04/1954        668.500              48.346            209.115             11.469              2.498              2.011              2.011              1.406              1.426              1.397              1.342              1.306              1.284          0.000          0.087         43.378          0.691          4.194        102.625         89.533       1321.092         334.695              0.205              0.267              0.278              0.288              0.294              0.298              0.300              0.300              0.300              0.300        490.744        102.744          0.010          0.010                 0.384                 0.381                 0.368             36       3968.752       9746.050          0.870         14.613       1700.000        139.815              7.721              3.331              3.180              7.030              6.853              5.249              3.861              2.683              1.940              1.530         56.078         35.146              ?              ?              ?
      1955        92     02/04/1955       1006.700              87.318            429.447             11.861              2.454              1.995              2.001              1.364              1.381              1.352              1.314              1.271              1.252          0.000          0.073         14.934          0.733          3.388         82.424         94.064       1320.862         382.063              0.209              0.272              0.283              0.291              0.296              0.299              0.300              0.300              0.300              0.300        493.437        105.437          0.000          0.000                 0.386                 0.383                 0.392             32       5193.501      11629.265          1.108         15.488       1700.000        158.201              5.811              1.846              1.178              1.014              0.501              0.259              0.238              0.339              0.864              2.885         61.504         68.812              ?              ?              ?
      1956        97     06/04/1956       1000.800              92.226            363.355             13.157              2.460              1.998              2.027              1.388              1.409              1.374              1.327              1.279              1.255          0.000          0.055         43.943          0.763          2.084         55.633        101.896       1322.378         423.410              0.210              0.273              0.283              0.291              0.295              0.297              0.299              0.300              0.300              0.300        493.010        105.010          0.000          0.000                 0.368                 0.365                 0.398             39       5273.125      11230.898          1.167         14.868       1700.000        143.379              4.272              1.961              2.275              5.668              6.372              6.309              5.593              4.651              3.766              3.075         66.924         57.781              ?              ?              ?
      1957        95     05/04/1957       1059.500              74.129            435.571             14.620              2.526              1.996              2.013              1.355              1.381              1.347              1.305              1.254              1.232          0.000          0.064         55.964          0.888          2.433         71.807        108.332       1323.775         460.523              0.170              0.252              0.268              0.278              0.285              0.291              0.296              0.299              0.300              0.300        478.918         93.912          0.021          0.021                 0.390                 0.387                 0.479             36       4440.019       8865.636          0.868         11.948       1700.000        103.452              3.852              2.773              3.119              7.981              8.817              8.174              6.922              5.705              4.679              3.942         72.047         68.817              ?              ?              ?
      1958       101     11/04/1958        815.700              79.921            316.921             14.940              2.635              2.062              2.056              1.361              1.366              1.336              1.292              1.259              1.240          0.000          0.050         29.876          0.767          1.573         47.844        105.771       1324.953         359.640              0.219              0.224              0.232              0.239              0.248              0.259              0.277              0.291              0.298              0.300        450.062         62.062          0.011          0.011                 0.358                 0.356                 0.318             43       4180.939      10941.590          0.925         15.801       1700.000        144.587              5.351              1.616              1.392              2.975              3.106              2.781              3.128              3.150              3.166              3.209         78.300         62.204              ?              ?              ?
      1959       117     27/04/1959        797.300              34.827            302.616             16.455              2.773              2.125              2.097              1.384              1.383              1.355              1.310              1.262              1.239          0.000          0.070         43.864          0.875          2.652         75.924        132.930       1328.975         411.708              0.106              0.203              0.222              0.230              0.237              0.248              0.268              0.285              0.295              0.299        425.872         47.242          0.023          0.023                 0.362                 0.360                 0.286             57       2541.226       8682.061          0.613         13.850       1700.000        133.818             11.393              3.717              3.551              5.183              3.522              2.493              3.026              3.313              3.662              4.003         83.876         58.849              ?              ?              ?
      1960       106     15/04/1960        663.400              30.963            245.361             15.787              2.572              2.064              2.078              1.375              1.371              1.331              1.290              1.255              1.223          0.000          0.094         57.521          1.144          4.577        115.218        147.639       1332.939         318.247              0.293              0.299              0.294              0.272              0.264              0.265              0.277              0.290              0.297              0.300        481.206         93.206          0.068          0.068                 0.401                 0.418                 0.310             45       3164.911       8730.974          0.716         13.783       1700.000        125.321              6.701              5.261              4.274              8.386              8.126              6.289              5.989              5.053              4.133              3.309         88.770         64.163              ?              ?              ?
      1961        85     26/03/1961        989.300              52.227            327.707             14.204              2.468              1.975              2.004              1.299              1.307              1.265              1.242              1.222              1.194          0.000          0.049         24.000          1.447          2.029         50.711        129.915       1337.852         397.922              0.276              0.292              0.297              0.299              0.299              0.300              0.300              0.300              0.300              0.301        506.275        118.275          0.000          0.000                 0.383                 0.380                 0.371             29       5737.994      14079.117          1.420         18.563       1700.000        183.069              6.240              3.550              2.764              3.100              1.812              1.117              0.992              1.125              1.428              1.873         93.088         60.409              ?              ?              ?
