Summary_file = p70N75c_h.sum
Title = p70N75
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              76.213            480.719             43.549              3.033              2.189              2.061              1.376              1.357              1.340              1.326              1.318              1.306          0.000          0.052          2.188          0.358          0.248         14.922         37.608       1322.647         396.112              0.129              0.213              0.229              0.237              0.246              0.257              0.277              0.291              0.298              0.300        438.222         57.365          0.103          0.103                 0.477                 0.362                 0.462             43       4395.525      10045.059          1.119          7.279       1700.000        150.016              0.961              0.431              0.183              0.067              0.018              0.001              0.001              0.001              0.043              0.483         60.205         39.174              ?              ?              ?
      1953       108     18/04/1953        918.900              48.724            354.334             35.393              2.837              2.168              2.053              1.333              1.263              1.262              1.285              1.321              1.310          0.000          0.205          1.807          0.608          2.879        230.578         62.779       1319.998         402.611              0.230              0.283              0.291              0.297              0.298              0.299              0.300              0.300              0.300              0.301        499.520        111.520          1.120          1.120                 0.363                 0.262                 0.706             49       3823.448       9013.830          1.703          6.391       1700.000        138.600              0.902              0.356              0.193              0.142              0.070              0.031              0.027              0.026              0.022              0.038         89.016          6.621              ?              ?              ?
      1954        97     07/04/1954        668.500              49.531            222.521             39.250              2.942              2.206              2.150              1.429              1.373              1.350              1.332              1.302              1.283          0.000          0.489          2.298          0.652          3.383        261.825         81.265       1318.391         331.579              0.184              0.249              0.261              0.269              0.276              0.282              0.292              0.298              0.300              0.300        472.538         86.094          0.974          0.974                 0.384                 0.286                 1.000             36       4294.691      10273.271          1.647          7.621       1700.000        150.417              1.457              0.321              0.137              0.092              0.058              0.036              0.043              0.034              0.023              0.096        113.114          7.733              ?              ?              ?
      1955        92     02/04/1955       1006.700              85.378            465.548             40.672              3.052              2.250              2.193              1.426              1.368              1.349              1.307              1.271              1.255          0.000          0.466          2.660          0.671          4.262        333.564         93.207       1317.753         377.571              0.201              0.265              0.276              0.284              0.289              0.293              0.298              0.299              0.300              0.300        486.678         98.678          0.769          0.769                 0.386                 0.285                 1.000             32       3873.424       9561.580          1.681          7.166       1700.000        142.185              1.559              0.295              0.137              0.095              0.060              0.040              0.045              0.042              0.046              0.342        136.893         30.572              ?              ?              ?
      1956        97     06/04/1956       1000.800             102.314            361.545             39.325              2.998              2.214              2.185              1.443              1.397              1.366              1.325              1.274              1.254          0.000          0.463          2.603          0.675          3.526        270.360         99.326       1317.465         414.707              0.211              0.268              0.278              0.285              0.290              0.293              0.298              0.299              0.300              0.300        488.836        100.836          0.462          0.462                 0.368                 0.294                 1.000             39       4649.995      11027.836          1.964          8.856       1700.000        161.300              1.792              0.272              0.137              0.113              0.071              0.046              0.046              0.037              0.026              0.063        161.003         14.862              ?              ?              ?
      1957        94     04/04/1957       1059.500              79.078            434.068             45.611              2.935              2.167              2.146              1.396              1.361              1.328              1.283              1.242              1.229          0.000          0.623          2.563          0.745          4.812        349.738        106.650       1317.593         446.994              0.169              0.243              0.257              0.266              0.273              0.280              0.291              0.297              0.300              0.300        468.272         83.402          0.993          0.993                 0.388                 0.317                 0.982             35       4565.422       9942.584          1.504          8.146       1700.000        134.035              1.547              0.343              0.154              0.116              0.079              0.053              0.056              0.052              0.042              0.122        182.215         22.352              ?              ?              ?
      1958       101     11/04/1958        815.700              82.195            320.245             44.761              3.080              2.244              2.206              1.443              1.408              1.369              1.321              1.272              1.247          0.000          0.349          3.505          0.744          3.649        266.553        110.414       1318.302         352.929              0.227              0.223              0.227              0.232              0.241              0.252              0.275              0.290              0.297              0.300        445.087         57.087          1.112          1.112                 0.358                 0.286                 0.993             43       4771.285      11232.783          1.370          8.946       1700.000        159.089              2.338              0.402              0.175              0.128              0.083              0.053              0.054              0.043              0.046              0.181        206.142         17.050              ?              ?              ?
      1959       117     27/04/1959        797.300              33.862            298.348             48.939              3.108              2.264              2.211              1.428              1.384              1.356              1.312              1.271              1.243          0.000          0.452          3.894          0.623          6.130        444.769        125.055       1320.094         408.271              0.113              0.200              0.215              0.220              0.226              0.237              0.264              0.283              0.295              0.299        417.539         38.253          1.788          1.788                 0.362                 0.290                 0.845             56       4133.380       9609.060          0.873          7.788       1700.000        141.742              2.297              0.324              0.173              0.123              0.083              0.059              0.074              0.063              0.088              0.611        227.664         25.992              ?              ?              ?
      1960       106     15/04/1960        663.400              30.927            244.523             48.180              2.914              2.187              2.121              1.369              1.353              1.337              1.299              1.250              1.223          0.000          0.374          3.846          0.930          5.891        390.089        136.427       1322.489         315.803              0.289              0.284              0.241              0.241              0.242              0.248              0.270              0.287              0.296              0.299        458.173         70.173          1.286          1.286                 0.401                 0.345                 0.394             46       4877.647      10300.927          1.208          8.197       1700.000        135.136              2.003              0.785              0.214              0.160              0.107              0.071              0.072              0.054              0.072              0.309        247.051         15.184              ?              ?              ?
      1961        86     27/03/1961        990.100              52.228            338.197             43.618              3.085              2.231              2.216              1.393              1.343              1.297              1.255              1.229              1.198          0.000          0.221          3.340          1.247          3.047        214.507        120.147       1324.599         399.361              0.270              0.287              0.292              0.295              0.296              0.297              0.299              0.300              0.300              0.300        502.322        114.322          0.508          0.508                 0.384                 0.321                 0.638             29       4657.812      11954.521          2.146         10.336       1700.000        170.551              2.131              0.403              0.201              0.154              0.080              0.046              0.039              0.036              0.056              0.193        265.432         22.120              ?              ?              ?
      1962        97     07/04/1962        868.500              43.403            327.771             45.937              3.016              2.202              2.203              1.404              1.354              1.295              1.256              1.223              1.190          0.000          0.449          3.782          1.111          3.965        258.489        124.754       1326.961         412.607              0.262              0.278              0.284              0.285              0.249              0.247              0.266              0.283              0.294              0.299        466.825         78.825          0.572          0.572                 0.369                 0.315                 0.995             39       4643.614      10898.422          1.749          8.936       1700.000        148.631              2.096              0.397              0.211              0.146              0.096              0.072              0.080              0.065              0.109              0.511        283.717         15.816              ?              ?              ?
      1963        95     05/04/1963       1055.400             180.779            439.974             46.704              2.993              2.184              2.189              1.346              1.310              1.275              1.232              1.190              1.170          0.000          0.356          3.487          0.935          3.990        271.254        128.212       1329.305         369.925              0.218              0.273              0.275              0.258              0.260              0.269              0.284              0.294              0.299              0.300        469.251         81.251          0.578          0.578                 0.386                 0.302                 0.993             33       4591.970      10630.689          1.891          8.571       1700.000        146.827              2.318              0.484              0.183              0.138              0.082              0.043              0.044              0.035              0.028              0.130        297.910         26.201              ?              ?              ?
      1964       102     11/04/1964        670.000              47.989            200.332             54.251              3.098              2.231              2.230              1.367              1.305              1.274              1.233              1.192              1.170          0.000          0.753          3.182          0.770          6.728        466.312        146.690       1331.920         328.537              0.100              0.200              0.210              0.214              0.221              0.234              0.263              0.284              0.295              0.299        412.903         34.894          4.594          4.594                 0.352                 0.293                 0.933             47       3507.825       9218.008          0.786          7.613       1700.000        147.941              2.048              0.332              0.167              0.141              0.090              0.058              0.069              0.060              0.052              0.164        313.343          6.711              ?              ?              ?
      1965       106     16/04/1965        903.200              89.504            470.506             53.800              3.048              2.184              2.121              1.252              1.232              1.232              1.229              1.181              1.159          0.000          0.480          5.296          0.844          6.754        411.535        152.781       1334.971         332.916              0.100              0.200              0.200              0.201              0.201              0.204              0.240              0.268              0.287              0.296        389.519         11.519          0.511          0.511                 0.366                 0.293                 0.394             46       3689.454       9121.597          0.971          6.413       1700.000        142.149              2.690              0.372              0.164              0.154              0.107              0.068              0.086              0.064              0.143              1.449        328.252         40.840              ?              ?              ?
      1966       104     14/04/1966        830.000              54.538            326.396             45.756              2.922              2.120              2.071              1.277              1.259              1.245              1.209              1.188              1.166          0.000          0.372          3.269          1.485          5.373        361.707        149.935       1337.984         315.907              0.253              0.288              0.295              0.298              0.300              0.300              0.301              0.301              0.302              0.303        504.581        116.581          1.498          1.498                 0.380                 0.343                 0.723             43       4783.110      10453.996          2.016          8.829       1700.000        136.978              1.760              0.433              0.291              0.292              0.151              0.084              0.073              0.057              0.049              0.079        342.122         10.914              ?              ?              ?
      1967       127     07/05/1967        841.400              50.226            381.437             54.144              3.187              2.278              2.297              1.421              1.373              1.331              1.253              1.195              1.170          0.000          0.360          4.770          0.913          3.559        233.409        139.247       1341.107         404.912              0.101              0.200              0.202              0.202              0.203              0.209              0.245              0.273              0.290              0.297        394.258         16.175          1.770          1.770                 0.352                 0.304                 0.965             68       5195.148      11508.427          1.098          9.842       1700.000        162.166              2.566              0.333              0.162              0.150              0.102              0.067              0.082              0.069              0.155              1.084        357.645         44.393              ?              ?              ?
      1968       108     17/04/1968        654.300              42.561            220.228             52.394              3.148              2.241              2.182              1.232              1.206              1.212              1.197              1.176              1.150          0.000          0.446          4.016          0.834          6.860        427.853        154.802       1344.012         322.276              0.100              0.200              0.201              0.202              0.203              0.209              0.246              0.273              0.290              0.297        394.279         16.279          3.087          3.087                 0.382                 0.303                 0.421             50       4414.756      10371.608          1.084          7.542       1700.000        152.872              2.521              0.358              0.162              0.175              0.124              0.085              0.086              0.063              0.086              0.356        370.621         15.564              ?              ?              ?
      1969        87     28/03/1969        654.000              20.783            194.385             47.520              3.068              2.183              2.158              1.261              1.234              1.202              1.193              1.151              1.129          0.000          0.332          4.201          1.186          4.876        339.982        147.690       1347.497         320.986              0.288              0.285              0.283              0.287              0.285              0.269              0.273              0.287              0.296              0.300        484.824         96.824          1.127          1.127                 0.386                 0.316                 0.634             31       5040.239      11078.577          2.125          9.266       1700.000        152.543              2.744              0.444              0.173              0.151              0.111              0.096              0.104              0.055              0.055              0.268        380.998         11.214              ?              ?              ?
      1970       105     15/04/1970        970.700              62.447            421.302             56.399              3.164              2.215              2.233              1.332              1.289              1.257              1.186              1.141              1.121          0.000          0.473          8.337          0.688          4.625        314.242        153.628       1351.053         442.974              0.214              0.201              0.200              0.200              0.200              0.201              0.234              0.262              0.284              0.295        396.611          8.611          0.674          0.674                 0.268                 0.316                 0.999             46       2496.509       8247.893          0.967          7.777       1700.000        158.204              4.785              0.991              0.291              0.256              0.175              0.104              0.131              0.105              0.240              1.260        392.682         33.011              ?              ?              ?
      1971        87     28/03/1971        706.200              54.652            222.631             52.936              2.913              2.071              2.016              1.160              1.155              1.145              1.124              1.139              1.118          0.000          0.298          4.312          1.044          5.454        274.373        161.606       1355.002         326.163              0.157              0.233              0.247              0.254              0.262              0.271              0.286              0.295              0.299              0.300        457.101         73.398          0.253          0.253                 0.386                 0.309                 0.995             29       5118.262      11648.332          1.634          9.150       1700.000        161.677              3.011              0.378              0.199              0.197              0.139              0.090              0.088              0.061              0.045              0.103        402.166          8.231              ?              ?              ?
      1972        91     31/03/1972        913.200              95.661            299.338             51.556              3.026              2.183              2.218              1.349              1.318              1.275              1.203              1.143              1.112          0.000          0.246          4.136          1.169          4.109        258.278        153.895       1358.956         380.377              0.293              0.302              0.306              0.306              0.306              0.306              0.306              0.306              0.306              0.306        518.519        130.519          1.580          1.580                 0.369                 0.304                 0.997             31       5481.832      12281.135          1.894          9.679       1700.000        168.400              1.251              0.788              0.575              0.600              0.298              0.145              0.094              0.070              0.065              0.249        411.242         19.751              ?              ?              ?
      1973       104     14/04/1973        636.100              15.800            196.972             52.964              3.018              2.201              2.230              1.344              1.299              1.267              1.224              1.160              1.122          0.000          0.272          4.514          0.707          4.509        298.695        151.475       1362.275         338.138              0.171              0.216              0.222              0.223              0.213              0.207              0.242              0.269              0.288              0.297        408.581         23.492          6.360          6.360                 0.337                 0.332                 0.968             49       4347.091      10505.480          1.372          9.287       1700.000        138.387              2.549              0.331              0.175              0.179              0.202              0.125              0.134              0.141              0.164              0.515        422.313         15.941              ?              ?              ?
      1974       100     10/04/1974       1186.900             102.307            549.379             50.376              3.094              2.188              2.169              1.229              1.182              1.167              1.173              1.137              1.111          0.000          0.235          3.111          1.418          4.355        282.793        144.223       1365.274         418.390              0.230              0.278              0.286              0.292              0.295              0.297              0.299              0.300              0.300              0.300        495.980        107.980          0.086          0.086                 0.392                 0.328                 1.000             39       4289.701      10366.014          1.916          8.827       1700.000        143.448              2.229              0.248              0.106              0.092              0.070              0.057              0.062              0.036              0.045              0.166        430.617         32.598              ?              ?              ?
      1975        87     28/03/1975       1165.200             181.927            466.177             53.855              3.060              2.167              2.200              1.315              1.298              1.245              1.157              1.121              1.099          0.000          0.399          3.406          0.929          3.917        256.590        137.392       1367.846         412.682              0.177              0.253              0.265              0.274              0.280              0.286              0.294              0.298              0.300              0.300        476.028         90.304          0.581          0.581                 0.381                 0.309                 1.000             29       5033.678      11467.679          1.843          9.422       1700.000        159.189              2.391              0.273              0.124              0.114              0.083              0.062              0.062              0.042              0.045              0.211        437.287         32.534              ?              ?              ?
      1976       103     12/04/1976        801.900              36.733            238.698             48.652              3.076              2.196              2.215              1.319              1.297              1.251              1.175              1.129              1.103          0.000          0.240          3.186          1.099          2.953        199.552        124.856       1369.529         374.525              0.283              0.297              0.299              0.293              0.287              0.290              0.296              0.299              0.300              0.300        500.859        112.859          0.568          0.568                 0.357                 0.290                 1.000             43       4897.776      12022.506          2.215          9.987       1700.000        177.157              1.785              0.511              0.157              0.089              0.054              0.042              0.049              0.042              0.060              0.397        445.509         19.300              ?              ?              ?
