APSIM output file, version = 5.3
Title = p10N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1962             98     08/04/1962        873.400              52.206            310.194         11.789          2.631          2.013          2.033          1.225          1.226          1.185          1.140          1.111          1.094          0.000          0.036         96.042          1.252          1.264         32.818        116.387       1325.884         441.135          0.269          0.284          0.291          0.297          0.297          0.292          0.285          0.290          0.296          0.300        495.899        107.899          0.000          0.000                 0.368                 0.381                 0.886             40       2948.815       7821.175          0.669         12.140       1700.000        114.834         10.666          9.443         11.596         24.059         17.909          9.712          5.287          3.362          2.317          1.690         52.070         48.090              ?              ?              ?
           1963             99     09/04/1963       1055.900             156.245            480.238         11.088          2.490          1.935          1.979          1.179          1.182          1.157          1.121          1.098          1.087          0.000          0.056         78.118          0.994          2.446         58.650        118.108       1328.124         394.163          0.285          0.289          0.283          0.281          0.280          0.285          0.291          0.297          0.300          0.300        492.554        104.554          0.000          0.000                 0.393                 0.391                 0.881             37       3103.574       7574.554          0.692         11.364       1700.000        106.524          8.423          4.081          2.601          6.177          8.078          9.067         10.032         10.235          9.980          9.444         53.070        125.819              ?              ?              ?
           1964            103     12/04/1964        665.400              39.403            238.666         11.662          2.755          2.071          2.085          1.227          1.210          1.181          1.137          1.100          1.090          0.000          0.092        104.893          1.023          4.207        102.071        140.112       1330.993         341.961          0.102          0.202          0.226          0.237          0.247          0.259          0.275          0.290          0.297          0.300        433.932         55.777          0.143          0.143                 0.358                 0.355                 0.861             49       1336.489       5758.251          0.346          9.765       1700.000         97.856         11.760          7.302          9.766         21.409         18.582         13.580          9.721          6.359          3.942          2.472         54.047         58.732              ?              ?              ?
           1965            109     19/04/1965        903.200              91.276            472.028         10.863          2.581          2.044          2.063          1.197          1.188          1.167          1.118          1.095          1.087          0.000          0.084         73.244          0.928          4.678        106.451        134.505       1332.795         342.200          0.100          0.200          0.213          0.216          0.221          0.235          0.261          0.282          0.294          0.299        412.759         34.746          0.045          0.045                 0.392                 0.401                 0.848             48       1371.424       6445.697          0.357         11.053       1700.000        109.329         22.939          6.760          4.497          6.127          4.396          3.272          4.130          5.112          6.919          9.092         55.113         97.538              ?              ?              ?
           1966            106     16/04/1966        830.000              45.323            367.592         11.394          2.402          1.938          1.997          1.199          1.225          1.188          1.137          1.106          1.093          0.000          0.067        114.834          1.135          3.715         83.063        131.776       1335.092         341.953          0.221          0.284          0.293          0.298          0.300          0.300          0.300          0.300          0.301          0.301        499.873        111.873          0.018          0.018                 0.387                 0.420                 0.873             45       2943.879       6795.342          0.668         10.003       1700.000         89.774          4.955          3.148          3.852         12.483         17.417         19.607         18.406         15.214         11.517          8.234         56.256        104.210              ?              ?              ?
           1967            128     08/05/1967        841.400              48.027            392.354         14.319          2.866          2.114          2.120          1.250          1.220          1.182          1.127          1.109          1.101          0.000          0.047         91.425          0.930          2.139         51.985        115.799       1336.483         407.414          0.126          0.218          0.237          0.243          0.242          0.252          0.270          0.287          0.296          0.300        435.947         55.385          0.032          0.032                 0.357                 0.359                 0.878             69       1984.885       7409.838          0.483         12.074       1700.000        124.057         10.582          5.921          6.029         12.242         10.715          9.083          9.696          9.497          9.155          8.507         57.847        112.624              ?              ?              ?
           1968            110     19/04/1968        654.600              41.935            237.406         11.381          2.774          2.080          2.135          1.243          1.222          1.176          1.133          1.109          1.089          0.000          0.080         89.149          1.084          4.045         96.477        136.961       1339.291         339.707          0.289          0.288          0.224          0.224          0.233          0.247          0.268          0.286          0.295          0.299        450.582         62.582          0.118          0.118                 0.390                 0.395                 0.851             51       1554.436       6642.794          0.404         11.339       1700.000        115.031         14.589         13.116          9.551         14.844         10.872          7.667          6.438          5.102          3.964          3.005         58.996         51.318              ?              ?              ?
           1969             87     28/03/1969        653.700              19.359            211.368         10.579          2.505          1.985          2.037          1.200          1.197          1.159          1.114          1.089          1.076          0.000          0.071        125.456          1.097          4.276         93.167        130.882       1341.642         341.670          0.287          0.289          0.289          0.294          0.297          0.297          0.295          0.291          0.297          0.300        500.746        112.746          0.010          0.010                 0.388                 0.385                 0.871             31       2495.692       7151.388          0.621         11.012       1700.000        107.537         15.310         13.914         15.373         28.958         21.237         12.871          7.709          4.750          3.175          2.160         59.841         45.587              ?              ?              ?
           1970            106     16/04/1970        975.500              63.928            425.351         13.823          2.916          2.092          2.099          1.213          1.198          1.170          1.120          1.090          1.080          0.000          0.051        127.753          0.863          2.471         58.017        141.013       1345.693         468.102          0.197          0.204          0.217          0.221          0.229          0.243          0.266          0.284          0.295          0.299        429.430         41.737          0.000          0.000                 0.354                 0.352                 0.844             47       1207.526       4822.693          0.299          8.057       1700.000         80.658         78.931         14.765          3.734          3.927          3.919          4.039          5.003          4.990          4.596          3.849         60.657        105.539              ?              ?              ?
           1971             87     28/03/1971        701.400              55.183            247.762         12.020          2.448          1.913          1.966          1.164          1.166          1.127          1.092          1.078          1.072          0.000          0.062        107.719          0.809          3.384         76.376        137.815       1347.908         336.592          0.181          0.259          0.273          0.284          0.290          0.295          0.299          0.300          0.300          0.300        484.921         98.849          0.060          0.060                 0.387                 0.384                 0.865             29       2414.575       7209.083          0.562         11.040       1700.000        111.761         10.531          7.033          9.294         23.331         21.262         15.366          9.568          5.677          3.437          2.220         61.721         50.965              ?              ?              ?
           1972             91     31/03/1972        913.200              87.089            331.390         12.067          2.449          1.919          1.966          1.154          1.163          1.142          1.098          1.080          1.071          0.000          0.042         77.004          0.949          2.037         48.117        129.172       1350.696         401.084          0.291          0.301          0.306          0.306          0.306          0.306          0.306          0.306          0.306          0.306        518.202        130.202          0.009          0.009                 0.369                 0.366                 0.882             31       3097.844       8354.399          0.717         12.848       1700.000        121.111          3.333          3.500          3.911          9.390         10.656         10.728         10.400          9.524          8.389          7.172         62.665         99.324              ?              ?              ?
           1973            108     18/04/1973        636.200              21.046            218.141         13.937          2.669          2.035          2.071          1.241          1.234          1.186          1.148          1.109          1.089          0.000          0.038        147.728          0.909          1.926         44.777        129.613       1353.744         350.204          0.196          0.262          0.274          0.283          0.287          0.286          0.281          0.287          0.296          0.299        477.169         89.520          0.182          0.182                 0.355                 0.376                 0.844             53       1853.224       5106.877          0.429          8.101       1700.000         78.546         23.396         19.188         20.939         35.597         23.605         12.237          5.946          3.390          2.072          1.358         63.885         43.935              ?              ?              ?
           1974            101     11/04/1974       1186.800              80.845            575.140         10.846          2.401          1.867          1.909          1.129          1.162          1.122          1.096          1.081          1.072          0.000          0.035         81.855          0.989          1.527         35.619        106.677       1353.551         452.153          0.219          0.276          0.286          0.293          0.297          0.298          0.300          0.300          0.300          0.300        495.846        107.846          0.000          0.000                 0.400                 0.411                 0.906             40       3769.521       7879.710          0.864         10.498       1700.000         95.541          9.177          4.297          3.427          7.001          8.840         10.102         10.465         10.160          9.535          8.851         65.130        123.666              ?              ?              ?
           1975             90     31/03/1975       1165.200             173.061            495.824         11.846          2.421          1.880          1.932          1.144          1.171          1.128          1.087          1.075          1.068          0.000          0.041         85.749          0.679          1.432         40.094        103.620       1353.795         434.456          0.182          0.262          0.275          0.285          0.292          0.296          0.299          0.300          0.300          0.300        486.297        100.097          0.000          0.000                 0.387                 0.384                 0.884             31       3077.983       7523.232          0.678         10.640       1700.000        101.232          5.619          3.254          3.569         11.073         13.880         13.660         11.478          9.193          7.546          6.477         65.916         99.695              ?              ?              ?
           1976            104     13/04/1976        801.900              37.123            263.975         10.754          2.366          1.880          1.931          1.151          1.184          1.145          1.103          1.080          1.074          0.000          0.035         92.746          0.934          1.283         36.256         94.720       1353.213         396.261          0.261          0.293          0.299          0.301          0.301          0.301          0.301          0.301          0.301          0.301        506.431        118.431          0.000          0.000                 0.361                 0.359                 0.891             43       3205.623       8494.614          0.783         12.474       1700.000        123.688          8.216          8.146          9.926         21.179         16.530         10.720          6.946          4.825          3.559          2.700         66.841         55.298              ?              ?              ?
           1977            113     23/04/1977       1122.500             138.493            486.352         10.966          2.371          1.901          1.959          1.194          1.219          1.183          1.133          1.090          1.081          0.000          0.035         67.912          0.766          1.192         32.615        103.766       1354.597         433.294          0.188          0.265          0.277          0.285          0.291          0.294          0.298          0.300          0.300          0.300        486.648         99.845          0.000          0.000                 0.363                 0.360                 0.907             52       4174.405       8813.196          0.875         11.907       1700.000        107.696          7.773          2.588          2.128          4.485          5.616          7.011          8.540          9.681         10.130          9.960         67.617        125.742              ?              ?              ?
           1978             97     07/04/1978       1159.600             109.319            541.085         10.218          2.379          1.887          1.951          1.155          1.184          1.144          1.105          1.080          1.071          0.000          0.032         51.364          0.930          1.068         31.267         84.929       1352.366         395.794          0.240          0.287          0.294          0.299          0.300          0.300          0.300          0.301          0.301          0.301        502.396        114.396          0.000          0.000                 0.372                 0.370                 0.909             40       3941.028       9710.220          0.932         13.936       1700.000        138.442          5.163          2.347          1.666          3.413          4.562          5.910          6.845          7.285          7.265          6.909         68.663         99.639              ?              ?              ?
           1979            117     27/04/1979        678.800              19.219            204.048         12.034          2.508          1.930          1.990          1.207          1.237          1.197          1.144          1.093          1.078          0.000          0.049        120.884          0.653          1.818         50.185        113.183       1354.600         398.865          0.195          0.260          0.271          0.279          0.281          0.282          0.286          0.293          0.298          0.300        476.422         88.900          0.023          0.023                 0.369                 0.366                 0.862             56       2448.696       6365.458          0.525          9.346       1700.000         82.551         23.495         17.287         18.173         27.261         15.478          7.797          4.568          3.076          2.150          1.598         69.342         27.998              ?              ?              ?
           1980             88     28/03/1980        663.500              26.652            257.191         11.323          2.484          1.917          1.952          1.152          1.169          1.133          1.094          1.070          1.062          0.000          0.054        116.130          0.721          2.646         66.870        106.221       1354.365         336.735          0.227          0.262          0.275          0.284          0.289          0.290          0.286          0.287          0.295          0.299        482.296         94.296          0.029          0.029                 0.402                 0.399                 0.844             32       2298.269       6369.814          0.536          9.668       1700.000         94.382         19.651         16.971         16.995         22.746         13.205          8.096          6.161          5.008          4.098          3.200         70.259         47.912              ?              ?              ?
           1981             88     29/03/1981       1025.400             120.890            427.197         11.260          2.360          1.855          1.909          1.126          1.157          1.129          1.096          1.067          1.061          0.000          0.033         80.107          0.892          1.297         33.834        108.646       1355.861         405.449          0.297          0.303          0.306          0.306          0.306          0.306          0.306          0.306          0.306          0.306        518.997        130.997          0.000          0.000                 0.366                 0.363                 0.922             30       4127.837       8472.763          0.891         11.144       1700.000        104.094          2.854          2.663          2.602          5.331          6.981          9.696         12.154         13.356         13.003         11.468         70.862        105.357              ?              ?              ?
           1982             92     02/04/1982        781.000              70.329            258.083         11.969          2.474          1.919          1.956          1.153          1.170          1.140          1.094          1.071          1.064          0.000          0.044        103.301          0.657          1.578         46.529        107.177       1356.373         352.417          0.185          0.262          0.277          0.287          0.295          0.299          0.300          0.300          0.300          0.300        488.642        102.174          0.071          0.071                 0.350                 0.347                 0.884             36       2671.180       6997.271          0.583         10.848       1700.000        109.348         12.286          9.743         12.160         24.251         18.232         11.389          6.670          4.084          2.655          1.831         71.645         49.894              ?              ?              ?
           1983             99     09/04/1983        492.900               7.697            108.148         13.935          2.680          2.004          2.054          1.216          1.191          1.154          1.098          1.075          1.068          0.000          0.030        131.138          0.755          1.251         32.560        109.813       1357.536         335.287          0.162          0.243          0.257          0.262          0.248          0.244          0.266          0.285          0.295          0.299        446.090         61.859          0.150          0.150                 0.328                 0.325                 0.876             45       1874.441       5964.933          0.443          9.514       1700.000         91.655         40.329         26.119         22.505         24.374          9.223          3.384          2.072          1.328          0.984          0.821         72.762         14.345              ?              ?              ?
