APSIM output file, version = 5.4
Title = P40N250
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1986            107     17/04/1986        931.300              58.958            389.045         27.921          3.091          2.230          2.217          1.348          1.303          1.255          1.201          1.143          1.102          0.000          0.133         92.116          1.107          3.995        167.358        176.296       1376.022         381.329          0.156          0.223          0.231          0.234          0.236          0.223          0.250          0.275          0.291          0.298        422.237         38.651          0.046          0.046                 0.353                 0.353                 0.983             49       5931.097      14206.928          1.435         17.537       1700.000        163.167          9.911          5.954          6.883         14.548         12.812          8.616          8.496          8.405          8.348          8.142         96.513        107.036              ?              ?              ?
           1987             95     05/04/1987        650.000              29.753            208.312         31.676          3.041          2.190          2.220          1.322          1.291          1.258          1.188          1.135          1.095          0.000          0.155        144.201          1.463          4.852        199.087        193.573       1383.048         294.810          0.197          0.254          0.256          0.242          0.207          0.211          0.248          0.275          0.291          0.297        424.790         37.138          0.578          0.578                 0.345                 0.354                 0.929             42       4157.735      10106.736          1.117         14.143       1700.000        139.463         18.402         17.825         21.256         36.083         19.538         12.053          8.170          5.243          3.388          2.244        101.286         48.657              ?              ?              ?
           1988             95     04/04/1988        914.300             105.296            395.172         28.100          2.914          2.177          2.178          1.330          1.316          1.265          1.199          1.135          1.099          0.000          0.089        122.881          1.312          3.402        110.700        159.002       1387.577         278.836          0.205          0.234          0.243          0.248          0.256          0.265          0.284          0.295          0.299          0.300        457.605         69.605          0.022          0.022                 0.342                 0.340                 0.998             39       5377.396      14291.924          1.836         17.395       1700.000        169.995          6.588          3.192          4.261         15.199         19.841         20.139         17.953         14.575         11.635          9.498        107.146        147.022              ?              ?              ?
           1989            103     13/04/1989        831.300              43.172            323.759         29.904          3.017          2.203          2.195          1.317          1.294          1.252          1.185          1.120          1.091          0.000          0.118        118.939          1.344          3.938        150.794        173.025       1394.027         359.970          0.161          0.224          0.226          0.212          0.214          0.224          0.259          0.282          0.294          0.299        417.625         33.548          0.114          0.114                 0.361                 0.358                 0.985             43       5067.464      12843.630          1.384         15.593       1700.000        133.797          9.666          4.994          5.547         14.977         17.404         17.193         16.711         14.079         10.719          7.650        111.599        110.600              ?              ?              ?
           1990             85     26/03/1990        799.000              61.973            370.878         29.669          2.878          2.143          2.155          1.283          1.268          1.219          1.163          1.101          1.082          0.000          0.140         78.932          1.306          4.513        184.182        182.534       1399.859         265.902          0.244          0.201          0.204          0.205          0.208          0.215          0.252          0.278          0.292          0.298        414.589         26.589          0.660          0.660                 0.369                 0.378                 0.981             28       5167.288      14205.405          1.332         17.883       1700.000        157.279          8.362          2.657          2.368          6.334          8.160          8.940         10.811         11.189         10.622          9.488        115.638        125.061              ?              ?              ?
           1991             84     25/03/1991        824.900              47.495            193.598         30.141          3.012          2.178          2.198          1.308          1.267          1.211          1.148          1.102          1.083          0.000          0.094        136.151          1.677          2.989        118.542        174.251       1408.348         351.826          0.272          0.286          0.283          0.260          0.230          0.232          0.264          0.285          0.295          0.299        457.055         69.055          0.049          0.049                 0.341                 0.338                 0.997             31       5195.782      14130.137          1.666         17.452       1700.000        166.038         12.298         12.901         17.234         37.349         24.593         14.077          8.137          4.696          2.902          1.965        120.398         58.226              ?              ?              ?
           1992             68     08/03/1992         87.100               1.567             22.936         37.800          3.319          2.248          2.228          1.272          1.223          1.191          1.142          1.097          1.071          0.000          0.142        214.648          4.473          4.551        187.429        189.944       1415.016         114.527          0.133          0.200          0.200          0.200          0.200          0.202          0.236          0.264          0.286          0.296        390.197          8.852        101.685        101.685                 0.215                 0.307                 0.971             23       1162.463       4613.305          0.393          7.909       1700.000         95.557        193.352         13.495          2.514          1.516          0.761          0.522          0.641          0.599          0.609          0.639        125.727          0.689              ?              ?              ?
           1993            100     10/04/1993        775.000              97.097            307.319         37.115          3.049          2.118          2.050          1.188          1.246          1.210          1.164          1.108          1.088          0.000          0.102        162.032          1.318          4.090        122.596        169.994       1418.443         300.299          0.100          0.200          0.218          0.224          0.232          0.245          0.269          0.287          0.296          0.299        422.033         44.013          0.163          0.163                 0.325                 0.339                 0.930             41       4078.078       9789.337          0.842         14.164       1700.000        117.102         14.987         10.045         14.301         30.751         25.555         19.184         15.708         13.090         10.486          7.925        132.196        110.435              ?              ?              ?
           1994             86     27/03/1994        439.400              23.555            171.834         35.483          2.933          2.122          2.168          1.244          1.208          1.167          1.093          1.076          1.067          0.000          0.205        139.363          8.267         10.014        277.597        180.608       1421.258         244.128          0.100          0.200          0.200          0.200          0.200          0.201          0.234          0.262          0.283          0.295        385.122          7.122          1.840          1.840                 0.265                 0.376                 0.950             28       2004.957       7537.867          0.530         12.254       1700.000        151.080        101.331         11.216          6.492          7.464          4.260          2.256          1.979          1.544          1.424          1.399        136.992         25.840              ?              ?              ?
           1995            117     27/04/1995        580.000              25.510            184.590         35.047          3.039          2.127          1.987          1.128          1.244          1.176          1.191          1.127          1.098          0.000          0.138        203.154          1.290          7.803        191.012        184.392       1425.064         281.106          0.192          0.231          0.243          0.249          0.249          0.232          0.251          0.275          0.291          0.298        435.548         48.334          0.583          0.583                 0.333                 0.348                 0.908             58       3457.322       7895.805          0.735         10.259       1700.000        104.443         40.234         28.418         29.060         46.964         29.676         12.332          7.189          4.591          2.839          1.851        142.861         41.319              ?              ?              ?
           1996             90     30/03/1996        579.200              45.477            181.375         31.525          2.916          2.164          2.195          1.340          1.317          1.258          1.149          1.103          1.084          0.000          0.108        181.408          1.117          5.277        146.930        168.677       1428.083         256.412          0.169          0.236          0.247          0.253          0.260          0.269          0.286          0.295          0.299          0.300        457.758         72.865          0.287          0.287                 0.379                 0.385                 0.958             39       4610.289      10304.289          1.338         12.389       1700.000        116.912          8.870          7.690         13.203         42.156         41.826         30.930         18.867         10.079          5.106          2.682        147.650         77.257              ?              ?              ?
           1997            101     11/04/1997        748.800              42.568            156.184         30.339          2.960          2.141          2.181          1.253          1.209          1.177          1.115          1.093          1.081          0.000          0.071        134.725          1.229          2.778         88.750        150.979       1431.774         372.236          0.174          0.242          0.251          0.256          0.262          0.266          0.264          0.276          0.291          0.298        449.132         63.774          0.086          0.086                 0.344                 0.353                 1.000             39       4696.596      14748.105          1.714         17.104       1700.000        164.174          7.738          8.149         13.457         37.451         33.510         20.393          7.186          3.338          2.081          1.422        152.193         48.228              ?              ?              ?
           1998            102     12/04/1998       1164.300             164.190            484.722         29.529          2.940          2.137          2.166          1.250          1.223          1.185          1.136          1.097          1.074          0.000          0.124         58.255          1.208          4.270        166.288        167.760       1436.889         346.122          0.152          0.229          0.242          0.249          0.256          0.266          0.284          0.294          0.299          0.300        451.858         68.609          0.163          0.163                 0.352                 0.369                 0.977             44       6055.264      14176.155          1.351         17.318       1700.000        185.665          4.719          2.579          3.484          8.855          8.145          6.323          5.023          4.872          5.936          8.319        155.590        140.600              ?              ?              ?
           1999            108     18/04/1999       1329.100             175.761            670.857         26.122          2.742          2.061          2.112          1.257          1.260          1.225          1.167          1.109          1.082          0.000          0.120          6.897          1.326          4.005        149.062        162.304       1441.432         358.991          0.170          0.229          0.237          0.243          0.251          0.261          0.282          0.293          0.298          0.300        449.318         64.302          0.000          0.000                 0.402                 0.399                 0.994             42       6643.891      18122.277          1.862         20.876       1700.000        176.598          2.832          0.299          0.128          0.110          0.074          0.051          0.064          0.105          0.429          2.805        158.432        166.560              ?              ?              ?
