Summary_file = referenc.sum
Title = sugar reference run
   year    day           date         no3(1)         no3(2)         no3(3)      sw_dep(1)      sw_dep(2)      sw_dep(3)       tt_tot()            lai        biomass avg@swdef_phot avg@nfact_phot     root_depth avg@oxdef_phot    crop_status      dm_dead()     residue_wt      residue_n        fom_c()        fom_n()
 (year)  (day)             ()        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (oC)      (m^2/m^2)        (g/m^2)             ()             ()           (mm)          (0-1)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
   1984    261     17/09/1984          0.178          0.134          0.001         44.578         79.863         68.901       2177.817          3.983       1053.489          1.000          0.594       1000.000          1.000          alive          0.000         10.143          0.037         66.870          1.018
   1984    268     24/09/1984          0.155          0.120          0.001         37.853         78.868         70.128       2287.767          4.199       1161.259          1.000          0.531       1000.000          1.000          alive          0.000         13.704          0.050         72.791          1.082
   1984    275     01/10/1984          0.198          0.126          0.001         35.076         77.011         69.491       2396.417          4.341       1261.018          1.000          0.500       1000.000          1.000          alive          0.000         19.371          0.071         79.186          1.153
   1984    282     08/10/1984          0.205          0.123          0.001         33.962         76.722         70.406       2504.217          4.338       1345.930          1.000          0.497       1000.000          1.000          alive          0.000         28.743          0.105         86.486          1.237
   1984    289     15/10/1984          0.204          0.128          0.001         32.084         74.370         69.752       2613.867          4.261       1440.279          0.985          0.520       1000.000          1.000          alive          0.000         51.082          0.187         94.048          1.325
   1984    296     22/10/1984          0.124          0.120          0.002         40.875         80.451         70.477       2725.167          4.283       1536.505          1.000          0.519       1000.000          1.000          alive          0.000         77.875          0.285        101.644          1.413
   1984    303     29/10/1984          0.112          0.112          0.001         37.372         78.269         69.629       2834.717          4.237       1651.742          1.000          0.521       1000.000          1.000          alive          0.000        107.790          0.395        110.316          1.517
   1984    310     05/11/1984          0.154          0.124          0.001         32.161         75.918         69.985       2960.767          3.941       1768.023          1.000          0.545       1000.000          1.000          alive          0.000        157.538          0.577        119.273          1.624
   1984    317     12/11/1984          0.064          0.122          0.002         39.746         79.770         70.308       3085.574          3.654       1871.669          0.972          0.582       1000.000          1.000          alive          0.000        222.650          0.816        129.014          1.742
   1984    324     19/11/1984          0.083          0.128          0.001         34.180         76.091         69.114       3211.124          3.354       1980.045          1.000          0.642       1000.000          1.000          alive          0.000        319.230          1.169        139.348          1.868
   1984    331     26/11/1984          0.053          0.112          0.002         40.898         80.499         70.511       3325.274          3.195       2087.721          0.923          0.706       1000.000          1.000          alive          0.000        450.736          1.651        150.927          2.009
   1984    338     03/12/1984          0.059          0.113          0.001         37.881         77.993         68.944       3444.524          3.115       2189.915          0.943          0.754       1000.000          1.000          alive          0.000        604.972          2.216        162.834          2.156
   1984    345     10/12/1984          0.094          0.130          0.001         33.741         76.295         69.003       3577.721          3.085       2299.648          0.974          0.765       1000.000          1.000          alive          0.000        772.118          2.828        174.096          2.293
   1984    352     17/12/1984          0.075          0.125          0.001         38.512         78.573         69.647       3713.461          3.100       2416.220          0.963          0.772       1000.000          1.000          alive          0.000        949.885          3.480        185.715          2.436
   1984    359     24/12/1984          0.093          0.128          0.001         34.493         76.451         69.382       3847.374          3.154       2517.529          0.949          0.741       1000.000          1.000          alive          0.000       1133.332          4.152        197.527          2.581
   1984    366     31/12/1984          0.069          0.141          0.002         43.128         78.539         68.930       3973.683          3.180       2605.781          0.834          0.721       1000.000          1.000          alive          0.000       1318.738          4.831        210.172          2.736
   1985      7     07/01/1985          0.105          0.136          0.001         34.068         75.213         67.282       4108.732          3.302       2721.886          0.852          0.674       1000.000          1.000          alive          0.000       1498.135          5.488        221.418          2.874
   1985     14     14/01/1985          0.088          0.131          0.002         38.414         78.353         67.488       4241.541          3.429       2823.581          0.907          0.610       1000.000          1.000          alive          0.000       1674.150          6.133        233.915          3.028
   1985     21     21/01/1985          0.072          0.114          0.001         38.032         78.756         68.621       4365.141          3.414       2886.926          1.000          0.577       1000.000          1.000          alive          0.000       1850.540          6.779        248.512          3.208
   1985     28     28/01/1985          0.081          0.122          0.001         36.982         77.510         68.411       4493.392          3.437       2978.053          1.000          0.554       1000.000          1.000          alive          0.000       2025.135          7.418        262.760          3.385
   1985     35     04/02/1985          0.079          0.117          0.001         36.565         77.937         70.345       4619.942          3.413       3032.302          1.000          0.528       1000.000          1.000          alive          0.000       2198.748          8.054        277.364          3.565
   1985     42     11/02/1985          0.058          0.106          0.001         38.460         79.199         71.950       4742.342          3.390       3089.405          1.000          0.528       1000.000          1.000          alive          0.000       2370.648          8.684        292.672          3.755
   1985     49     18/02/1985          0.091          0.124          0.001         32.143         74.786         70.565       4865.642          3.346       3142.600          1.000          0.520       1000.000          1.000          alive          0.000       2540.317          9.306        307.504          3.939
   1985     56     25/02/1985          0.097          0.124          0.001         33.444         75.940         71.609       4995.392          3.308       3222.856          1.000          0.506       1000.000          1.000          alive          0.000       2711.291          9.932        322.100          4.120
   1985     63     04/03/1985          0.113          0.141          0.001         32.955         73.745         69.449       5127.724          3.263       3305.866          1.000          0.470       1000.000          1.000          alive          0.000       2877.498         10.541        335.259          4.282
   1985     70     11/03/1985          0.086          0.121          0.001         36.030         77.103         69.752       5254.173          3.207       3350.732          1.000          0.442       1000.000          1.000          alive          0.000       3044.571         11.153        349.409          4.457
   1985     77     18/03/1985          0.059          0.104          0.001         39.433         79.922         72.830       5371.374          3.101       3381.279          1.000          0.446       1000.000          1.000          alive          0.000       3212.862         11.769        364.791          4.648
   1985     84     25/03/1985          0.061          0.102          0.001         35.524         77.821         72.228       5483.824          3.009       3411.002          1.000          0.456       1000.000          1.000          alive          0.000       3383.651         12.395        380.987          4.849
   1985     91     01/04/1985          0.057          0.111          0.001         44.668         80.214         71.994       5600.673          2.896       3435.769          1.000          0.463       1000.000          1.000          alive          0.000       3550.709         13.007        396.624          5.044
   1985     92     02/04/1985          0.052          0.104          0.001         41.840         81.057         73.212          0.000          0.000          0.000          0.000          0.000       1000.000          0.000          alive          0.000      10836.396         42.182        760.902          7.727
   1985     98     08/04/1985        296.722          2.921          0.004         30.619         79.978         75.126         99.814          0.000          0.000          1.000          0.000       1000.000          1.000          alive          0.000          0.000          0.000        697.802          7.208
   1985    105     15/04/1985        267.473          2.172          0.004         27.171         79.713         75.168        213.406          0.014          4.121          1.000          0.857       1000.000          1.000          alive          0.000          0.000          0.000        662.813          6.949
   1985    112     22/04/1985        267.551          2.238          0.004         24.663         79.357         75.181        329.706          0.023          5.364          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        644.639          6.835
   1985    119     29/04/1985        267.784          2.400          0.004         22.619         78.970         75.180        448.606          0.037          7.299          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        634.062          6.787
   1985    126     06/05/1985        267.600          2.604          0.004         20.853         78.342         75.088        557.756          0.063         10.915          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        628.944          6.788
   1985    133     13/05/1985        267.483          2.585          0.003         19.299         77.709         74.984        666.206          0.094         15.133          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        627.919          6.825
   1985    140     20/05/1985        267.486          2.513          0.003         17.903         77.226         74.933        770.456          0.120         18.753          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        631.278          6.904
   1985    147     27/05/1985        267.489          1.984          0.003         16.627         76.463         74.771        866.606          0.187         27.947          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        636.579          7.000
   1985    154     03/06/1985        267.491          1.110          0.002         15.446         75.188         74.400        968.606          0.275         40.196          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        644.581          7.121
   1985    161     10/06/1985        267.492          0.175          0.001         14.340         72.692         73.515       1049.356          0.477         68.056          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        658.063          7.301
   1985    168     17/06/1985        267.492          0.173          0.001         13.286         70.605         72.736       1140.106          0.629         88.996          1.000          0.814       1000.000          1.000          alive          0.000          0.000          0.000        673.631          7.504
   1985    175     24/06/1985        267.492          0.166          0.001         12.284         68.912         72.083       1215.806          0.754        107.080          1.000          0.667       1000.000          1.000          alive          0.000          0.091          0.000        689.026          7.703
   1985    182     01/07/1985        267.492          0.186          0.001         11.323         66.828         71.213       1296.206          0.914        130.708          1.000          0.538       1000.000          1.000          alive          0.000          0.232          0.001        704.424          7.902
   1985    189     08/07/1985        267.493          0.206          0.001         10.401         65.727         70.761       1386.806          1.023        145.776          1.000          0.430       1000.000          1.000          alive          0.000          0.222          0.001        719.073          8.091
   1985    196     15/07/1985        267.493          0.208          0.001         10.022         63.157         69.557       1454.956          1.129        171.328          1.000          0.397       1000.000          1.000          alive          0.000          0.249          0.001        733.867          8.281
   1985    203     22/07/1985        267.493          0.238          0.001         10.020         61.109         68.534       1525.406          1.221        191.990          1.000          0.327       1000.000          1.000          alive          0.000          0.273          0.001        748.195          8.466
   1985    211     30/07/1985        267.493          0.262          0.001         10.019         59.775         67.847       1623.356          1.318        208.832          1.000          0.298       1000.000          1.000          alive          0.000          2.637          0.010        764.248          8.672
   1985    218     06/08/1985        267.493          0.282          0.001         10.017         58.007         66.861       1706.406          1.408        228.992          1.000          0.274       1000.000          1.000          alive          0.000          5.084          0.019        778.286          8.852
   1985    225     13/08/1985        267.494          0.307          0.001         10.015         55.817         65.539       1796.106          1.487        252.996          1.000          0.242       1000.000          1.000          alive          0.000          8.204          0.030        792.538          9.034
   1985    232     20/08/1985        267.494          0.319          0.001         10.014         54.156         64.459       1892.556          1.549        270.681          1.000          0.214       1000.000          1.000          alive          0.000         12.611          0.046        807.180          9.221
   1985    239     27/08/1985        267.494          0.331          0.001         10.013         52.627         63.392       1995.056          1.608        286.018          1.000          0.195       1000.000          1.000          alive          0.000         18.270          0.067        822.322          9.413
   1985    246     03/09/1985        205.366         50.198          0.339         47.523         81.454         63.898       2091.706          1.625        304.776          1.000          0.193       1000.000          1.000          alive          0.000         24.308          0.089        824.736          9.457
   1985    253     10/09/1985        183.070         55.293          0.270         30.202         75.491         65.713       2179.456          1.771        394.955          1.000          0.987       1000.000          1.000          alive          0.000         28.898          0.106        755.000          8.666
   1985    260     17/09/1985        177.533         53.608          0.011         23.348         64.877         62.440       2281.171          1.900        485.391          0.736          1.000       1000.000          1.000          alive          0.000         40.563          0.149        729.259          8.380
   1985    267     24/09/1985        175.536         51.531          0.010         20.043         57.311         59.494       2378.571          1.904        553.822          0.542          1.000       1000.000          1.000          alive          0.000         57.686          0.211        729.950          8.400
   1985    274     01/10/1985        175.558         49.404          0.009         17.918         52.052         56.922       2479.471          1.851        601.077          0.413          1.000       1000.000          1.000          alive          0.000         85.298          0.312        739.276          8.522
   1985    281     08/10/1985        129.670         88.342          3.541         42.041         83.043         63.191       2580.921          1.816        647.705          0.728          1.000       1000.000          1.000          alive          0.000        112.261          0.411        727.613          8.405
   1985    288     15/10/1985        124.062         86.709          2.514         27.279         72.413         62.909       2694.071          1.906        760.864          0.997          1.000       1000.000          1.000          alive          0.000        138.692          0.508        648.651          7.511
   1985    295     22/10/1985        121.151         83.682          1.232         21.960         63.876         60.390       2817.221          1.963        856.390          0.866          1.000       1000.000          1.000          alive          0.000        189.333          0.694        607.998          7.058
   1985    302     29/10/1985        120.726         80.325          0.480         19.174         56.831         57.811       2935.621          1.984        922.409          0.649          1.000       1000.000          1.000          alive          0.000        248.859          0.912        591.946          6.889
   1985    309     05/11/1985        120.763         78.777          0.056         17.055         51.710         55.465       3052.771          1.970        966.250          0.473          1.000       1000.000          1.000          alive          0.000        314.884          1.153        589.924          6.883
   1985    316     12/11/1985         87.928        101.193          3.900         33.187         76.654         61.175       3178.821          2.074       1057.844          0.760          1.000       1000.000          1.000          alive          0.000        340.748          1.248        554.647          6.487
   1985    323     19/11/1985         85.070         98.115          2.616         24.853         67.301         58.964       3302.821          2.181       1149.384          0.798          1.000       1000.000          1.000          alive          0.000        383.071          1.403        504.662          5.918
   1985    330     26/11/1985         83.996         95.561          1.832         20.606         58.982         56.496       3438.621          2.288       1232.463          0.679          1.000       1000.000          1.000          alive          0.000        462.246          1.693        482.237          5.671
   1985    337     03/12/1985         84.026         93.637          1.357         18.250         53.204         54.333       3569.484          2.276       1269.451          0.329          1.000       1000.000          1.000          alive          0.000        544.745          1.995        477.107          5.627
   1985    344     10/12/1985         61.866        107.005          5.680         37.698         79.421         60.588       3701.297          2.386       1346.038          0.533          1.000       1000.000          1.000          alive          0.000        567.176          2.078        449.948          5.321
   1985    351     17/12/1985         59.029        103.385          4.398         25.357         67.778         58.056       3838.303          2.509       1457.643          0.730          1.000       1000.000          1.000          alive          0.000        581.300          2.129        397.801          4.718
   1985    358     24/12/1985         58.375        101.262          3.618         20.795         59.311         55.712       3971.391          2.453       1518.219          0.482          1.000       1000.000          1.000          alive          0.000        670.710          2.457        374.779          4.460
   1985    365     31/12/1985         58.387         99.863          3.098         18.358         53.431         53.655       4108.399          2.404       1553.817          0.351          1.000       1000.000          1.000          alive          0.000        769.333          2.818        367.037          4.383
   1986      7     07/01/1986         41.815        107.461          9.327         38.669         80.195         62.801       4244.503          2.423       1604.684          0.555          1.000       1000.000          1.000          alive          0.000        779.809          2.857        344.290          4.124
   1986     14     14/01/1986         39.860        104.854          8.536         25.099         68.610         60.167       4380.072          2.472       1698.563          0.720          1.000       1000.000          1.000          alive          0.000        763.622          2.797        302.798          3.639
   1986     21     21/01/1986         39.576        102.885          7.978         20.423         59.889         57.542       4513.436          2.434       1767.661          0.825          1.000       1000.000          1.000          alive          0.000        851.897          3.121        284.990          3.437
   1986     28     28/01/1986         39.625        101.066          7.596         17.877         53.868         55.255       4641.147          2.398       1821.885          0.632          1.000       1000.000          1.000          alive          0.000        966.765          3.541        280.537          3.395
   1986     35     04/02/1986         28.290        103.451         12.611         42.556         83.195         62.495       4759.797          2.447       1890.491          0.835          1.000       1000.000          1.000          alive          0.000       1004.036          3.678        276.720          3.359
   1986     42     11/02/1986         25.028         97.691         13.640         26.040         70.171         61.894       4890.574          2.605       2002.047          0.749          1.000       1000.000          1.000          alive          0.000        955.516          3.500        250.714          3.050
   1986     49     18/02/1986         24.721         94.791         13.372         20.830         60.976         59.042       5019.352          2.669       2078.231          0.552          1.000       1000.000          1.000          alive          0.000       1048.505          3.841        241.112          2.941
   1986     56     25/02/1986         24.770         94.133         13.257         18.185         54.592         56.542       5150.789          2.548       2119.664          0.264          1.000       1000.000          1.000          alive          0.000       1168.850          4.282        241.024          2.947
   1986     63     04/03/1986         18.659         97.073         15.753         48.446         83.668         59.037       5282.461          2.447       2148.884          0.401          1.000       1000.000          1.000          alive          0.000       1245.148          4.561        242.950          2.977
   1986     70     11/03/1986         14.225         91.810         19.738         30.093         73.512         64.197       5405.911          2.560       2239.136          0.915          1.000       1000.000          1.000          alive          0.000       1105.076          4.048        225.390          2.765
   1986     77     18/03/1986         13.043         89.924         19.632         22.231         64.428         61.444       5531.861          2.653       2318.057          0.854          1.000       1000.000          1.000          alive          0.000       1102.539          4.039        217.998          2.678
   1986     84     25/03/1986         12.509         88.585         19.554         19.005         57.153         58.699       5652.611          2.660       2378.239          0.868          1.000       1000.000          1.000          alive          0.000       1181.382          4.328        219.537          2.702
   1986     91     01/04/1986         12.539         86.986         19.427         16.674         52.285         56.419       5770.162          2.596       2432.801          0.754          1.000       1000.000          1.000          alive          0.000       1309.896          4.798        227.062          2.799
   1986     92     02/04/1986         12.545         87.049         19.438         16.372         51.674         56.096          0.000          0.000          0.000          0.000          0.000       1000.000          0.000            out          0.000       6734.937         35.088       2383.636         56.779
   1986     98     08/04/1986         12.584         84.092         15.323         14.685         51.631         56.092          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000       2027.008         48.043
   1986    105     15/04/1986          8.880         78.557         16.900         37.192         80.388         66.397          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000       1559.204         36.689
   1986    112     22/04/1986          8.949         76.626         15.208         33.335         79.891         66.819          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000       1209.703         28.263
   1986    119     29/04/1986          9.714         75.972         14.312         30.678         79.669         66.926          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        957.494         22.213
   1986    126     06/05/1986         10.860         75.957         14.054         28.547         79.428         67.030          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        780.387         17.978
   1986    133     13/05/1986         12.015         76.351         14.159         26.730         79.174         67.132          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        650.666         14.882
   1986    140     20/05/1986         12.981         77.055         14.512         25.128         78.914         67.231          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        555.457         12.613
   1986    147     27/05/1986         13.750         77.971         15.073         23.685         78.650         67.328          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        483.093         10.892
   1986    154     03/06/1986         14.262         78.942         15.745         22.364         78.384         67.421          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        430.463          9.643
   1986    161     10/06/1986         14.553         79.976         16.501         21.142         78.119         67.512          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        390.452          8.696
   1986    168     17/06/1986         14.701         81.152         17.358         20.001         77.854         67.601          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        357.569          7.918
   1986    175     24/06/1986         14.797         82.367         18.261         18.932         77.586         67.687          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        331.068          7.294
   1986    182     01/07/1986         14.898         83.497         19.142         17.929         77.313         67.770          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        310.518          6.813
   1986    189     08/07/1986         15.005         84.835         20.130         16.984         77.036         67.851          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        291.450          6.368
   1986    196     15/07/1986         15.118         86.096         21.087         16.090         76.755         67.929          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        275.943          6.009
   1986    203     22/07/1986         15.236         87.391         22.059         15.241         76.470         68.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        262.613          5.702
   1986    211     30/07/1986         15.378         88.782         23.126         14.321         76.141         68.087          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        250.135          5.416
   1986    218     06/08/1986         15.507         89.913         24.014         13.556         75.851         68.157          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        241.124          5.211
   1986    225     13/08/1986         15.641         91.028         24.888         12.824         75.560         68.224          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        233.241          5.033
   1986    232     20/08/1986         15.780         92.259         25.803         12.123         75.266         68.289          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        225.684          4.863
   1986    239     27/08/1986         15.923         93.411         26.673         11.450         74.972         68.351          0.000          0.000          0.000          0.000          0.000          0.000          0.000            out          0.000          0.000          0.000        219.149          4.716
   1986    246     03/09/1986         14.800         94.540         28.896         40.351         81.507         70.809         27.400          0.000          0.000          0.143          0.000        600.000          0.286          alive          0.000          0.000          0.000        209.404          4.498
   1986    253     10/09/1986         16.022         94.820         30.644         32.732         79.952         72.465        127.132          0.000          0.000          1.000          0.000        600.000          1.000          alive          0.000          0.000          0.000        190.900          4.080
   1986    260     17/09/1986         17.597         96.035         31.489         29.556         79.702         72.543        220.593          0.013          3.951          1.000          0.429        630.000          1.000          alive          0.000          0.000          0.000        176.116          3.730
   1986    267     24/09/1986         18.640         96.856         33.473         35.894         80.548         74.460        339.193          0.025          5.539          1.000          1.000        700.000          1.000          alive          0.000          0.000          0.000        164.788          3.446
   1986    274     01/10/1986         20.384         97.824         34.564         30.470         79.696         74.902        450.193          0.045          8.324          1.000          1.000        770.000          1.000          alive          0.000          0.000          0.000        153.722          3.178
   1986    281     08/10/1986         21.925         98.555         35.344         27.271         78.838         74.841        562.593          0.089         14.446          1.000          1.000        840.000          1.000          alive          0.000          0.000          0.000        145.511          2.978
   1986    288     15/10/1986         22.708         98.794         36.643         31.274         79.161         75.547        681.575          0.177         26.549          1.000          1.000        910.000          1.000          alive          0.000          0.000          0.000        136.701          2.773
   1986    295     22/10/1986         23.088         98.539         37.336         37.966         79.913         75.258        804.325          0.343         49.558          1.000          1.000        980.000          1.000          alive          0.000          0.000          0.000        129.480          2.604
   1986    302     29/10/1986         23.823         96.077         37.562         29.449         76.672         74.198        932.275          0.634         89.648          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        122.577          2.445
   1986    309     05/11/1986         23.173         94.244         38.064         30.480         76.988         73.588       1052.225          0.949        133.272          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        117.021          2.315
   1986    316     12/11/1986         19.812         89.555         38.197         40.638         78.824         72.082       1169.025          1.532        219.029          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        112.781          2.210
   1986    323     19/11/1986         16.145         78.889         36.767         32.850         75.081         68.746       1301.105          2.353        365.706          0.956          1.000       1000.000          1.000          alive          0.000          0.158          0.001        108.668          2.107
   1986    330     26/11/1986         11.822         68.127         36.383         32.508         74.486         67.361       1416.332          2.986        511.960          0.865          1.000       1000.000          1.000          alive          0.000          1.620          0.006        106.664          2.039
   1986    337     03/12/1986          8.588         57.432         35.502         34.710         76.433         66.472       1541.038          3.597        660.129          0.679          1.000       1000.000          1.000          alive          0.000          6.019          0.022        105.141          1.978
   1986    344     10/12/1986          6.816         47.983         34.286         43.149         78.978         68.930       1661.238          4.234        795.480          0.941          1.000       1000.000          1.000          alive          0.000         11.942          0.044        105.388          1.947
   1986    351     17/12/1986          5.183         35.150         29.519         33.057         74.737         66.908       1792.881          4.869        984.151          0.808          1.000       1000.000          1.000          alive          0.000         18.127          0.066        105.501          1.914
   1986    358     24/12/1986          3.672         24.215         24.622         36.146         76.640         66.613       1928.943          5.478       1171.683          0.744          1.000       1000.000          1.000          alive          0.000         26.937          0.099        105.951          1.886
   1986    365     31/12/1986          2.888         16.882         20.462         39.147         78.641         66.855       2060.470          5.853       1317.950          0.523          1.000       1000.000          1.000          alive          0.000         41.544          0.152        106.744          1.864
   1987      7     07/01/1987          2.673         12.187         16.898         33.745         74.354         66.139       2191.788          6.081       1459.969          0.860          1.000       1000.000          1.000          alive          0.000         59.146          0.217        108.413          1.856
   1987     14     14/01/1987          2.217          8.816         13.827         36.223         76.747         66.417       2324.969          6.168       1613.998          0.566          1.000       1000.000          1.000          alive          0.000         80.266          0.294        109.454          1.841
   1987     21     21/01/1987          1.689          5.941         10.473         39.023         78.698         67.034       2458.995          6.148       1782.434          0.702          1.000       1000.000          1.000          alive          0.000        113.179          0.415        110.743          1.831
   1987     28     28/01/1987          1.350          4.046          7.540         44.101         79.358         66.936       2596.485          5.786       1933.458          0.708          1.000       1000.000          1.000          alive          0.000        168.972          0.619        111.310          1.813
