Summary_file=referenc.sum
Title =sugar reference run
   year    day           date         no3(1)         no3(2)         no3(3)      sw_dep(1)      sw_dep(2)      sw_dep(3)       tt_tot()            lai        biomass    swdef_photo    nfact_photo     root_depth water_log    crop_status      dm_dead()     residue_wt      residue_n        fom_c()        fom_n()
 (year)  (day)             ()        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (oC)      (m^2/m^2)        (g/m^2)             ()             ()           (mm)    (????)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
   1984     92      1/04/1984          2.823          5.739          5.578         33.022         79.970         80.006         16.500          0.000          0.000          0.000          0.000        600.000      ????          alive          0.000          0.000          0.000        367.348          8.163
   1984     99      8/04/1984          3.330          8.174          7.531         27.676         79.804         80.007        110.764          0.000          0.000          1.000          0.000        600.000      ????          alive          0.000          0.000          0.000        277.689          6.171
   1984    113     22/04/1984          3.517          9.906          7.672         22.436         79.410         80.006        233.833          0.000          0.000          1.000          0.000        600.000      ????          alive          0.000          0.000          0.000        203.551          4.523
   1984    120     29/04/1984          4.001         10.824          7.635         28.949         79.563         80.007        329.841          0.000          0.000          1.000          0.000        600.000      ????          alive          0.000          0.000          0.000        161.624          3.592
   1984    127      6/05/1984          4.573         11.678          7.612         25.673         79.379         80.006        406.998          0.010          3.577          1.000          0.429        610.000      ????          alive          0.000          0.000          0.000        139.751          3.100
   1984    134     13/05/1984          4.991         12.525          7.598         23.246         79.098         80.003        513.448          0.015          4.258          1.000          1.000        680.000      ????          alive          0.000          0.000          0.000        130.620          2.857
   1984    141     20/05/1984          5.548         13.482          7.590         31.285         79.307         79.998        620.248          0.026          5.700          1.000          1.000        750.000      ????          alive          0.000          0.000          0.000        114.868          2.475
   1984    148     27/05/1984          6.330         14.296          7.581         27.086         78.997         79.989        719.648          0.040          7.670          1.000          1.000        820.000      ????          alive          0.000          0.000          0.000        102.520          2.173
   1984    155      3/06/1984          6.881         14.931          7.508         24.321         78.624         79.956        816.398          0.061         10.512          1.000          1.000        890.000      ????          alive          0.000          0.000          0.000         96.558          2.012
   1984    162     10/06/1984          7.258         15.553          7.418         33.726         79.068         79.886        911.148          0.092         14.815          1.000          1.000        960.000      ????          alive          0.000          0.000          0.000         89.700          1.837
   1984    169     17/06/1984          7.970         16.075          7.319         28.333         78.774         79.845       1009.948          0.113         17.787          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         81.926          1.646
   1984    176     24/06/1984          8.496         16.221          7.094         25.176         77.928         79.579       1091.698          0.174         26.240          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         78.051          1.539
   1984    183      1/07/1984          8.684         16.307          6.814         31.659         78.366         79.313       1173.648          0.253         37.045          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         73.424          1.419
   1984    190      8/07/1984          8.685         14.959          6.103         26.718         75.978         78.388       1223.298          0.449         64.193          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         70.546          1.335
   1984    197     15/07/1984          8.031         13.384          5.178         31.327         76.207         77.479       1317.448          0.701         99.008          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         66.317          1.228
   1984    204     22/07/1984          7.769         12.831          4.583         39.769         79.421         77.105       1412.698          0.852        119.878          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000         62.852          1.136
   1984    212     30/07/1984          6.940          9.854          3.427         29.102         75.674         75.746       1515.898          1.229        179.533          1.000          1.000       1000.000      ????          alive          0.000          0.417          0.002         59.734          1.049
   1984    219      6/08/1984          4.459          5.890          1.945         32.115         74.906         73.932       1603.448          1.666        248.924          1.000          1.000       1000.000      ????          alive          0.000          1.944          0.007         58.117          0.993
   1984    226     13/08/1984          0.730          0.760          0.275         41.672         77.155         71.040       1694.048          2.155        364.615          0.987          1.000       1000.000      ????          alive          0.000          3.531          0.013         56.821          0.943
   1984    233     20/08/1984          0.151          0.117          0.010         36.564         76.399         67.912       1776.749          2.598        506.596          1.000          1.000       1000.000      ????          alive          0.000          5.328          0.020         57.924          0.931
   1984    240     27/08/1984          0.166          0.125          0.002         45.046         80.294         65.733       1879.049          3.022        646.175          0.982          0.871       1000.000      ????          alive          0.000          7.511          0.028         60.081          0.934
   1984    247      3/09/1984          0.141          0.101          0.001         37.534         78.875         67.983       1974.399          3.328        763.474          1.000          0.714       1000.000      ????          alive          0.000         10.287          0.038         63.696          0.959
   1984    254     10/09/1984          0.189          0.112          0.001         34.398         76.441         66.783       2077.599          3.598        885.671          1.000          0.611       1000.000      ????          alive          0.000         13.947          0.051         67.870          0.993
   1984    261     17/09/1984          0.178          0.121          0.001         44.248         79.738         66.022       2182.948          3.829        996.312          1.000          0.539       1000.000      ????          alive          0.000         18.894          0.069         72.559          1.034
   1984    268     24/09/1984          0.160          0.108          0.001         38.249         79.164         66.841       2292.249          4.016       1095.114          1.000          0.487       1000.000      ????          alive          0.000         25.175          0.092         78.185          1.089
   1984    275      1/10/1984          0.183          0.112          0.001         36.117         77.474         65.990       2402.049          4.176       1196.315          1.000          0.471       1000.000      ????          alive          0.000         33.714          0.123         84.202          1.151
   1984    282      8/10/1984          0.194          0.108          0.001         35.031         77.437         67.439       2510.249          4.172       1274.006          1.000          0.473       1000.000      ????          alive          0.000         46.813          0.171         91.214          1.228
   1984    289     15/10/1984          0.199          0.106          0.001         33.140         75.957         69.372       2618.948          4.072       1354.394          1.000          0.500       1000.000      ????          alive          0.000         74.998          0.275         98.624          1.312
   1984    296     22/10/1984          0.174          0.120          0.001         45.162         80.022         67.478       2729.698          4.085       1451.537          1.000          0.500       1000.000      ????          alive          0.000        116.196          0.426        105.474          1.388
   1984    303     29/10/1984          0.150          0.106          0.001         39.490         79.391         67.826       2838.299          4.071       1552.835          1.000          0.503       1000.000      ????          alive          0.000        165.226          0.605        113.279          1.479
   1984    310      5/11/1984          0.188          0.108          0.001         34.994         77.705         68.936       2962.799          3.798       1660.756          1.000          0.535       1000.000      ????          alive          0.000        236.792          0.867        121.241          1.571
   1984    317     12/11/1984          0.217          0.118          0.001         33.708         75.491         67.093       3088.006          3.499       1762.385          0.970          0.579       1000.000      ????          alive          0.000        339.832          1.245        129.264          1.666
   1984    324     19/11/1984          0.164          0.112          0.001         38.192         78.432         66.763       3214.706          3.213       1876.418          1.000          0.652       1000.000      ????          alive          0.000        481.486          1.764        137.712          1.766
   1984    331     26/11/1984          0.185          0.109          0.001         34.188         75.321         65.287       3329.206          3.054       1988.077          0.963          0.712       1000.000      ????          alive          0.000        656.650          2.405        147.572          1.885
   1984    338      3/12/1984          0.227          0.107          0.001         30.595         74.262         66.664       3446.656          2.982       2071.375          0.898          0.758       1000.000      ????          alive          0.000        852.522          3.123        158.235          2.015
   1984    345     10/12/1984          0.166          0.111          0.001         36.630         77.772         66.561       3579.202          2.982       2194.292          1.000          0.761       1000.000      ????          alive          0.000       1062.921          3.894        168.140          2.135
   1984    352     17/12/1984          0.199          0.116          0.001         34.105         75.705         66.295       3713.842          2.984       2295.614          0.944          0.764       1000.000      ????          alive          0.000       1284.510          4.705        178.497          2.261
   1984    359     24/12/1984          0.161          0.123          0.001         45.386         79.856         65.020       3849.306          3.071       2408.265          0.956          0.728       1000.000      ????          alive          0.000       1513.578          5.544        188.967          2.389
   1984    366     31/12/1984          0.153          0.113          0.001         38.617         78.753         66.040       3976.090          3.111       2490.720          0.817          0.707       1000.000      ????          alive          0.000       1743.421          6.386        200.909          2.536
   1985      7      7/01/1985          0.156          0.126          0.002         43.097         78.835         64.723       4110.457          3.261       2601.534          0.843          0.661       1000.000      ????          alive          0.000       1970.620          7.219        210.875          2.659
   1985     14     14/01/1985          0.202          0.125          0.001         34.826         75.043         63.053       4242.288          3.410       2709.486          0.895          0.591       1000.000      ????          alive          0.000       2193.410          8.035        222.515          2.802
   1985     21     21/01/1985          0.182          0.106          0.001         34.290         75.754         66.193       4366.823          3.392       2773.067          1.000          0.572       1000.000      ????          alive          0.000       2412.865          8.839        236.290          2.973
   1985     28     28/01/1985          0.215          0.116          0.001         32.341         73.982         67.347       4496.523          3.428       2864.847          1.000          0.544       1000.000      ????          alive          0.000       2631.457          9.639        249.955          3.143
   1985     35      4/02/1985          0.178          0.111          0.001         35.336         76.077         67.161       4621.723          3.415       2919.901          1.000          0.523       1000.000      ????          alive          0.000       2847.593         10.431        263.865          3.316
   1985     42     11/02/1985          0.129          0.091          0.001         37.578         78.665         70.479       4744.523          3.387       2966.895          1.000          0.525       1000.000      ????          alive          0.000       3061.853         11.216        278.750          3.501
   1985     49     18/02/1985          0.130          0.100          0.001         41.622         80.734         71.028       4868.873          3.347       3024.262          1.000          0.520       1000.000      ????          alive          0.000       3275.533         11.999        293.173          3.680
   1985     56     25/02/1985          0.198          0.109          0.001         32.865         74.962         70.017       4996.423          3.318       3104.647          1.000          0.504       1000.000      ????          alive          0.000       3489.500         12.783        307.511          3.859
   1985     63      4/03/1985          0.194          0.121          0.001         33.942         74.152         68.037       5129.691          3.288       3192.396          1.000          0.467       1000.000      ????          alive          0.000       3704.617         13.571        320.517          4.021
   1985     70     11/03/1985          0.166          0.110          0.001         35.281         75.464         66.664       5256.854          3.251       3249.177          1.000          0.443       1000.000      ????          alive          0.000       3919.529         14.358        334.312          4.193
   1985     77     18/03/1985          0.119          0.089          0.001         38.261         79.039         70.658       5375.455          3.141       3280.392          1.000          0.452       1000.000      ????          alive          0.000       4133.472         15.142        349.635          4.384
   1985     84     25/03/1985          0.151          0.091          0.001         34.949         76.758         70.034       5487.705          3.041       3310.364          1.000          0.463       1000.000      ????          alive          0.000       4347.999         15.927        365.536          4.582
   1985     91      1/04/1985          0.107          0.089          0.001         40.585         80.944         72.905       5604.754          2.930       3338.075          1.000          0.475       1000.000      ????          alive          0.000       4562.151         16.712        381.356          4.779
   1985     92      2/04/1985          0.102          0.086          0.001         39.789         80.274         73.424          0.000          0.000          0.000          1.000          0.481       1000.000      ????          alive          0.000      11746.877         45.722        735.855          7.733
   1985     98      8/04/1985        299.978          0.495          0.003         30.137         79.907         73.701         96.944          0.000          0.000          1.000          0.000       1000.000      ????          alive          0.000          0.000          0.000        708.981          7.505
   1985    105     15/04/1985        272.516          0.705          0.003         26.594         79.644         73.758        213.176          0.013          3.989          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        694.851          7.416
   1985    112     22/04/1985        272.348          0.987          0.003         24.047         79.255         73.773        326.976          0.023          5.369          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        688.917          7.406
   1985    119     29/04/1985        272.425          1.220          0.003         21.989         78.878         73.790        446.826          0.035          7.006          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        686.485          7.429
   1985    126      6/05/1985        272.216          1.399          0.003         20.220         78.262         73.718        556.326          0.060         10.471          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        687.480          7.485
   1985    133     13/05/1985        272.218          1.153          0.002         18.664         77.538         73.600        667.026          0.093         15.040          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        691.243          7.567
   1985    140     20/05/1985        272.219          1.002          0.002         17.264         77.059         73.565        769.626          0.118         18.379          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        699.023          7.691
   1985    147     27/05/1985        272.220          0.506          0.001         15.986         76.327         73.433        866.726          0.183         27.374          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        708.598          7.832
   1985    154      3/06/1985        272.220          0.099          0.001         14.805         74.956         73.052        967.226          0.276         40.295          1.000          1.000       1000.000      ????          alive          0.000          0.000          0.000        721.706          8.010
   1985    161     10/06/1985        272.221          0.090          0.001         13.700         73.287         72.533       1051.076          0.417         59.671          1.000          0.738       1000.000      ????          alive          0.000          0.000          0.000        735.586          8.195
