APSIM output file, version = 5.4
Title = WaterSupply Sample Simulation
           Date        biomass          yield  grain_protein     grain_size            esw      dam_water  channel_water     bore_water     irrigation        deficit
            (?)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)           (ML)           (ML)           (ML)           (mm)            (?)
     01/01/1940          0.000          0.000          0.000          0.000        112.984         50.000         60.000         40.000          0.000        281.400
     02/01/1940          0.000          0.000          0.000          0.000        109.598         50.000         70.000         30.000          0.000        287.516
     03/01/1940          0.000          0.000          0.000          0.000        108.149         50.000         80.000         20.000          0.000        290.902
     04/01/1940          0.000          0.000          0.000          0.000        107.037         50.000         90.000         10.000          0.000        292.351
     05/01/1940          0.000          0.000          0.000          0.000        106.099         50.000         98.000          2.000          0.000        293.463
     06/01/1940          0.000          0.000          0.000          0.000        105.273         50.000         98.000          2.000          0.000        294.401
     07/01/1940          0.000          0.000          0.000          0.000        104.526         50.000         98.000          2.000          0.000        295.227
     08/01/1940          0.000          0.000          0.000          0.000        114.391         50.000         98.000          2.000          0.000        295.974
     09/01/1940          0.000          0.000          0.000          0.000        110.364         50.000         98.000          2.000          0.000        286.109
     10/01/1940          0.000          0.000          0.000          0.000        108.705         50.000         98.000          2.000          0.000        290.136
     11/01/1940          0.000          0.000          0.000          0.000        107.508         50.000         98.000          2.000          0.000        291.795
     12/01/1940          0.000          0.000          0.000          0.000        106.522         50.000         98.000          2.000          0.000        292.992
     13/01/1940          0.000          0.000          0.000          0.000        105.663         50.000         98.000          2.000          0.000        293.978
     14/01/1940          0.000          0.000          0.000          0.000        104.893         50.000         98.000          2.000          0.000        294.837
     15/01/1940          0.000          0.000          0.000          0.000        104.188         50.000         98.000          2.000          0.000        295.607
     16/01/1940          0.000          0.000          0.000          0.000        103.534         50.000         98.000          2.000          0.000        296.312
     17/01/1940          0.000          0.000          0.000          0.000        102.921         50.000         98.000          2.000          0.000        296.966
     18/01/1940          0.000          0.000          0.000          0.000        102.343         50.000         98.000          2.000          0.000        297.579
     19/01/1940          0.000          0.000          0.000          0.000        101.794         50.000         98.000          2.000          0.000        298.157
     20/01/1940          0.000          0.000          0.000          0.000        101.270         50.000         98.000          2.000          0.000        298.706
     21/01/1940          0.000          0.000          0.000          0.000        100.768         50.000         98.000          2.000          0.000        299.230
     22/01/1940          0.000          0.000          0.000          0.000        100.286         50.000         98.000          2.000          0.000        299.732
     23/01/1940          0.000          0.000          0.000          0.000         99.821         50.000         98.000          2.000          0.000        300.214
     24/01/1940          0.000          0.000          0.000          0.000         99.372         50.000         98.000          2.000          0.000        300.679
     25/01/1940          0.000          0.000          0.000          0.000         98.936         50.000         98.000          2.000          0.000        301.128
     26/01/1940          0.000          0.000          0.000          0.000         98.514         50.000         98.000          2.000          0.000        301.564
     27/01/1940          0.000          0.000          0.000          0.000         98.103         50.000         98.000          2.000          0.000        301.986
     28/01/1940          0.000          0.000          0.000          0.000         97.704         50.000         98.000          2.000          0.000        302.397
     29/01/1940          0.000          0.000          0.000          0.000         97.314         50.000         98.000          2.000          0.000        302.796
     30/01/1940          0.000          0.000          0.000          0.000         97.537         50.000         98.000          2.000          0.000        303.186
     31/01/1940          0.000          0.000          0.000          0.000         97.152         50.000         98.000          2.000          0.000        302.963
     01/02/1940          0.000          0.000          0.000          0.000         98.820         50.000         98.000          2.000          0.000        303.348
     02/02/1940          0.000          0.000          0.000          0.000        125.312         50.000         98.000          2.000          0.000        301.680
     03/02/1940          0.000          0.000          0.000          0.000        121.203         50.000         98.000          2.000          0.000        275.188
     04/02/1940          0.000          0.000          0.000          0.000        118.774         50.000         98.000          2.000          0.000        279.297
     05/02/1940          0.000          0.000          0.000          0.000        125.605         50.000         98.000          2.000          0.000        281.726
     06/02/1940          0.000          0.000          0.000          0.000        138.873         50.000         98.000          2.000          0.000        274.895
     07/02/1940          0.000          0.000          0.000          0.000        135.613         50.000         98.000          2.000          0.000        261.627
     08/02/1940          0.000          0.000          0.000          0.000        133.657         50.000         98.000          2.000          0.000        264.887
     09/02/1940          0.000          0.000          0.000          0.000        132.368         50.000         98.000          2.000          0.000        266.843
     10/02/1940          0.000          0.000          0.000          0.000        131.333         50.000         98.000          2.000          0.000        268.132
     11/02/1940          0.000          0.000          0.000          0.000        130.442         50.000         98.000          2.000          0.000        269.167
     12/02/1940          0.000          0.000          0.000          0.000        129.649         50.000         98.000          2.000          0.000        270.058
     13/02/1940          0.000          0.000          0.000          0.000        128.927         50.000         98.000          2.000          0.000        270.851
     14/02/1940          0.000          0.000          0.000          0.000        128.259         50.000         98.000          2.000          0.000        271.573
     15/02/1940          0.000          0.000          0.000          0.000        127.635         50.000         98.000          2.000          0.000        272.241
     16/02/1940          0.000          0.000          0.000          0.000        127.048         50.000         98.000          2.000          0.000        272.865
     17/02/1940          0.000          0.000          0.000          0.000        126.491         50.000         98.000          2.000          0.000        273.452
     18/02/1940          0.000          0.000          0.000          0.000        125.960         50.000         98.000          2.000          0.000        274.009
     19/02/1940          0.000          0.000          0.000          0.000        125.452         50.000         98.000          2.000          0.000        274.540
     20/02/1940          0.000          0.000          0.000          0.000        124.964         50.000         98.000          2.000          0.000        275.048
     21/02/1940          0.000          0.000          0.000          0.000        124.494         50.000         98.000          2.000          0.000        275.536
     22/02/1940          0.000          0.000          0.000          0.000        124.041         50.000         98.000          2.000          0.000        276.006
     23/02/1940          0.000          0.000          0.000          0.000        123.601         50.000         98.000          2.000          0.000        276.459
     24/02/1940          0.000          0.000          0.000          0.000        123.175         50.000         98.000          2.000          0.000        276.899
     25/02/1940          0.000          0.000          0.000          0.000        122.762         50.000         98.000          2.000          0.000        277.325
     26/02/1940          0.000          0.000          0.000          0.000        122.359         50.000         98.000          2.000          0.000        277.738
     27/02/1940          0.000          0.000          0.000          0.000        121.966         50.000         98.000          2.000          0.000        278.141
     28/02/1940          0.000          0.000          0.000          0.000        150.658         50.000         98.000          2.000          0.000        278.534
