Summary_file = 
Title = Stock Supplement PI SAMPLE Simulation
           Date no_stores no_paddocks     padd_names   padd_amounts    number            sex            age         weight    supp_intake      wt_change
             ()        ()          ()             ()             ()       (?)            (?)            (?)            (?)            (?)            (?)
     01/10/1988         1           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     02/10/1988         1           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     03/10/1988         1           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     04/10/1988         1           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     05/10/1988         1           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     06/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     07/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     08/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     09/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     10/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     11/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     12/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     13/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     14/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     15/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     16/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     17/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     18/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     19/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     20/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     21/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     22/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     23/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     24/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     25/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     26/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     27/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     28/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     29/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     30/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     31/10/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     01/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     02/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     03/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     04/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     05/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     06/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     07/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     08/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     09/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     10/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     11/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     12/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     13/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     14/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     15/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     16/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     17/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     18/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     19/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     20/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     21/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     22/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     23/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     24/11/1988         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     25/11/1988         2           1         (null)          0.000         5          steer        366.000        248.062          0.000         -1.938
     26/11/1988         2           1         (null)          1.000         5          steer        367.000        246.238          0.180         -1.824
     27/11/1988         2           1         (null)          1.000         5          steer        368.000        244.425          0.180         -1.813
     28/11/1988         2           1         (null)          1.000         5          steer        369.000        242.619          0.180         -1.806
     29/11/1988         2           1         (null)          1.000         5          steer        370.000        240.827          0.180         -1.792
     30/11/1988         2           1         (null)          1.000         5          steer        371.000        239.046          0.180         -1.781
     01/12/1988         2           1         (null)          1.000         5          steer        372.000        237.275          0.180         -1.771
     02/12/1988         2           1         (null)          1.000         5          steer        373.000        235.515          0.180         -1.760
     03/12/1988         2           1         (null)          1.000         5          steer        374.000        233.765          0.180         -1.750
     04/12/1988         2           1         (null)          1.000         5          steer        375.000        232.026          0.180         -1.739
     05/12/1988         2           1         (null)          5.000         5          steer        376.000        230.698          0.900         -1.328
     06/12/1988         2           1         (null)          5.000         5          steer        377.000        229.378          0.900         -1.320
     07/12/1988         2           1         (null)          5.000         5          steer        378.000        228.066          0.900         -1.312
     08/12/1988         2           1         (null)          5.000         5          steer        379.000        226.761          0.900         -1.304
     09/12/1988         2           1         (null)          5.000         5          steer        380.000        225.465          0.900         -1.296
     10/12/1988         2           1         (null)          5.000         5          steer        381.000        224.176          0.900         -1.289
     11/12/1988         2           1         (null)          5.000         5          steer        382.000        222.895          0.900         -1.281
     12/12/1988         2           1         (null)          5.000         5          steer        383.000        221.622          0.900         -1.273
     13/12/1988         2           1         (null)          5.000         5          steer        384.000        220.357          0.900         -1.265
     14/12/1988         2           1         (null)          5.000         5          steer        385.000        219.099          0.900         -1.258
     15/12/1988         2           1         (null)         10.000         5          steer        386.000        218.333          1.800         -0.766
     16/12/1988         2           1         (null)         10.000         5          steer        387.000        217.571          1.800         -0.761
     17/12/1988         2           1         (null)         10.000         5          steer        388.000        216.815          1.800         -0.757
     18/12/1988         2           1         (null)         10.000         5          steer        389.000        216.062          1.800         -0.752
     19/12/1988         2           1         (null)         10.000         5          steer        390.000        215.315          1.800         -0.748
     20/12/1988         2           1         (null)         10.000         5          steer        391.000        214.571          1.800         -0.743
     21/12/1988         2           1         (null)         10.000         5          steer        392.000        213.833          1.800         -0.739
     22/12/1988         2           1         (null)         10.000         5          steer        393.000        213.099          1.800         -0.734
     23/12/1988         2           1         (null)         10.000         5          steer        394.000        212.369          1.800         -0.730
     24/12/1988         2           1         (null)         10.000         5          steer        395.000        211.644          1.800         -0.725
     25/12/1988         2           1         (null)         20.000         5          steer        396.000        211.739          3.600          0.095
     26/12/1988         2           1         (null)         20.000         5          steer        397.000        211.833          3.600          0.095
     27/12/1988         2           1         (null)         20.000         5          steer        398.000        211.928          3.600          0.095
     28/12/1988         2           1         (null)         20.000         5          steer        399.000        212.022          3.600          0.094
     29/12/1988         2           1         (null)         20.000         5          steer        400.000        212.116          3.600          0.094
     30/12/1988         2           1         (null)         20.000         5          steer        401.000        212.210          3.600          0.094
     31/12/1988         2           1         (null)         20.000         5          steer        402.000        212.304          3.600          0.094
     01/01/1989         2           1         (null)          0.000         5          steer        403.000        210.595          0.000         -1.709
     02/01/1989         2           1         (null)          0.000         5          steer        404.000        208.897          0.000         -1.698
     03/01/1989         2           1         (null)          0.000         5          steer        405.000        207.208          0.000         -1.688
     04/01/1989         2           1         (null)          0.000         5          steer        406.000        205.531          0.000         -1.678
     05/01/1989         2           1         (null)          0.000         5          steer        407.000        203.863          0.000         -1.667
     06/01/1989         2           1         (null)          0.000         5          steer        408.000        202.206          0.000         -1.657
     07/01/1989         2           1         (null)          0.000         5          steer        409.000        200.559          0.000         -1.647
     08/01/1989         2           1         (null)          0.000         5          steer        410.000        198.923          0.000         -1.637
     09/01/1989         2           1         (null)          0.000         5          steer        411.000        197.296          0.000         -1.626
     10/01/1989         2           1         (null)          0.000         5          steer        412.000        195.680          0.000         -1.616
     11/01/1989         2           1         (null)          0.000         5          steer        413.000        194.074          0.000         -1.606
     12/01/1989         2           1         (null)          0.000         5          steer        414.000        192.477          0.000         -1.596
     13/01/1989         2           1         (null)          0.000         5          steer        415.000        190.891          0.000         -1.586
     14/01/1989         2           1         (null)          0.000         5          steer        416.000        189.315          0.000         -1.576
     15/01/1989         2           1         (null)          0.000         5          steer        417.000        187.748          0.000         -1.566
     16/01/1989         2           1         (null)          0.000         5          steer        418.000        186.192          0.000         -1.557
     17/01/1989         2           1         (null)          0.000         5          steer        419.000        184.645          0.000         -1.547
     18/01/1989         2           1         (null)          0.000         5          steer        420.000        183.108          0.000         -1.537
     19/01/1989         2           1         (null)          0.000         5          steer        421.000        181.581          0.000         -1.527
     20/01/1989         2           1         (null)          0.000         5          steer        422.000        180.063          0.000         -1.518
     21/01/1989         2           1         (null)          0.000         5          steer        423.000        178.555          0.000         -1.508
     22/01/1989         2           1         (null)          0.000         5          steer        424.000        177.057          0.000         -1.498
     23/01/1989         2           1         (null)          0.000         5          steer        425.000        175.568          0.000         -1.489
     24/01/1989         2           1         (null)          0.000         5          steer        426.000        174.089          0.000         -1.479
     25/01/1989         2           1         (null)          0.000         5          steer        427.000        172.619          0.000         -1.470
     26/01/1989         2           1         (null)          0.000         5          steer        428.000        171.159          0.000         -1.460
     27/01/1989         2           1         (null)          0.000         5          steer        429.000        169.708          0.000         -1.451
     28/01/1989         2           1         (null)          0.000         5          steer        430.000        168.266          0.000         -1.442
     29/01/1989         2           1         (null)          0.000         5          steer        431.000        166.834          0.000         -1.432
