Summary_file = intercropping.sum
Title = Canopy Sample Simulation
       day      year stage_sunflower  lai_sunflower biom_sunflower   stage_cowpea     lai_cowpea    biom_cowpea       sw_dep()
     (day)    (year)              ()      (m^2/m^2)        (kg/ha)             ()      (m^2/m^2)        (kg/ha)           (mm)
        55      1988           5.219          1.584       2144.737          4.000          1.565        975.963        761.381
        56      1988           5.243          1.609       2218.128          4.839          1.599       1001.005        755.011
        57      1988           5.269          1.635       2259.198          5.000          1.619       1015.390        751.780
        58      1988           5.293          1.659       2288.572          6.000          1.626       1025.195        749.822
        59      1988           5.319          1.686       2338.853          6.184          1.638       1040.837        747.757
        60      1988           5.346          1.713       2396.247          6.332          1.652       1057.949        743.839
        61      1988           5.369          1.735       2422.487          6.449          1.656       1065.503        752.313
        62      1988           5.392          1.757       2464.523          6.559          1.665       1076.743        770.427
        63      1988           5.414          1.778       2499.523          6.671          1.667       1085.692        774.198
        64      1988           5.440          1.803       2569.675          6.810          1.672       1102.714        776.380
        65      1988           5.466          1.824       2647.420          6.959          1.679       1121.260        771.076
        66      1988           5.491          1.845       2711.166          7.000          1.666       1135.956        767.557
        67      1988           5.516          1.863       2778.396          7.080          1.655       1150.515        790.576
        68      1988           5.539          1.880       2858.872          7.121          1.642       1167.057        785.810
        69      1988           5.561          1.895       2936.945          7.161          1.627       1182.360        781.215
        70      1988           5.585          1.909       3019.325          7.208          1.610       1197.598        775.884
        71      1988           5.609          1.923       3105.341          7.257          1.592       1212.531        770.054
        72      1988           5.630          1.935       3196.102          7.312          1.572       1227.248        762.203
        73      1988           5.653          1.946       3271.976          7.352          1.554       1238.889        759.311
        74      1988           5.671          1.955       3363.241          7.381          1.321       1249.600        753.831
        75      1988           5.691          1.965       3465.347          7.413          1.321       1259.535        747.901
        76      1988           5.714          1.977       3566.448          7.451          1.321       1269.402        742.126
        77      1988           5.739          1.989       3664.892          7.495          1.321       1278.260        737.822
        78      1988           5.763          2.000       3767.991          7.533          1.321       1286.912        733.367
        79      1988           5.787          2.009       3872.946          7.570          1.321       1295.219        728.761
        80      1988           5.810          2.017       3976.851          7.606          1.321       1302.997        724.450
        81      1988           5.834          2.025       4080.754          7.642          1.321       1310.346        719.997
        82      1988           5.859          2.031       4184.431          7.681          1.304       1317.247        715.900
        83      1988           5.884          2.037       4290.581          7.718          1.266       1323.817        711.166
        84      1988           5.910          2.042       4395.903          7.759          1.225       1329.774        706.934
        85      1988           5.936          2.045       4501.970          7.798          1.186       1335.227        702.417
        86      1988           5.962          2.048       4589.928          7.837          1.144       1339.333        701.888
        87      1988           5.987          2.050       4702.637          7.871          1.096       1343.857        696.776
        88      1988           6.000          2.041       4814.573          7.906          1.046       1348.052        691.949
        89      1988           7.000          2.033       4931.675          7.943          0.994       1352.119        686.564
        90      1988           7.491          2.018       5048.581          7.982          0.939       1355.807        681.143
        91      1988           7.707          2.002       5162.974          8.000          0.880       1359.135        676.175
        92      1988           7.890          1.988       5216.043          8.739          0.839       1360.329        675.394
        93      1988           8.000          1.969       5276.254          9.000          0.772       1361.511        709.587
        94      1988           8.059          1.948       5343.079         12.000          0.020          0.000        724.607
        95      1988           8.096          1.926       5394.671         12.000          0.000          0.000        740.613
        96      1988           8.134          1.903       5463.001         12.000          0.000          0.000        763.543
        97      1988           8.168          1.880       5503.188         12.000          0.000          0.000        769.070
        98      1988           8.207          1.852       5582.052         12.000          0.000          0.000        787.341
        99      1988           8.248          1.820       5656.824         12.000          0.000          0.000        784.305
       100      1988           8.289          1.785       5710.539         12.000          0.000          0.000        787.603
       101      1988           8.326          1.751       5767.623         12.000          0.000          0.000        786.265
       102      1988           8.359          1.721       5839.267         12.000          0.000          0.000        784.068
       103      1988           8.387          1.694       5867.608         12.000          0.000          0.000        804.441
       104      1988           8.421          1.658       5927.608         12.000          0.000          0.000        820.055
       105      1988           8.458          1.616       5994.402         12.000          0.000          0.000        819.470
       106      1988           8.495          1.569       6083.847         12.000          0.000          0.000        815.363
       107      1988           8.531          1.522       6173.333         12.000          0.000          0.000        810.864
       108      1988           8.566          1.473       6257.952         12.000          0.000          0.000        806.677
       109      1988           8.598          1.426       6329.821         12.000          0.000          0.000        803.393
       110      1988           8.631          1.375       6404.622         12.000          0.000          0.000        799.796
       111      1988           8.661          1.326       6452.537         12.000          0.000          0.000        799.715
       112      1988           8.695          1.266       6499.088         12.000          0.000          0.000        797.446
       113      1988           8.729          1.200       6576.230         12.000          0.000          0.000        792.754
       114      1988           8.764          1.128       6644.801         12.000          0.000          0.000        788.769
       115      1988           8.799          1.053       6723.851         12.000          0.000          0.000        783.156
       116      1988           8.835          0.969       6785.015         12.000          0.000          0.000        779.620
       117      1988           8.870          0.883       6855.597         12.000          0.000          0.000        774.830
       118      1988           8.903          0.796       6923.814         12.000          0.000          0.000        770.188
       119      1988           8.936          0.704       6986.562         12.000          0.000          0.000        765.521
       120      1988           8.967          0.613       7017.921         12.000          0.000          0.000        763.363
       121      1988           8.998          0.519       7042.575         12.000          0.000          0.000        766.814
       122      1988           9.000          0.396       7084.062         12.000          0.000          0.000        763.805
       123      1988          10.000          0.263       7125.045         12.000          0.000          0.000        761.210
