APSIM output file, version = 5.3
Title = Solute Sample Simulation
            day           year          br(1)          br(2)          br(3)          br(4)          br(5)          br(6)          br(7)          cl(1)          cl(2)          cl(3)          cl(4)          cl(5)          cl(6)          cl(7)         max_cl      maxppm_cl    maxlayer_cl
          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)          (ppm)        (kg/ha)
              1           1988        100.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0
              2           1988        100.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0
              3           1988        100.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0
              4           1988         90.008          9.799          0.192          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0
              5           1988         89.908          9.795          0.297          0.000          0.000          0.000          0.000         99.888          0.111          0.001          0.000          0.000          0.000          0.000         99.888         51.225              1
              6           1988         89.930          9.719          0.350          0.001          0.000          0.000          0.000         99.888          0.110          0.002          0.000          0.000          0.000          0.000         99.888         51.225              1
              7           1988         89.963          9.661          0.375          0.001          0.000          0.000          0.000         99.889          0.109          0.002          0.000          0.000          0.000          0.000         99.889         51.225              1
              8           1988         90.002          9.616          0.381          0.002          0.000          0.000          0.000         99.889          0.109          0.002          0.000          0.000          0.000          0.000         99.889         51.225              1
              9           1988         90.044          9.574          0.380          0.003          0.000          0.000          0.000         99.890          0.108          0.002          0.000          0.000          0.000          0.000         99.890         51.226              1
             10           1988         90.087          9.531          0.380          0.003          0.000          0.000          0.000         99.890          0.108          0.002          0.000          0.000          0.000          0.000         99.890         51.226              1
             11           1988         90.130          9.487          0.379          0.003          0.000          0.000          0.000         99.891          0.107          0.002          0.000          0.000          0.000          0.000         99.891         51.226              1
             12           1988         90.173          9.445          0.378          0.004          0.000          0.000          0.000         99.891          0.107          0.002          0.000          0.000          0.000          0.000         99.891         51.226              1
             13           1988         90.216          9.403          0.378          0.004          0.000          0.000          0.000         99.892          0.106          0.002          0.000          0.000          0.000          0.000         99.892         51.227              1
             14           1988         90.257          9.361          0.377          0.004          0.000          0.000          0.000         99.892          0.106          0.002          0.000          0.000          0.000          0.000         99.892         51.227              1
             15           1988         90.298          9.321          0.376          0.004          0.000          0.000          0.000         99.893          0.105          0.002          0.000          0.000          0.000          0.000         99.893         51.227              1
             16           1988         85.088         14.268          0.639          0.005          0.000          0.000          0.000         94.129          5.762          0.108          0.000          0.000          0.000          0.000         94.129         48.271              1
             17           1988         82.053         16.930          1.009          0.007          0.000          0.000          0.000         90.772          8.923          0.304          0.001          0.000          0.000          0.000         90.772         46.550              1
             18           1988         81.919         16.840          1.230          0.011          0.000          0.000          0.000         90.623          8.953          0.422          0.002          0.000          0.000          0.000         90.623         46.473              1
             19           1988         81.927         16.698          1.362          0.014          0.000          0.000          0.000         90.627          8.877          0.493          0.003          0.000          0.000          0.000         90.627         46.475              1
             20           1988         61.703         31.645          6.536          0.117          0.000          0.000          0.000         68.256         26.783          4.882          0.080          0.000          0.000          0.000         68.256         35.003              1
             21           1988         61.865         30.953          6.979          0.202          0.000          0.000          0.000         68.340         26.250          5.266          0.144          0.000          0.000          0.000         68.340         35.046              1
             22           1988         61.447         30.929          7.351          0.274          0.000          0.000          0.000         67.761         26.449          5.591          0.199          0.000          0.000          0.000         67.761         34.749              1
             23           1988         61.870         30.244          7.557          0.328          0.000          0.000          0.000         68.123         25.864          5.772          0.241          0.000          0.000          0.000         68.123         34.935              1
             24           1988         62.202         29.788          7.643          0.367          0.000          0.000          0.000         68.407         25.474          5.849          0.270          0.000          0.000          0.000         68.407         35.080              1
             25           1988         62.484         29.281          7.850          0.385          0.000          0.000          0.000         68.648         25.040          6.028          0.284          0.000          0.000          0.000         68.648         35.204              1
             26           1988         62.615         29.019          7.981          0.385          0.000          0.000          0.000         68.760         24.816          6.140          0.284          0.000          0.000          0.000         68.760         35.262              1
             27           1988         62.671         28.962          7.981          0.385          0.000          0.000          0.000         68.808         24.768          6.140          0.284          0.000          0.000          0.000         68.808         35.286              1
             28           1988         62.770         28.863          7.981          0.385          0.000          0.000          0.000         68.893         24.683          6.140          0.284          0.000          0.000          0.000         68.893         35.330              1
             29           1988         62.868         28.766          7.981          0.385          0.000          0.000          0.000         68.977         24.600          6.140          0.284          0.000          0.000          0.000         68.977         35.373              1
             30           1988         62.960         28.677          7.978          0.385          0.000          0.000          0.000         69.055         24.523          6.137          0.284          0.000          0.000          0.000         69.055         35.413              1
