Summary_file = ep-on.sum
Title = erosion productivity on
           date  max_n_avail()
             ()             ()
     31/12/1957         14.618
     31/12/1958         14.375
     31/12/1959         14.339
     30/12/1960         14.339
     31/12/1961         14.334
     31/12/1962         14.332
     31/12/1963         14.329
     30/12/1964         14.329
     31/12/1965         14.326
     31/12/1966         14.307
     31/12/1967         14.276
     30/12/1968         14.252
     31/12/1969         14.243
     31/12/1970         14.207
     31/12/1971         14.121
     30/12/1972         14.111
     31/12/1973         14.107
     31/12/1974         14.078
     31/12/1975         14.042
     30/12/1976         14.003
     31/12/1977         13.990
     31/12/1978         13.923
     31/12/1979         13.923
     30/12/1980         13.908
     31/12/1981         13.879
     31/12/1982         13.858
     31/12/1983         13.807
     30/12/1984         13.774
     31/12/1985         13.745
     31/12/1986         13.616
     31/12/1987         13.614
     30/12/1988         13.437
     31/12/1989         13.366
     31/12/1990         13.338
     31/12/1991         13.338
     30/12/1992         13.320
     31/12/1993         13.320
     31/12/1994         13.318
     31/12/1995         13.289
