APSIM output file, version = 5.3
Title = Step 3. Declining dead pool.
           date       sw_dep()      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)     basal_area     root_depth       sw_index  transpiration vpd_estimation  max_n_avail()   growth_photo    death_frost   surfaceom_wt  transpiration
             ()           (mm)           (mm)           (mm)           (mm)           (mm)       (m^2/ha)           (mm)             ()            (?)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)            (?)
     01/01/1957        283.977         17.977         76.000         95.000         95.000          0.000        750.000          1.000          0.000         28.960         15.000          0.000          0.000         50.000          0.000
     02/01/1957        283.151         17.151         76.000         95.000         95.000          0.000        750.000          1.000          0.000         18.960         15.000          0.000          0.000         98.437          0.000
     03/01/1957        282.450         16.450         76.000         95.000         95.000          0.000        750.000          1.000          0.000         21.230         15.000          0.000          0.000        145.543          0.000
     04/01/1957        281.837         15.837         76.000         95.000         95.000          0.000        750.000          1.000          0.000         22.920         15.000          0.000          0.000        191.535          0.000
     05/01/1957        281.293         15.293         76.000         95.000         95.000          0.000        750.000          1.000          0.000         22.920         15.000          0.000          0.000        236.619          0.000
     06/01/1957        280.802         14.802         76.000         95.000         95.000          0.000        750.000          1.000          0.000         19.070         15.000          0.000          0.000        280.990          0.000
     07/01/1957        280.330         14.354         75.976         95.000         95.000          0.000        750.000          1.000          0.000         18.120         15.000          0.000          0.000        324.835          0.000
     08/01/1957        279.877         13.943         75.933         95.000         95.000          0.000        750.000          1.000          0.000         17.000         15.000          0.000          0.000        368.334          0.000
     09/01/1957        279.439         13.564         75.875         95.000         95.000          0.000        750.000          1.000          0.000         11.090         15.000          0.000          0.000        411.663          0.000
     10/01/1957        303.157         19.118         81.600        103.000         99.439          0.000        750.000          1.000          0.000          7.180         15.000          0.000          0.000        447.063          0.000
     11/01/1957        304.298         19.116         81.327        102.994        100.861          0.000        750.000          1.000          0.000         19.610         15.000          0.000          0.000        481.158          0.000
     12/01/1957        302.128         18.060         80.366        102.274        101.427          0.000        750.000          1.000          0.000         18.180         15.000          0.000          0.000        514.920          0.000
     13/01/1957        300.157         17.212         79.993        101.497        101.455          0.000        750.000          1.000          0.000         19.610         15.000          0.000          0.000        548.495          0.000
     14/01/1957        298.575         16.597         79.848        100.898        101.232          0.000        750.000          1.000          0.000         23.640         15.000          0.000          0.000        581.869          0.000
     15/01/1957        297.241         16.050         79.697        100.539        100.955          0.000        750.000          1.000          0.000         24.260         15.000          0.000          0.000        615.161          0.000
     16/01/1957        296.124         15.557         79.542        100.323        100.702          0.000        750.000          1.000          0.000         26.680         15.000          0.000          0.000        648.489          0.000
     17/01/1957        295.185         15.107         79.385        100.194        100.499          0.000        750.000          1.000          0.000         14.280         15.000          0.000          0.000        681.965          0.000
