Summary_file=step6.sum
Title =step 6. growth by regrowth + transpiration
           date       sw_dep()      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)     basal_area     root_depth       sw_index  transpiration vpd_estimation  max_n_avail()   growth_photo    death_frost     residue_wt
             ()           (mm)           (mm)           (mm)           (mm)           (mm)       (m^2/ha)           (mm)             ()             ()             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)
      1/01/1957        279.403         13.403         76.000         95.000         95.000          4.000        750.000          1.000          0.000         28.960         15.000          0.000          0.000          0.000
      2/01/1957        277.049         11.560         75.504         94.986         95.000          4.000        750.000          1.000          0.082         18.960         15.000          2.376          0.000          0.000
      3/01/1957        275.007         10.323         74.727         94.957         95.000          4.000        750.000          1.000          0.164         21.230         15.000          4.685          0.000          0.000
      4/01/1957        273.158          9.411         73.835         94.913         95.000          4.000        750.000          1.000          0.243         22.920         15.000          7.530          0.000          0.000
      5/01/1957        271.436          8.706         72.877         94.853         95.000          4.000        750.000          1.000          0.322         22.920         15.000         10.378          0.000          0.001
      6/01/1957        269.798          8.146         71.875         94.778         95.000          4.000        750.000          1.000          0.401         19.070         15.000         12.475          0.000          0.002
      7/01/1957        268.218          7.690         70.841         94.686         95.000          4.000        750.000          1.000          0.478         18.120         15.000         10.488          0.000          0.004
      8/01/1957        266.681          7.315         69.786         94.579         95.000          4.000        750.000          1.000          0.549         17.000         15.000         10.785          0.000          0.006
      9/01/1957        265.174          7.002         68.715         94.456         95.000          4.000        750.000          1.000          0.616         11.090         15.000          7.132          0.000          0.009
     10/01/1957        276.920         14.248         73.293         94.379         95.000          4.000        750.000          1.000          0.580          7.180         15.000          5.327          0.000          0.013
     11/01/1957        275.802         13.626         72.887         94.289         95.000          4.000        750.000          1.000          0.631         19.610         15.000         23.034          0.000          0.018
     12/01/1957        273.335         11.857         72.316         94.162         95.000          4.000        750.000          1.000          0.752         18.180         15.000         21.867          0.000          0.023
     13/01/1957        271.131         10.669         71.452         94.010         95.000          4.000        750.000          1.000          0.836         19.610         15.000         24.764          0.000          0.030
     14/01/1957        269.344          9.907         70.572         93.865         95.000          4.000        750.000          1.000          0.778         23.640         15.000         30.716          0.000          0.038
     15/01/1957        267.611          9.286         69.619         93.706         95.000          4.000        750.000          1.000          0.839         24.260         15.000         33.183          0.000          0.047
     16/01/1957        265.914          8.771         68.612         93.531         95.000          4.000        750.000          1.000          0.899         26.680         15.000         35.625          0.000          0.058
     17/01/1957        264.241          8.336         67.565         93.341         95.000          4.000        750.000          1.000          0.958         14.280         15.000         26.237          0.000          0.070
     18/01/1957        262.618          7.964         66.514         93.140         95.000          4.000        750.000          0.969          0.981         14.060         15.000         31.136          0.000          0.085
     19/01/1957        261.046          7.645         65.470         92.931         95.000          4.000        750.000          0.932          0.992         17.720         15.000         32.165          0.000          0.101
     20/01/1957        259.273          7.321         64.274         92.678         95.000          4.000        750.000          0.893          1.159         23.190         15.000         41.379          0.000          0.119
     21/01/1957        257.575          7.044         63.114         92.417         95.000          4.000        750.000          0.848          1.148         17.210         15.000         38.433          0.000          0.141
     22/01/1957        255.952          6.807         61.997         92.149         95.000          4.000        750.000          0.802          1.127         24.710         15.000         44.915          0.000          0.167
     23/01/1957        254.404          6.601         60.929         91.874         95.000          4.000        750.000          0.758          1.099         27.630         15.000         49.934          0.000          0.198
     24/01/1957        252.928          6.422         59.911         91.595         95.000          4.000        750.000          0.714          1.067         31.020         15.000         49.721          0.000          0.234
     25/01/1957        255.134          9.672         59.150         91.312         95.000          4.000        750.000          0.681          1.044         20.650         15.000         36.487          0.000          0.277
     26/01/1957        260.439         15.148         59.137         91.154         95.000          4.000        750.000          1.000          1.094         15.040         15.000         35.443          0.000          0.327
     27/01/1957        257.571         13.108         58.541         90.923         95.000          4.000        750.000          0.913          1.167          7.080         15.000         14.519          0.000          0.366
     28/01/1957        255.430         11.847         57.915         90.668         95.000          4.000        750.000          0.716          1.013         10.210         15.000         26.761          0.000          0.410
     29/01/1957        253.641         10.954         57.286         90.401         95.000          4.000        750.000          0.620          0.932         14.560         15.000         44.223          0.000          0.464
