Summary_file = pasture.sum
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep             rlv(1)             rlv(2)             rlv(3)             rlv(4)             rlv(5)             rlv(6)             rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()             rwu(1)             rwu(2)             rwu(3)             rwu(4)             rwu(5)             rwu(6)             rwu(7)          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)          sw_dep(6)          sw_dep(7)             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             nh4(1)             nh4(2)             nh4(3)             nh4(4)             nh4(5)             nh4(6)             nh4(7)            fom      cover_tot  residue_cover
             ()           (mm)             ()                 ()                 ()                 ()                 ()                 ()                 ()                 ()             ()           (mm)           (mm)        (kg/ha)        (kg/ha)            (?)                 ()                 ()                 ()                 ()                 ()                 ()                 ()               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (?)             ()             ()
     01/10/1988          0.000        100.000         336000.000              0.000              0.000              0.000              0.000              0.000              0.000          1.956        651.179          2.215         83.018          7.549              ?              1.956              0.000              0.000              0.000              0.000              0.000              0.000             57.763             44.352             75.209            103.664            124.191            123.000            123.000             16.595             16.462             19.111             10.897              6.222              7.719              6.013              0.600              0.491              1.064              0.995              0.992              1.667              1.741              ?          0.441          0.041
     02/10/1988          0.000        100.000         334847.656              0.000              0.000              0.000              0.000              0.000              0.000          1.568        647.414          2.197         84.394          6.492              ?              1.568              0.000              0.000              0.000              0.000              0.000              0.000             52.531             45.730             75.469            105.008            122.676            123.000            123.000             16.355             16.988             19.267             11.137              6.343              8.034              6.270              0.609              0.426              0.968              0.845              0.805              1.354              1.485              ?          0.441          0.040
     03/10/1988          0.000        100.000         333700.312              0.000              0.000              0.000              0.000              0.000              0.000          1.240        644.053          2.122         85.639          5.579              ?              1.240              0.000              0.000              0.000              0.000              0.000              0.000             48.756             46.047             75.761            106.085            121.404            123.000            123.000             16.439             17.194             19.428             11.338              6.448              8.304              6.489              0.602              0.380              0.875              0.723              0.646              1.086              1.267              ?          0.440          0.040
     04/10/1988          0.000        100.000         332549.469              0.000              0.000              0.000              0.000              0.000              0.000          1.048        641.979          1.026         86.790          4.764              ?              1.048              0.000              0.000              0.000              0.000              0.000              0.000             46.552             46.080             76.077            106.941            120.426            122.903            123.000             16.635             17.302             19.589             11.506              6.549              8.533              6.676              0.562              0.350              0.786              0.625              0.508              0.852              1.081              ?          0.440          0.039
     05/10/1988          0.000        100.000         331377.625              0.000              0.000              0.000              0.000              0.000              0.000          0.900        640.288          0.790         87.865          4.045              ?              0.900              0.000              0.000              0.000              0.000              0.000              0.000             44.855             45.992             76.410            107.627            119.679            122.725            123.000             16.898             17.364             19.750             11.649              6.645              8.723              6.836              0.496              0.335              0.702              0.549              0.389              0.652              0.923              ?          0.440          0.039
     06/10/1988          0.000        100.000         330172.500              0.000              0.000              0.000              0.000              0.000              0.000          0.779        638.842          0.667         88.807          3.463              ?              0.779              0.000              0.000              0.000              0.000              0.000              0.000             43.462             45.846             76.759            108.182            119.096            122.497            123.000             17.161             17.402             19.909             11.772              6.728              8.861              6.973              0.443              0.328              0.624              0.489              0.292              0.500              0.788              ?          0.440          0.039
     07/10/1988          0.000        100.000         328943.594              0.000              0.000              0.000              0.000              0.000              0.000          0.677        637.576          0.588         89.630          2.991              ?              0.677              0.000              0.000              0.000              0.000              0.000              0.000             42.282             45.673             77.119            108.632            118.632            122.238            123.000             17.411             17.429             20.065             11.879              6.794              8.962              7.090              0.398              0.325              0.551              0.441              0.219              0.384              0.673              ?          0.439          0.040
     08/10/1988          0.000        100.000         327709.844              0.000              0.000              0.000              0.000              0.000              0.000          0.588        636.456          0.532         90.350          2.599              ?              0.588              0.000              0.000              0.000              0.000              0.000              0.000             41.262             45.489             77.489            108.998            118.253            121.965            123.000             17.644             17.451             20.217             11.971              6.845              9.033              7.189              0.354              0.320              0.485              0.402              0.168              0.295              0.575              ?          0.439          0.041
     09/10/1988          0.000        100.000         326480.531              0.000              0.000              0.000              0.000              0.000              0.000          0.510        635.456          0.490         90.975          2.272              ?              0.510              0.000              0.000              0.000              0.000              0.000              0.000             40.369             45.302             77.868            109.294            117.936            121.687            123.000             17.850             17.468             20.365             12.053              6.882              9.083              7.275              0.316              0.314              0.424              0.369              0.132              0.227              0.491              ?          0.439          0.043
     10/10/1988          0.000        100.000         325247.562              0.000              0.000              0.000              0.000              0.000              0.000          0.442        634.559          0.456         91.501          2.002              ?              0.442              0.000              0.000              0.000              0.000              0.000              0.000             39.581             45.117             78.254            109.532            117.663            121.411            123.000             18.015             17.483             20.507             12.123              6.909              9.117              7.348              0.291              0.302              0.368              0.338              0.109              0.175              0.420              ?          0.438          0.046
     11/10/1988          0.000        100.000         324027.562              0.000              0.000              0.000              0.000              0.000              0.000          0.381        633.749          0.428         91.945          1.780              ?              0.381              0.000              0.000              0.000              0.000              0.000              0.000             38.881             44.936             78.646            109.720            117.418            121.154            122.995             18.152             17.494             20.639             12.185              6.928              9.137              7.410              0.274              0.286              0.320              0.310              0.093              0.137              0.359              ?          0.438          0.049
     12/10/1988          0.000        100.000         322824.500              0.000              0.000              0.000              0.000              0.000              0.000          0.327        633.017          0.405         92.329          1.603              ?              0.327              0.000              0.000              0.000              0.000              0.000              0.000             38.257             44.760             79.043            109.865            117.194            120.933            122.965             18.268             17.503             20.763             12.238              6.944              9.151              7.461              0.265              0.272              0.282              0.287              0.081              0.108              0.307              ?          0.437          0.054
     13/10/1988          0.000        100.000         321617.375              0.000              0.000              0.000              0.000              0.000              0.000          0.278        632.354          0.385         92.673          1.468              ?              0.278              0.000              0.000              0.000              0.000              0.000              0.000             37.699             44.591             79.443            109.972            116.992            120.739            122.917             18.370             17.512             20.880             12.285              6.959              9.162              7.504              0.264              0.263              0.253              0.270              0.071              0.085              0.263              ?          0.436          0.059
     14/10/1988          0.000        100.000         320394.781              0.000              0.000              0.000              0.000              0.000              0.000          0.235        631.751          0.368         92.984          1.367              ?              0.235              0.000              0.000              0.000              0.000              0.000              0.000             37.199             44.429             79.847            110.047            116.808            120.566            122.856             18.461             17.522             20.992             12.327              6.974              9.168              7.540              0.267              0.257              0.231              0.257              0.064              0.066              0.226              ?          0.435          0.064
     15/10/1988          0.000        100.000         319156.750              0.000              0.000              0.000              0.000              0.000              0.000          0.196        631.202          0.353         93.271          1.299              ?              0.196              0.000              0.000              0.000              0.000              0.000              0.000             36.749             44.273             80.252            110.095            116.640            120.407            122.785             18.541             17.534             21.100             12.366              6.990              9.171              7.569              0.273              0.257              0.216              0.249              0.057              0.053              0.194              ?          0.435          0.071
     16/10/1988          0.000        100.000         317901.469              0.000              0.000              0.000              0.000              0.000              0.000          0.160        630.702          0.340         93.541          1.256              ?              0.160              0.000              0.000              0.000              0.000              0.000              0.000             36.345             44.124             80.659            110.119            116.486            120.261            122.707             18.613             17.549             21.206             12.401              7.006              9.172              7.593              0.282              0.260              0.208              0.245              0.052              0.042              0.167              ?          0.433          0.078
     17/10/1988          0.000        100.000         316638.281              0.000              0.000              0.000              0.000              0.000              0.000          0.129        630.245          0.328         93.795          1.224              ?              0.129              0.000              0.000              0.000              0.000              0.000              0.000             35.982             43.982             81.067            110.124            116.343            120.125            122.624             18.678             17.567             21.309             12.435              7.022              9.171              7.613              0.289              0.263              0.203              0.243              0.048              0.034              0.143              ?          0.432          0.087
     18/10/1988          0.000        100.000         315373.750              0.000              0.000              0.000              0.000              0.000              0.000          0.100        629.827          0.317         94.035          1.190              ?              0.100              0.000              0.000              0.000              0.000              0.000              0.000             35.655             43.846             81.474            110.111            116.210            119.996            122.537             18.735             17.587             21.411             12.467              7.036              9.169              7.629              0.294              0.261              0.199              0.239              0.046              0.028              0.124              ?          0.431          0.096
     19/10/1988          0.000        100.000         314127.500              0.000              0.000              0.000              0.000              0.000              0.000          0.075        629.445          0.308         94.259          1.158              ?              0.075              0.000              0.000              0.000              0.000              0.000              0.000             35.360             43.716             81.881            110.084            116.084            119.873            122.448             18.786             17.608             21.512             12.497              7.048              9.165              7.642              0.297              0.256              0.195              0.235              0.044              0.023              0.107              ?          0.430          0.105
     20/10/1988          0.000        100.000         312891.250              0.000              0.000              0.000              0.000              0.000              0.000          0.052        629.094          0.299         94.474          1.134              ?              0.052              0.000              0.000              0.000              0.000              0.000              0.000             35.095             43.592             82.286            110.045            115.965            119.756            122.357             18.832             17.631             21.611             12.525              7.061              9.161              7.652              0.299              0.253              0.194              0.232              0.043              0.020              0.093              ?          0.428          0.114
     21/10/1988          0.000        100.000         311639.656              0.000              0.000              0.000              0.000              0.000              0.000          0.031        628.773          0.290         94.680          1.119              ?              0.031              0.000              0.000              0.000              0.000              0.000              0.000             34.857             43.474             82.690            109.995            115.851            119.643            122.265             18.871             17.655             21.709             12.553              7.075              9.157              7.661              0.301              0.251              0.196              0.231              0.042              0.017              0.080              ?          0.427          0.123
     22/10/1988          0.000        100.000         310369.531              0.000              0.000              0.000              0.000              0.000              0.000          0.012        628.478          0.283         94.884          1.116              ?              0.012              0.000              0.000              0.000              0.000              0.000              0.000             34.642             43.361             83.091            109.937            115.741            119.533            122.172             18.907             17.681             21.808             12.580              7.090              9.152              7.667              0.302              0.253              0.201              0.233              0.041              0.015              0.070              ?          0.426          0.133
     23/10/1988          0.000        100.000         309070.906              0.000              0.000              0.000              0.000              0.000              0.000          0.000        628.202          0.276         95.086          1.115              ?              0.000              0.000              0.000              0.000              0.000              0.000              0.000             34.446             43.253             83.490            109.871            115.635            119.427            122.080             18.939             17.710             21.907             12.607              7.105              9.147              7.672              0.302              0.255              0.208              0.235              0.040              0.014              0.061              ?          0.424          0.142
     24/10/1988          2.200        100.000         307784.281              0.000              0.000              0.000              0.000              0.000              0.000          0.036        628.600          1.766         95.292          1.109              ?              0.036              0.000              0.000              0.000              0.000              0.000              0.000             34.920             43.152             83.886            109.799            115.532            119.324            121.987             18.978             17.740             22.006             12.633              7.119              9.141              7.675              0.304              0.252              0.212              0.234              0.040              0.013              0.054              ?          0.423          0.153
     25/10/1988          0.400        100.000         306535.812              0.000              0.000              0.000              0.000              0.000              0.000          0.000        627.896          1.104         95.485          1.090              ?              0.000              0.000              0.000              0.000              0.000              0.000              0.000             34.293             43.052             84.278            109.722            115.431            119.223            121.895             19.010             17.768             22.104             12.659              7.131              9.136              7.678              0.304              0.243              0.213              0.230              0.040              0.012              0.047              ?          0.421          0.162
