Summary_file = sunflower.sum
Title = Sunflower sample simulation
      year today.dd/mm/yyyy       das          stage            lai        biomass          grain          yield        grain_n        tillers      rootdepth            cep       ws_pheno       ws_photo       ws_expan      ws_tiller       Ns_pheno       Ns_photo       Ns_expan      Ns_tiller
      1989       05/02/1989        54          5.727          2.802        440.864          0.000          0.000          0.000          0.000       1800.000        186.374          1.000          1.000          1.000          1.000          0.886          0.886          0.803          0.502
      1989       06/02/1989        55          5.765          2.831        453.645          0.000          0.000          0.000          0.000       1800.000        188.435          1.000          1.000          1.000          1.000          0.904          0.904          0.814          0.523
      1989       07/02/1989        56          5.804          2.855        469.521          0.000          0.000          0.000          0.000       1800.000        192.055          1.000          1.000          1.000          1.000          0.903          0.903          0.809          0.521
      1989       08/02/1989        57          5.848          2.873        489.269          0.000          0.000          0.000          0.000       1800.000        199.523          1.000          1.000          0.715          1.000          0.897          0.897          0.805          0.515
      1989       09/02/1989        58          5.889          2.863        510.344          0.000          0.000          0.000          0.000       1800.000        210.520          1.000          1.000          0.163          1.000          0.893          0.893          0.807          0.510
      1989       10/02/1989        59          5.927          2.852        527.192          0.000          0.000          0.000          0.000       1800.000        221.192          1.000          0.757          0.100          1.000          0.895          0.895          0.827          0.513
      1989       11/02/1989        60          5.972          2.850        544.169          0.000          0.000          0.000          0.000       1800.000        228.109          1.000          1.000          0.494          1.000          0.904          0.904          0.847          0.523
      1989       12/02/1989        61          6.000          2.830        560.955          0.000          0.000          0.000          0.000       1800.000        233.990          1.000          1.000          0.627          1.000          0.914          0.914          0.861          0.535
      1989       13/02/1989        62          7.000          2.811        579.312          0.000          0.000          0.000          0.000       1800.000        242.665          1.000          0.824          0.100          1.000          0.929          0.929          0.888          0.552
      1989       14/02/1989        63          7.564          2.790        594.216          0.000          0.000          0.000          0.000       1800.000        250.433          1.000          0.655          0.100          1.000          0.928          0.928          0.912          0.551
      1989       15/02/1989        64          7.807          2.767        607.547          0.000          0.000          0.000          0.000       1800.000        257.382          1.000          0.584          0.100          1.000          0.934          0.934          0.940          0.558
      1989       16/02/1989        65          8.000          2.742        618.177          5.575         55.752          0.110          0.000       1800.000        263.592          1.000          0.520          0.100          1.000          0.942          0.942          0.970          0.568
      1989       17/02/1989        66          8.049          2.714        629.911         11.386        113.857          0.224          0.000       1800.000        269.169          1.000          0.600          0.100          1.000          0.945          0.945          0.986          0.572
      1989       18/02/1989        67          8.089          2.685        639.925         17.386        173.863          0.343          0.000       1800.000        274.186          1.000          0.534          0.100          1.000          0.947          0.947          1.000          0.575
      1989       19/02/1989        68          8.132          2.654        647.686         23.512        235.120          0.464          0.000       1800.000        278.706          1.000          0.419          0.100          1.000          0.952          0.952          1.000          0.580
      1989       20/02/1989        69          8.176          2.621        653.915         29.735        297.349          0.587          0.000       1800.000        282.779          1.000          0.342          0.100          1.000          0.960          0.960          1.000          0.590
      1989       21/02/1989        70          8.219          2.583        669.668         36.618        366.184          0.729          0.000       1800.000        290.703          1.000          1.000          0.459          1.000          0.970          0.970          1.000          0.603
      1989       22/02/1989        71          8.264          2.539        687.584         43.957        439.569          0.882          0.000       1800.000        297.454          1.000          1.000          0.563          1.000          0.972          0.972          1.000          0.605
      1989       23/02/1989        72          8.303          2.494        704.142         51.555        515.548          1.042          0.000       1800.000        303.097          1.000          1.000          0.713          1.000          0.971          0.971          1.000          0.603
      1989       24/02/1989        73          8.342          2.446        717.290         59.207        592.072          1.209          0.000       1800.000        307.443          1.000          1.000          1.000          1.000          0.969          0.969          1.000          0.601
      1989       25/02/1989        74          8.381          2.394        734.909         67.545        675.446          1.380          0.000       1800.000        313.811          1.000          1.000          0.388          1.000          0.972          0.972          1.000          0.604
      1989       26/02/1989        75          8.418          2.341        751.785         76.072        760.723          1.551          0.000       1800.000        320.674          1.000          1.000          0.211          1.000          0.968          0.968          1.000          0.600
      1989       27/02/1989        76          8.457          2.281        768.666         85.041        850.408          1.729          0.000       1800.000        327.215          1.000          1.000          0.158          1.000          0.964          0.964          1.000          0.595
      1989       28/02/1989        77          8.491          2.227        778.869         93.558        935.577          1.915          0.000       1800.000        329.249          1.000          1.000          1.000          1.000          0.961          0.961          1.000          0.591
      1989       01/03/1989        78          8.526          2.167        791.294        102.387       1023.867          2.097          0.000       1800.000        333.344          1.000          1.000          0.520          1.000          0.962          0.962          1.000          0.592
      1989       02/03/1989        79          8.568          2.090        805.325        111.906       1119.060          2.286          0.000       1800.000        338.870          1.000          0.927          0.100          1.000          0.962          0.962          1.000          0.592
      1989       03/03/1989        80          8.605          2.013        816.472        121.299       1212.988          2.483          0.000       1800.000        341.951          1.000          1.000          0.643          1.000          0.965          0.965          1.000          0.596
      1989       04/03/1989        81          8.647          1.921        828.861        131.137       1311.366          2.680          0.000       1800.000        346.145          1.000          1.000          0.181          1.000          0.969          0.969          1.000          0.600
      1989       05/03/1989        82          8.690          1.821        840.159        141.065       1410.653          2.877          0.000       1800.000        350.458          1.000          1.000          0.115          1.000          0.975          0.975          1.000          0.609
      1989       06/03/1989        83          8.732          1.719        847.707        150.505       1505.049          3.027          0.000       1800.000        354.337          1.000          0.516          0.100          1.000          0.985          0.985          1.000          0.621
      1989       07/03/1989        84          8.773          1.610        854.498        159.944       1599.445          3.163          0.000       1800.000        357.754          1.000          0.470          0.100          1.000          1.000          1.000          1.000          0.645
      1989       08/03/1989        85          8.814          1.494        860.651        169.386       1693.862          3.286          0.000       1800.000        360.816          1.000          0.457          0.100          1.000          1.000          1.000          1.000          0.675
      1989       09/03/1989        86          8.856          1.366        865.989        178.766       1787.661          3.394          0.000       1800.000        363.560          1.000          0.393          0.100          1.000          1.000          1.000          1.000          0.709
      1989       10/03/1989        87          8.898          1.238        869.855        187.890       1878.897          3.472          0.000       1800.000        366.017          1.000          0.282          0.100          1.000          1.000          1.000          1.000          0.754
      1989       11/03/1989        88          8.941          1.099        873.434        197.023       1970.230          3.546          0.000       1800.000        368.218          1.000          0.284          0.100          1.000          1.000          1.000          1.000          0.824
      1989       12/03/1989        89          8.983          0.944        876.973        206.225       2062.246          3.619          0.000       1800.000        370.188          1.000          0.308          0.100          1.000          1.000          1.000          1.000          0.910
      1989       13/03/1989        90          9.000          0.786        879.661        208.292       2082.922          3.676          0.000       1800.000        371.951          1.000          0.258          0.100          1.000          1.000          1.000          1.000          1.000
      1989       14/03/1989        91         10.000          0.606        882.965        208.292       2082.922          3.676          0.000       1800.000        373.527          1.000          0.318          0.100          1.000          1.000          1.000          1.000          1.000
      1989       15/03/1989        92         11.000          0.000        882.964        208.292       2082.922          3.676          0.000       1800.000        373.527          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000
