Summary_file = apswim.sum
Title = APSwim Sample Simulation
       day      year              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)              br(1)              br(2)              br(3)              br(4)              br(5)              br(6)              br(7)              br(8)              br(9)             br(10)             br(11)             br(12)             br(13)
     (day)    (year)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)
         1      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              0.576              2.107             10.313             32.102             30.375             15.802              6.197              1.914              0.523              0.083              0.008              0.001              0.000
         2      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              1.399              4.643             11.986             30.882             28.479             14.613              5.686              1.736              0.488              0.079              0.007              0.000              0.000
         3      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              2.322              7.457             13.082             29.628             26.679             13.505              5.212              1.575              0.456              0.075              0.007              0.000              0.000
         4      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              3.304             10.436             13.749             28.349             24.972             12.478              4.777              1.430              0.426              0.072              0.007              0.000              0.000
         5      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              0.154              0.573              3.167             14.480             24.210             22.689             16.560              9.832              5.763              2.065              0.432              0.065              0.000
         6      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              0.439              1.476              4.398             15.215             23.894             21.848             15.699              9.130              5.436              1.978              0.416              0.062              0.000
         7      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              0.804              2.613              5.416             15.802             23.519             21.010             14.862              8.484              5.129              1.894              0.399              0.059              0.000
         8      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              1.236              3.941              6.255             16.255             23.090             20.176             14.054              7.889              4.840              1.814              0.384              0.056              0.000
         9      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              0.341              1.193              4.640             13.365             20.582             20.534             16.522             10.856              7.589              3.338              0.853              0.156              0.000
        10      1995              0.207              0.207              0.208              0.211              0.216              0.221              0.227              0.233              0.241              0.266              0.302              0.354              0.370              0.711              2.334              5.343             13.852             20.473             19.952             15.778             10.165              7.186              3.203              0.821              0.149              0.000
