Summary_file=eo.sum
Title =eo sample
   year    day          eo_pm             ra           evap
     ()     ()           (mm)          (s/m)             ()
   1996      1          4.815        291.250          6.800
   1996      2          3.289        291.250          5.400
   1996      3          6.042        291.250          4.800
   1996      4          1.965        241.397          4.800
   1996      5          3.203       1786.334          4.700
   1996      6          6.159        439.263          7.200
   1996      7          6.601        311.570          6.400
   1996      8          2.803        595.445          2.600
   1996      9          0.686        250.421          0.600
   1996     10          4.154        372.153          3.800
   1996     11          5.523        343.526          6.300
   1996     12          6.080        347.987          6.000
   1996     13          6.201        291.250          6.600
   1996     14          6.801        307.989          6.600
   1996     15          6.416        326.768          7.600
   1996     16          7.222        257.644          6.400
   1996     17          4.987        255.191          5.900
   1996     18          4.569        255.191          5.900
   1996     19          5.182        282.053          5.000
   1996     20          6.012        311.570          7.000
   1996     21          6.470        285.053          7.400
   1996     22          4.062        405.985          4.200
   1996     23          3.391        285.053          3.800
   1996     24          3.296        288.118          3.600
   1996     25          6.300        304.489          8.100
   1996     26          6.103        304.489          8.100
   1996     27          6.209        315.236          4.400
   1996     28          6.127        515.289          5.000
   1996     29          6.989        330.803          6.200
   1996     30          6.524        496.204          6.600
   1996     31          6.708        294.451          7.800
   1996     32          4.599        276.237          6.200
   1996     33          6.763        377.395          7.600
   1996     34          4.321        425.318          5.800
   1996     35          4.643        279.115          5.600
   1996     36          4.273        307.989          7.000
   1996     37          5.565        546.837          4.600
   1996     38          5.536        334.938          6.600
   1996     39          5.797        285.053          5.200
   1996     40          4.336        257.644          6.200
   1996     41          6.197        230.992          6.700
   1996     42          5.834        339.177          6.000
   1996     43          6.073        311.570          6.600
   1996     44          5.671        255.191          6.000
   1996     45          4.970        294.451          5.800
   1996     46          2.732        315.236          3.400
   1996     47          3.602        637.977          2.000
   1996     48          5.892        367.055          6.200
   1996     49          5.646        377.395          6.200
   1996     50          4.875        454.153          5.400
   1996     51          5.177        225.168          6.600
   1996     52          4.934        260.146          5.200
   1996     53          4.028        184.793          5.400
   1996     54          4.051        219.631          5.700
   1996     55          3.269        304.489          3.200
   1996     56          4.174        250.421          5.900
   1996     57          3.478        352.566          2.600
   1996     58          5.257        318.988          6.200
   1996     59          4.119        288.118          4.000
   1996     60          1.746        362.095          2.200
   1996     61          4.486        478.483          3.900
   1996     62          5.183        307.989          6.400
   1996     63          4.230        252.783          5.800
   1996     64          3.607        221.446          4.600
   1996     65          3.819        257.644          5.600
   1996     66          5.402        265.297          5.200
   1996     67          5.764        270.657          7.400
   1996     68          5.402        257.644          6.400
   1996     69          3.350        265.297          4.000
   1996     70          3.181        243.591          4.000
   1996     71          3.868        304.489          4.600
   1996     72          3.086        282.053          4.000
   1996     73          3.644        326.768          4.600
   1996     74          5.198        382.786          5.600
   1996     75          5.245        285.053          7.800
   1996     76          4.835        262.696          4.000
   1996     77          5.261        237.124          7.800
   1996     78          5.467        330.803          7.000
   1996     79          4.464        245.826          6.000
   1996     80          4.971        362.095          5.800
   1996     81          5.442        248.102          8.000
   1996     82          3.992        265.297          5.600
   1996     83          2.548        330.803          2.700
   1996     84          2.532        294.451          4.000
   1996     85          4.008        270.657          4.400
   1996     86          3.420        297.722          4.200
   1996     87          4.130        239.241          5.400
   1996     88          4.678        252.783          6.000
   1996     89          3.260        273.419          5.000
   1996     90          4.557        322.832          4.400
   1996     91          4.600        377.395          6.200
   1996     92          5.263        216.089         10.600
   1996     93          4.584        357.267          5.400
   1996     94          4.703        262.696          7.200
   1996     95          4.108        279.115          5.400
   1996     96          4.167        334.938          7.100
   1996     97          4.250        279.115          5.200
   1996     98          4.062        432.178          3.800
   1996     99          3.901        352.566          5.000
   1996    100          2.371        184.793          5.600
   1996    101          4.413        252.783          7.200
   1996    102          4.021        243.591          6.600
   1996    103          3.391        262.696          5.400
   1996    104          3.747        267.950          6.300
   1996    105          4.138        291.250          6.600
   1996    106          4.058        285.053          6.600
   1996    107          4.088        279.115          5.800
   1996    108          4.137        229.017          6.800
   1996    109          4.118        221.446          6.600
   1996    110          3.694        399.926          5.400
   1996    111          3.251        315.236          3.600
   1996    112          2.677        262.696          3.000
   1996    113          2.075        209.336          3.500
   1996    114          0.455        546.837          0.600
   1996    115          0.519        744.306          3.200
   1996    116          2.295        653.537          2.800
   1996    117          2.669        357.267          2.800
   1996    118          1.165        765.572          0.600
   1996    119          2.656        204.542          4.000
   1996    120          1.394        237.124          3.200
   1996    121          0.589        202.993          1.600
   1996    122          0.162        179.832          1.600
   1996    123          0.491        157.618          1.600
   1996    124          0.858        183.528          1.600
   1996    125          0.370        318.988          1.500
   1996    126          0.850        623.140          1.500
   1996    127          1.276        837.344          0.800
   1996    128          2.918        470.088          2.800
   1996    129          3.003        478.483          3.400
   1996    130          1.573        352.566          2.400
   1996    131          2.916        388.334          1.500
   1996    132          2.835        439.263          3.100
   1996    133          2.729        505.566          2.200
   1996    134          2.795        788.089          3.000
   1996    135          1.841        788.089          1.800
   1996    136          2.003        372.153          2.600
   1996    137          1.177        282.053          2.600
   1996    138          1.896        343.526          1.000
   1996    139          2.234        399.926          4.000
   1996    140          2.747        570.107          2.000
   1996    141          2.247        229.017          3.000
   1996    142          2.876        311.570          3.400
   1996    143          2.677        315.236          3.400
   1996    144          2.361        505.566          1.800
