ApsimVersion = 6.0
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)            (?)
     25/10/1940         4330.4        350.000
     31/10/1941         2801.4        350.000
     26/10/1942         2426.2        350.000
     05/11/1943         2787.0        350.000
     30/10/1944         2711.8        350.000
     02/11/1945         2003.3        350.000
     03/11/1946         3488.6        350.000
     05/11/1947         1480.1        350.000
     04/11/1948         1853.1        350.000
     02/11/1949         3510.4        350.000
     30/10/1950         2605.7        350.000
     04/11/1951         2830.6        350.000
     03/11/1952         1609.6        350.000
     04/11/1953         2234.1        350.000
     28/10/1954         2337.8        350.000
     31/10/1955         2207.3        350.000
     12/11/1956         2124.5        350.000
     31/10/1957         2492.5        350.000
     04/11/1958         1749.3        350.000
     03/11/1959         2321.4        350.000
     05/11/1960         2193.6        350.000
     02/11/1961         1987.3        350.000
     01/11/1962         1785.1        350.000
     03/11/1963         2127.1        350.000
     05/11/1964         1605.2        350.000
     29/10/1965         2539.1        350.000
     08/11/1966         1160.4        350.000
     31/10/1967         2335.0        350.000
     06/11/1968         1789.3        350.000
     03/11/1969         1906.9        350.000
     05/11/1970         1349.0        350.000
     04/11/1971         1317.4        350.000
     30/10/1972         2233.5        350.000
     22/10/1973         1598.0        350.000
     06/11/1974         2660.3        350.000
     30/10/1975         1032.2        350.000
     06/11/1976         1304.1        350.000
     01/11/1977         2252.6        350.000
     10/11/1978          987.9        350.000
     30/10/1979         1478.7        350.000
     24/10/1980         1754.2        350.000
     02/11/1981         1117.8        350.000
     03/11/1982         1681.2        350.000
     30/10/1983         1470.0        350.000
     07/11/1984         1564.0        350.000
     05/11/1985          921.6        350.000
     04/11/1986         1607.3        350.000
     01/11/1987         1414.4        350.000
     27/10/1988         1761.3        350.000
     06/11/1989         1604.3        350.000
