APSIM output file, version = 5.4
Title = Rising CO2 levels
           Date          yield            co2
             ()        (kg/ha)            (?)
     15/10/1940         5226.1        350.000
     20/10/1941         3579.6        357.000
     14/10/1942         3653.6        364.000
     25/10/1943         4461.2        371.000
     19/10/1944         4206.3        378.000
     21/10/1945         2889.5        385.000
     22/10/1946         5073.5        392.000
     24/10/1947         2346.7        399.000
     24/10/1948         2726.4        406.000
     23/10/1949         3699.0        413.000
     16/10/1950         3461.2        420.000
     24/10/1951         4066.1        427.000
     23/10/1952         2693.7        434.000
     24/10/1953         3085.4        441.000
     15/10/1954         3257.8        448.000
     20/10/1955         2849.3        455.000
     29/10/1956         2682.0        462.000
     21/10/1957         3516.4        469.000
     23/10/1958         2453.1        476.000
     23/10/1959         3133.0        483.000
     25/10/1960         2718.0        490.000
     22/10/1961         2668.4        497.000
     21/10/1962         1910.1        504.000
     24/10/1963         2984.8        511.000
     23/10/1964         2140.3        518.000
     19/10/1965         3459.6        525.000
     28/10/1966         1351.4        532.000
     19/10/1967         2512.4        539.000
     25/10/1968         1845.5        546.000
     23/10/1969         2849.5        553.000
     24/10/1970         1603.2        560.000
     24/10/1971         1453.5        567.000
     18/10/1972         3091.3        574.000
     10/10/1973         2271.3        581.000
     25/10/1974         3363.4        588.000
     18/10/1975         1349.1        595.000
     26/10/1976         1871.4        602.000
     20/10/1977         2819.0        609.000
     30/10/1978         1360.6        616.000
     19/10/1979         1552.1        623.000
     13/10/1980         2126.0        630.000
     21/10/1981         1300.7        637.000
     23/10/1982         1503.8        644.000
     19/10/1983         1689.7        651.000
     26/10/1984         2001.8        658.000
     23/10/1985         1046.4        665.000
     22/10/1986         2111.8        672.000
     21/10/1987         1745.6        679.000
     15/10/1988         1774.4        686.000
     25/10/1989         1966.6        693.000
