APSIM output file, version = 5.3
Title = Accum Sample Simulation
            day           year        rain[3]
          (day)         (year)             ()
              5           1988         34.000
              6           1988         36.000
              7           1988         36.000
             18           1988         22.000
             19           1988         22.000
             21           1988        100.000
             22           1988        100.000
             23           1988        104.200
             40           1988         50.600
             41           1988         50.600
             42           1988         50.200
             45           1988         76.400
             46           1988        107.400
             47           1988        110.400
             48           1988         34.000
             62           1988         31.000
             63           1988         36.600
             64           1988         32.800
             67           1988         30.700
             68           1988         30.700
             69           1988         30.300
             93           1988         37.700
             94           1988         55.700
             95           1988         77.400
             96           1988         88.600
             97           1988         77.000
             98           1988         90.000
             99           1988         41.600
            100           1988         40.400
