Summary_file = 
Title = Sample Butterfly pea Simulation
           Date       das            lai        biomass         leaf_n   n_fixed_tops         root_n sw_stress_photo           rain           radn sw_stress_pheno sw_stress_fixation sw_stress_expan     stage_name
             ()       (d)      (m^2/m^2)        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)              ()           (mm)        (MJ/m2)              ()                 ()              ()             ()
     01/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         30.000           0.000              0.000           0.000            out
     02/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         28.000           0.000              0.000           0.000            out
     03/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         29.000           0.000              0.000           0.000            out
     04/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         22.000           0.000              0.000           0.000            out
     05/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.200         23.000           0.000              0.000           0.000            out
     06/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         30.000           0.000              0.000           0.000            out
     07/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         29.000           0.000              0.000           0.000            out
     08/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         23.000           0.000              0.000           0.000            out
     09/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         25.000           0.000              0.000           0.000            out
     10/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         21.000           0.000              0.000           0.000            out
     11/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         23.000           0.000              0.000           0.000            out
     12/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         23.000           0.000              0.000           0.000            out
     13/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         25.000           0.000              0.000           0.000            out
     14/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         21.000           0.000              0.000           0.000            out
