Summary_file = gmtb0e.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     18/09/1976       1499.999          0.009          0.042                0.042
     14/10/1976       1499.998          0.008          0.036                0.036
     01/11/1976       1444.419        555.789          0.029                0.029
     22/11/1976       1444.286          1.333          0.022                0.022
     17/01/1977       1418.078        262.080          0.019                0.019
     11/03/1977       1385.855        322.233          0.028                0.028
     12/03/1977       1385.179          6.757          0.028                0.028
     23/04/1977       1385.044          1.347          0.043                0.043
     11/05/1977       1381.725         33.198          0.050                0.050
     16/05/1977       1336.759        449.654          0.052                0.052
     04/11/1977       1335.797          9.628          0.025                0.025
     08/11/1977       1332.921         28.754          0.023                0.023
     21/11/1977       1326.838         60.833          0.020                0.020
     07/01/1978       1284.864        419.739          0.024                0.024
     21/01/1978       1284.193          6.708          0.025                0.025
     31/01/1978       1283.018         11.755          0.028                0.028
     01/02/1978       1282.734          2.836          0.028                0.028
     18/03/1978       1282.546          1.879          0.039                0.039
     29/03/1978       1281.624          9.221          0.042                0.042
     01/04/1978       1280.399         12.253          0.043                0.043
     02/04/1978       1278.174         22.244          0.043                0.043
     03/04/1978       1276.021         21.537          0.043                0.043
     03/07/1978       1263.874        121.465          0.026                0.026
     10/07/1978       1263.542          3.323          0.026                0.026
     09/08/1978       1263.494          0.483          0.026                0.026
     01/09/1978       1260.281         32.128          0.026                0.026
     06/09/1978       1260.276          0.052          0.025                0.025
     07/09/1978       1255.643         46.332          0.025                0.025
     06/11/1978       1251.827         38.155          0.024                0.024
     11/11/1978       1240.912        109.152          0.023                0.023
     18/12/1978       1240.595          3.164          0.023                0.023
     23/12/1978       1227.232        133.635          0.023                0.023
     27/12/1978       1220.323         76.001          0.023                0.023
     30/12/1978       1176.843        478.279          0.023                0.023
     19/01/1979       1170.580         68.894          0.026                0.026
     06/02/1979       1166.792         41.665          0.029                0.029
     10/02/1979       1163.397         37.344          0.030                0.030
     04/03/1979       1131.215        354.007          0.035                0.035
     05/03/1979       1129.817         15.379          0.035                0.035
     16/03/1979       1079.442        554.119          0.039                0.039
     05/05/1979       1079.287          1.709          0.053                0.053
     21/06/1979       1050.237        319.550          0.030                0.030
     30/07/1979       1049.876          3.969          0.032                0.032
     29/10/1979       1048.450         15.687          0.030                0.030
     09/11/1979       1048.333          1.289          0.028                0.028
     13/11/1979       1048.143          2.082          0.027                0.027
     17/12/1979       1048.050          1.026          0.028                0.028
     22/12/1979       1040.912         78.523          0.028                0.028
     26/01/1980       1040.492          4.615          0.032                0.032
     27/01/1980       1010.311        331.998          0.031                0.031
     05/02/1980       1010.190          1.323          0.033                0.033
     06/02/1980        867.338       1571.372          0.033                0.033
     29/05/1980        866.908          4.732          0.062                0.062
     31/07/1980        865.695         13.347          0.041                0.041
     25/10/1980        863.798         20.862          0.036                0.036
     26/10/1980        843.777        220.235          0.035                0.035
     04/12/1980        843.568          2.295          0.033                0.033
     06/12/1980        838.352         57.372          0.032                0.032
     15/12/1980        837.355         10.972          0.032                0.032
     16/12/1980        836.776          6.367          0.031                0.031
     29/12/1980        820.512        178.904          0.033                0.033
     03/01/1981        814.571         65.350          0.033                0.033
     04/02/1981        813.742          9.122          0.039                0.039
     06/02/1981        729.598        925.588          0.039                0.039
