Summary_file = gmtb0a.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1500.000         11.395          0.029                0.029
     22/11/1976       1500.000          0.027          0.022                0.022
     17/01/1977       1500.000          5.374          0.019                0.019
     11/03/1977       1500.000          6.607          0.028                0.028
     12/03/1977       1500.000          0.139          0.028                0.028
     23/04/1977       1500.000          0.025          0.043                0.043
     11/05/1977       1500.000          0.664          0.050                0.050
     16/05/1977       1500.000          9.218          0.052                0.052
     04/11/1977       1500.000          0.186          0.025                0.025
     08/11/1977       1500.000          0.580          0.022                0.022
     21/11/1977       1500.000          1.230          0.020                0.020
     07/01/1978       1500.000          8.550          0.024                0.024
     21/01/1978       1500.000          0.136          0.025                0.025
     31/01/1978       1500.000          0.238          0.027                0.027
     01/02/1978       1500.000          0.058          0.028                0.028
     18/03/1978       1500.000          0.037          0.039                0.039
     29/03/1978       1500.000          0.188          0.041                0.041
     01/04/1978       1500.000          0.251          0.042                0.042
     02/04/1978       1500.000          0.457          0.043                0.043
     03/04/1978       1500.000          0.443          0.043                0.043
     03/07/1978       1500.000          2.464          0.026                0.026
     10/07/1978       1500.000          0.067          0.026                0.026
     09/08/1978       1500.000          0.008          0.026                0.026
     01/09/1978       1500.000          0.643          0.026                0.026
     06/09/1978       1500.000          0.001          0.025                0.025
     07/09/1978       1500.000          0.950          0.025                0.025
     06/11/1978       1500.000          0.765          0.023                0.023
     11/11/1978       1500.000          2.234          0.023                0.023
     18/12/1978       1500.000          0.061          0.023                0.023
     23/12/1978       1500.000          2.712          0.023                0.023
     27/12/1978       1500.000          1.559          0.023                0.023
     30/12/1978       1500.000          9.815          0.023                0.023
     19/01/1979       1500.000          1.407          0.025                0.025
     06/02/1979       1500.000          0.847          0.028                0.028
     10/02/1979       1500.000          0.766          0.030                0.030
     04/03/1979       1500.000          7.245          0.034                0.034
     05/03/1979       1500.000          0.316          0.035                0.035
     16/03/1979       1500.000         11.370          0.038                0.038
     05/05/1979       1500.000          0.033          0.053                0.053
     21/06/1979       1500.000          6.432          0.030                0.030
     30/07/1979       1500.000          0.075          0.032                0.032
     29/10/1979       1500.000          0.300          0.030                0.030
     09/11/1979       1500.000          0.019          0.028                0.028
     13/11/1979       1500.000          0.042          0.027                0.027
     17/12/1979       1500.000          0.018          0.027                0.027
     22/12/1979       1500.000          1.598          0.027                0.027
     26/01/1980       1500.000          0.089          0.031                0.031
     27/01/1980       1500.000          6.769          0.031                0.031
     05/02/1980       1500.000          0.027          0.033                0.033
     06/02/1980       1500.000         32.249          0.033                0.033
     29/05/1980       1500.000          0.088          0.061                0.061
     31/07/1980       1500.000          0.244          0.040                0.040
     25/10/1980       1500.000          0.382          0.035                0.035
     26/10/1980       1500.000          4.464          0.035                0.035
     04/12/1980       1500.000          0.043          0.032                0.032
     06/12/1980       1500.000          1.156          0.031                0.031
     15/12/1980       1500.000          0.224          0.031                0.031
     16/12/1980       1500.000          0.131          0.031                0.031
     29/12/1980       1500.000          3.668          0.032                0.032
     03/01/1981       1500.000          1.344          0.032                0.032
     04/02/1981       1500.000          0.184          0.039                0.039
     06/02/1981       1500.000         18.995          0.038                0.038
     07/02/1981       1500.000          4.056          0.038                0.038
     08/02/1981       1500.000         31.202          0.038                0.038
     10/02/1981       1500.000          0.067          0.038                0.038
     14/03/1981       1500.000          0.064          0.048                0.048
     23/03/1981       1500.000          0.023          0.051                0.051
     02/04/1981       1500.000          6.583          0.058                0.058
     06/04/1981       1500.000          1.123          0.060                0.060
     08/04/1981       1500.000          0.324          0.062                0.062
     02/06/1981       1500.000          0.046          0.056                0.056
     22/07/1981       1500.000          0.267          0.041                0.041
     21/09/1981       1500.000          2.677          0.044                0.044
     01/11/1981       1500.000          2.491          0.040                0.040
     02/11/1981       1500.000          3.137          0.039                0.039
     03/11/1981       1500.000          1.565          0.038                0.038
     04/11/1981       1500.000          0.086          0.038                0.038
     03/12/1981       1500.000          3.476          0.033                0.033
     04/12/1981       1500.000         17.880          0.033                0.033
     20/12/1981       1500.000          0.039          0.033                0.033
     21/12/1981       1500.000          0.409          0.033                0.033
     24/12/1981       1500.000          1.810          0.032                0.032
     19/01/1982       1500.000          4.210          0.037                0.037
     21/01/1982       1500.000          0.200          0.036                0.036
     25/02/1982       1500.000          1.798          0.045                0.045
     01/03/1982       1500.000          1.734          0.045                0.045
     02/03/1982       1500.000          0.068          0.045                0.045
     05/03/1982       1500.000          0.025          0.045                0.045
     08/03/1982       1500.000          0.342          0.046                0.046
     11/03/1982       1500.000          3.217          0.047                0.047
     28/04/1982       1500.000          0.511          0.074                0.074
     09/09/1982       1500.000          0.872          0.045                0.045
     11/10/1982       1500.000          6.474          0.041                0.041
     01/11/1982       1500.000          1.461          0.039                0.039
     03/12/1982       1500.000          1.810          0.041                0.041
     20/12/1982       1500.000          2.091          0.038                0.038
     30/12/1982       1500.000          0.010          0.037                0.037
     04/01/1983       1500.000          0.174          0.036                0.036
     05/01/1983       1500.000          0.201          0.036                0.036
     20/03/1983       1500.000          0.123          0.046                0.046
     21/03/1983       1500.000          0.967          0.045                0.045
     26/04/1983       1500.000          0.325          0.052                0.052
     28/04/1983       1500.000          1.240          0.052                0.052
     01/05/1983       1500.000         11.762          0.052                0.052
     02/05/1983       1500.000         14.112          0.052                0.052
     03/05/1983       1500.000         12.315          0.053                0.053
     28/05/1983       1500.000          8.541          0.057                0.057
     21/06/1983       1500.000          0.136          0.034                0.034
     22/06/1983       1500.000         25.475          0.034                0.034
     23/06/1983       1500.000          1.409          0.034                0.034
     29/07/1983       1500.000          1.499          0.035                0.035
     27/08/1983       1500.000          0.130          0.036                0.036
     15/09/1983       1500.000          0.002          0.034                0.034
     06/10/1983       1500.000          1.174          0.033                0.033
     11/10/1983       1500.000          0.015          0.032                0.032
     20/10/1983       1500.000          0.760          0.029                0.029
     04/11/1983       1500.000          0.064          0.029                0.029
     16/11/1983       1500.000          0.401          0.029                0.029
     15/12/1983       1500.000          0.437          0.030                0.030
     05/01/1984       1500.000          0.109          0.034                0.034
     11/01/1984       1500.000          0.289          0.036                0.036
     14/02/1984       1500.000          0.665          0.050                0.050
     16/02/1984       1500.000          2.401          0.051                0.051
     10/03/1984       1500.000          0.620          0.067                0.067
     07/04/1984       1500.000          0.900          0.085                0.085
     08/04/1984       1500.000          5.393          0.085                0.085
     09/04/1984       1500.000          5.508          0.086                0.086
     24/04/1984       1500.000          0.003          0.107                0.107
     15/07/1984       1500.000          0.036          0.056                0.056
     16/07/1984       1500.000          0.143          0.056                0.056
     25/07/1984       1500.000          0.009          0.053                0.053
     26/07/1984       1500.000          0.019          0.053                0.053
     27/07/1984       1500.000          8.082          0.052                0.052
     11/08/1984       1500.000          0.141          0.052                0.052
     05/11/1984       1500.000          4.342          0.047                0.047
     12/11/1984       1500.000          0.951          0.042                0.042
     19/12/1984       1500.000          1.892          0.043                0.043
     09/01/1985       1500.000          0.588          0.044                0.044
     25/01/1985       1500.000          0.081          0.045                0.045
     23/04/1985       1500.000          0.041          0.065                0.065
     17/05/1985       1500.000          0.269          0.072                0.072
     04/06/1985       1500.000          3.758          0.074                0.074
     09/07/1985       1500.000          0.201          0.048                0.048
     31/08/1985       1500.000          0.491          0.048                0.048
     14/10/1985       1500.000          0.043          0.045                0.045
     23/10/1985       1500.000          0.203          0.041                0.041
     08/11/1985       1500.000          1.392          0.039                0.039
     10/12/1985       1500.000          0.760          0.035                0.035
     11/12/1985       1500.000          0.004          0.035                0.035
     23/12/1985       1500.000          0.080          0.036                0.036
     10/01/1986       1500.000          0.272          0.037                0.037
     25/01/1986       1500.000          8.514          0.039                0.039
     08/02/1986       1500.000          0.405          0.042                0.042
     12/02/1986       1500.000          0.033          0.042                0.042
     14/02/1986       1500.000          0.108          0.042                0.042
     25/02/1986       1500.000          5.117          0.044                0.044
     02/05/1986       1500.000          0.366          0.056                0.056
     06/05/1986       1500.000          0.031          0.055                0.055
     05/07/1986       1500.000          0.054          0.044                0.044
     28/07/1986       1500.000          0.230          0.044                0.044
     23/10/1986       1500.000          4.860          0.039                0.039
     13/11/1986       1500.000          6.027          0.033                0.033
     01/12/1986       1500.000          0.284          0.032                0.032
     12/12/1986       1500.000          0.001          0.033                0.033
     26/12/1986       1500.000          0.244          0.033                0.033
     20/01/1987       1500.000          1.131          0.035                0.035
     28/01/1987       1500.000          0.511          0.036                0.036
     29/01/1987       1500.000          0.144          0.036                0.036
     16/05/1987       1500.000          1.099          0.067                0.067
     28/07/1987       1500.000          0.011          0.043                0.043
     03/08/1987       1500.000          0.266          0.042                0.042
     16/10/1987       1500.000          0.756          0.042                0.042
     17/10/1987       1500.000         15.243          0.041                0.041
     25/10/1987       1500.000          0.013          0.039                0.039
     26/10/1987       1500.000          0.971          0.038                0.038
     01/12/1987       1500.000          9.449          0.039                0.039
     02/12/1987       1500.000          3.239          0.038                0.038
     11/12/1987       1500.000          0.184          0.037                0.037
     06/01/1988       1500.000          0.044          0.037                0.037
     20/01/1988       1500.000          7.940          0.035                0.035
     13/02/1988       1500.000          9.177          0.037                0.037
     01/03/1988       1500.000          0.324          0.041                0.041
     01/04/1988       1500.000         45.745          0.050                0.050
     04/04/1988       1500.000         29.441          0.051                0.051
     06/04/1988       1500.000          4.861          0.050                0.050
     11/04/1988       1500.000          0.300          0.050                0.050
     12/04/1988       1500.000         13.440          0.050                0.050
     05/06/1988       1500.000          0.002          0.062                0.062
     06/06/1988       1500.000          0.976          0.062                0.062
     05/07/1988       1500.000          0.002          0.040                0.040
     06/07/1988       1500.000          0.639          0.040                0.040
     22/07/1988       1500.000          0.047          0.038                0.038
     23/08/1988       1500.000          1.739          0.038                0.038
     28/09/1988       1500.000          0.447          0.034                0.034
     12/12/1988       1500.000          0.096          0.033                0.033
     06/01/1989       1500.000          0.073          0.032                0.032
     07/01/1989       1500.000          4.896          0.032                0.032
     08/01/1989       1500.000          0.018          0.032                0.032
     09/01/1989       1500.000          0.015          0.031                0.031
