Summary_file = gmtb0c.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1500.000         13.164          0.029                0.029
     22/11/1976       1500.000          0.035          0.022                0.022
     17/01/1977       1500.000          7.137          0.019                0.019
     11/03/1977       1500.000          7.756          0.028                0.028
     12/03/1977       1500.000          0.163          0.028                0.028
     23/04/1977       1500.000          0.024          0.043                0.043
     11/05/1977       1500.000          0.586          0.050                0.050
     16/05/1977       1500.000          7.934          0.052                0.052
     04/11/1977       1500.000          0.228          0.025                0.025
     08/11/1977       1500.000          0.733          0.022                0.022
     21/11/1977       1500.000          1.598          0.020                0.020
     07/01/1978       1500.000         10.627          0.024                0.024
     21/01/1978       1500.000          0.166          0.025                0.025
     31/01/1978       1500.000          0.282          0.027                0.027
     01/02/1978       1500.000          0.068          0.028                0.028
     18/03/1978       1500.000          0.037          0.039                0.039
     29/03/1978       1500.000          0.185          0.041                0.041
     01/04/1978       1500.000          0.244          0.042                0.042
     02/04/1978       1500.000          0.444          0.043                0.043
     03/04/1978       1500.000          0.429          0.043                0.043
     03/07/1978       1500.000          2.973          0.026                0.026
     10/07/1978       1500.000          0.081          0.026                0.026
     09/08/1978       1500.000          0.010          0.026                0.026
     01/09/1978       1500.000          0.777          0.026                0.026
     06/09/1978       1500.000          0.001          0.025                0.025
     07/09/1978       1500.000          1.167          0.025                0.025
     06/11/1978       1500.000          0.955          0.023                0.023
     11/11/1978       1500.000          2.802          0.023                0.023
     18/12/1978       1500.000          0.077          0.023                0.023
     23/12/1978       1500.000          3.413          0.023                0.023
     27/12/1978       1500.000          1.960          0.023                0.023
     30/12/1978       1500.000         12.379          0.023                0.023
     19/01/1979       1500.000          1.711          0.025                0.025
     06/02/1979       1500.000          0.991          0.028                0.028
     10/02/1979       1500.000          0.880          0.030                0.030
     04/03/1979       1500.000          7.815          0.034                0.034
     05/03/1979       1500.000          0.340          0.035                0.035
     16/03/1979       1500.000         11.646          0.038                0.038
     05/05/1979       1500.000          0.028          0.053                0.053
     21/06/1979       1500.000          7.346          0.030                0.030
     30/07/1979       1500.000          0.084          0.032                0.032
     29/10/1979       1500.000          0.345          0.030                0.030
     09/11/1979       1500.000          0.023          0.028                0.028
     13/11/1979       1500.000          0.050          0.027                0.027
     17/12/1979       1500.000          0.022          0.027                0.027
     22/12/1979       1500.000          1.893          0.027                0.027
     26/01/1980       1500.000          0.100          0.031                0.031
     27/01/1980       1500.000          7.629          0.031                0.031
     05/02/1980       1500.000          0.030          0.033                0.033
     06/02/1980       1500.000         35.632          0.033                0.033
