ApsimVersion = 6.0
Title = Patagonia2020High
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            182            121             61         23.086          8.238
           1962            180            121             59         23.835          8.553
           1963            177            121             56         22.657         11.229
           1964            180            122             58         22.574         10.478
           1965            177            121             56         24.518          9.454
           1966            179            121             58         22.838          9.919
           1967            175            121             54         22.458         13.121
           1968            184            122             62         22.078          8.780
           1969            178            121             57         22.721         10.768
           1970            182            121             61         23.968          7.666
           1971            182            121             61         23.508          7.879
           1972            181            122             59         22.952          9.550
           1973            174            121             53         25.759         10.206
           1974            178            121             57         22.774         10.508
           1975            180            121             59         24.035          8.352
           1976            177            122             55         24.039         10.853
           1977            178            121             57         23.234         10.271
           1978            180            121             59         22.063         10.336
           1979            178            121             57         23.863          9.543
           1980            175            122             53         24.278         11.432
           1981            180            121             59         22.618          9.889
           1982            182            121             61         23.586          7.814
           1983            175            121             54         22.614         12.610
           1984            179            122             57         23.630         10.080
           1985            179            121             58         23.047          9.902
           1986            172            121             51         24.652         12.406
           1987            172            121             51         23.960         12.969
           1988            176            122             54         23.773         11.451
           1989            173            121             52         23.080         13.305
           1990            176            121             55         23.290         11.171
