ApsimVersion = 5.4
Title = Annie2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            278            213             65         23.534          9.114
           1962            279            213             66         23.741          8.609
           1963            276            213             63         24.044          9.490
           1964            278            214             64         23.797          9.018
           1965            276            213             63         23.912          9.517
           1966            277            213             64         22.808         10.154
           1967            278            213             65         23.928          8.828
           1968            282            214             68         23.417          7.967
           1969            281            213             68         23.039          7.957
           1970            279            213             66         24.367          7.581
           1971            277            213             64         23.989          8.651
           1972            277            214             63         24.839          8.641
           1973            274            213             61         23.871         10.793
           1974            281            213             68         22.506          8.560
           1975            277            213             64         23.256          9.401
           1976            281            214             67         23.769          7.851
           1977            276            213             63         25.357          7.857
           1978            281            213             68         22.140          8.922
           1979            279            213             66         23.940          8.271
           1980            273            214             59         26.670          8.730
           1981            276            213             63         24.906          8.590
           1982            278            213             65         24.431          8.172
           1983            275            213             62         23.856         10.352
           1984            282            214             68         23.000          8.141
           1985            280            213             67         23.476          8.141
           1986            276            213             63         23.958          9.536
           1987            275            213             62         24.422          9.578
           1988            275            214             61         23.557         10.598
           1989            279            213             66         24.127          7.575
           1990            279            213             66         23.164          8.540
