ApsimVersion = 5.4
Title = Annie2020High
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            145             91             54         26.087         12.476
           1962            147             91             56         25.172         11.885
           1963            141             91             50         25.926         15.520
           1964            143             92             51         26.290         14.842
           1965            142             91             51         27.625         13.169
           1966            142             91             51         26.582         14.091
           1967            142             91             51         25.570         15.391
           1968            142             92             50         27.788         13.740
           1969            142             91             51         27.388         13.689
           1970            146             91             55         26.143         12.043
           1971            146             91             55         26.277         11.765
           1972            147             92             55         25.625         12.494
           1973            139             91             48         29.328         13.505
           1974            141             91             50         26.724         14.836
           1975            145             91             54         27.051         11.743
           1976            144             92             52         26.314         13.615
           1977            140             91             49         27.264         14.867
           1978            144             91             53         26.098         13.556
           1979            143             91             52         26.757         13.105
           1980            140             92             48         28.620         14.732
           1981            143             91             52         26.787         13.559
           1982            145             91             54         26.853         11.974
           1983            142             91             51         25.674         15.383
           1984            146             92             54         25.892         12.937
           1985            142             91             51         26.666         14.208
           1986            138             91             47         28.602         15.777
           1987            139             91             48         27.066         15.874
           1988            141             92             49         26.168         16.040
           1989            139             91             48         26.243         17.151
           1990            141             91             50         26.116         15.566
