ApsimVersion = 6.1
Title = Annie2020High
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            285            227             58         25.128         10.689
           1962            285            227             58         25.852         10.146
           1963            284            227             57         25.531         10.938
           1964            286            228             58         25.162         11.267
           1965            284            227             57         25.464         11.269
           1966            287            227             60         24.303         10.744
           1967            283            227             56         26.204         10.973
           1968            288            228             60         25.328          9.369
           1969            289            227             62         24.103          9.578
           1970            287            227             60         26.010          9.228
           1971            284            227             57         26.245         10.378
           1972            285            228             57         27.014          9.771
           1973            282            227             55         25.163         12.565
           1974            289            227             62         23.795         10.170
           1975            286            227             59         24.858         10.368
           1976            289            228             61         25.292          9.446
           1977            283            227             56         27.433         10.034
           1978            290            227             63         23.819          9.954
           1979            285            227             58         26.083         10.167
           1980            281            228             53         28.917         10.603
           1981            284            227             57         26.554         10.002
           1982            286            227             59         25.767          9.690
           1983            282            227             55         25.905         11.917
           1984            290            228             62         25.027          9.336
           1985            287            227             60         25.230         10.099
           1986            283            227             56         26.072         11.489
           1987            283            227             56         26.438         10.775
           1988            282            228             54         26.145         12.619
           1989            285            227             58         26.571          9.543
           1990            286            227             59         25.184         10.424
