APSIM output file, version = 5.3
Title = watersupply Sample Simulation
            day           year           rain          sw(1)     irrigation       dam_evap      bore_evap      sump_evap       dam_seep      bore_seep      sump_seep      dam_water     bore_water     sump_water         dam_br         dam_cl        sump_cl   dam_overflow  sump_overflow     soil_br(1)     soil_br(2)     soil_br(3)     soil_br(4)     soil_br(5)     soil_br(6)     soil_br(7)      dam_depth     sump_depth     bore_depth           full  filling_event
          (day)         (year)           (mm)        (mm/mm)           (mm)           (ML)           (ML)           (ML)           (ML)           (ML)           (ML)           (ML)           (ML)           (ML)          (ppm)          (ppm)          (ppm)           (ML)           (ML)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (m)            (m)            (m)             ()             ()
              1           1988          0.200          0.286          0.000          0.095          0.000          0.026          0.000          0.000          0.000        143.945       2000.000         17.986        100.038          0.000         50.039          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.017          2.715          0.000              1              1
              2           1988          0.000          0.295          0.000          0.112          0.000          0.031          0.000          0.000          0.000        143.833       2000.000         17.955        100.116          0.000         50.126          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.015          2.713          0.000              1              0
              3           1988          0.000          0.307          0.000          0.111          0.000          0.031          0.000          0.000          0.000        143.723       2000.000         17.924        100.193          0.000         50.212          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.011          2.709          0.000              1              0
              4           1988         34.000          0.434          0.000          0.087          0.000          0.024          0.000          0.000          0.000        150.000       2000.000         20.000         95.724          0.000         44.093          0.436          0.366          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.007          2.704          0.000              1              0
              5           1988          2.000          0.420          0.000          0.075          0.000          0.021          0.000          0.000          0.000        150.000       2000.000         20.000         95.518          0.000         43.876          0.325          0.099          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.245          2.988          0.000              1              0
              6           1988          0.000          0.415          0.000          0.100          0.000          0.028          0.000          0.000          0.000        149.900       2000.000         19.972         95.581          0.000         43.937          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.245          2.988          0.000              1              0
              7           1988          0.000          0.411          0.000          0.098          0.000          0.027          0.000          0.000          0.000        149.802       2000.000         19.945         95.644          0.000         43.997          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.241          2.984          0.000              1              0
              8           1988          0.000          0.408          0.000          0.113          0.000          0.031          0.000          0.000          0.000        149.689       2000.000         19.913         95.716          0.000         44.067          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.237          2.980          0.000              1              0
              9           1988          0.000          0.406          0.000          0.121          0.000          0.034          0.000          0.000          0.000        149.568       2000.000         19.880         95.793          0.000         44.142          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.233          2.976          0.000              1              0
             10           1988          0.000          0.421         10.000          0.120          0.000          0.034          0.000          0.000          0.000        139.448       2000.000         19.846         95.876          0.000         44.217          0.000          0.000          9.307          0.269          0.003          0.000          0.000          0.000          0.000          5.849          2.971          0.000              0              0
             11           1988          0.000          0.414          0.000          0.105          0.000          0.029          0.000          0.000          0.000        139.343       2000.000         19.817         95.948          0.000         44.282          0.000          0.000          9.308          0.267          0.004          0.000          0.000          0.000          0.000          5.844          2.967          0.000              0              0
             12           1988          0.000          0.410          0.000          0.098          0.000          0.027          0.000          0.000          0.000        139.245       2000.000         19.789         96.015          0.000         44.343          0.000          0.000          9.309          0.266          0.004          0.000          0.000          0.000          0.000          5.840          2.963          0.000              0              0
             13           1988          0.000          0.407          0.000          0.108          0.000          0.030          0.000          0.000          0.000        139.137       2000.000         19.759         96.090          0.000         44.411          0.000          0.000          9.311          0.264          0.004          0.000          0.000          0.000          0.000          5.836          2.959          0.000              0              0
             14           1988          0.000          0.405          0.000          0.112          0.000          0.032          0.000          0.000          0.000        139.025       2000.000         19.728         96.167          0.000         44.482          0.000          0.000          9.312          0.263          0.004          0.000          0.000          0.000          0.000          5.832          2.955          0.000              0              0
             15           1988          0.000          0.403          0.000          0.107          0.000          0.028          0.000          0.000          0.000        149.893       2000.000          8.725         89.675          3.035         44.624          0.000          0.000          9.313          0.262          0.004          0.000          0.000          0.000          0.000          6.245          1.410          0.000              1              1
             16           1988         13.000          0.436          0.000          0.065          0.000          0.017          0.000          0.000          0.000        150.000       2000.000          9.535         88.184          2.984         40.819          2.428          0.000          8.781          0.779          0.019          0.000          0.000          0.000          0.000          6.241          1.405          0.000              1              0
             17           1988          9.000          0.442          0.000          0.109          0.000          0.028          0.000          0.000          0.000        150.000       2000.000         10.071         87.202          2.951         38.648          1.691          0.000          8.472          1.064          0.042          0.000          0.000          0.000          0.000          6.245          1.524          0.000              1              0
             18           1988          0.000          0.432          0.000          0.132          0.000          0.035          0.000          0.000          0.000        149.868       2000.000         10.037         87.279          2.954         38.781          0.000          0.000          8.459          1.064          0.057          0.000          0.000          0.000          0.000          6.245          1.601          0.000              1              0
             19           1988          1.000          0.426          0.000          0.099          0.000          0.026          0.000          0.000          0.000        149.969       2000.000         10.071         87.220          2.952         38.650          0.000          0.000          8.459          1.054          0.065          0.001          0.000          0.000          0.000          6.240          1.596          0.000              1              0
             20           1988         99.000          0.458          0.000          0.094          0.000          0.025          0.000          0.000          0.000        150.000       2000.000         20.000         77.096          2.609         12.315         19.676          5.845          6.402          2.665          0.502          0.009          0.000          0.000          0.000          6.244          1.601          0.000              1              0
             21           1988          0.000          0.450          0.000          0.122          0.000          0.034          0.000          0.000          0.000        149.878       2000.000         19.966         77.158          2.611         12.336          0.000          0.000          6.412          2.611          0.540          0.016          0.000          0.000          0.000          6.245          2.988          0.000              1              0
