Summary_file = wheatgrass.sum
Title = Wheat Winter-grass Simulation
    day   year       weed_lai   weed_biomass weed_grn_bioma            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)
    202   1988          0.000          0.000          0.000          0.526        525.131        525.131
    203   1988          0.000          0.000          0.000          0.636        581.780        581.780
    204   1988          0.000          0.000          0.000          0.719        624.172        624.172
    205   1988          0.000          0.000          0.000          0.817        685.394        685.394
    206   1988          0.000          0.000          0.000          0.907        746.729        746.729
    207   1988          0.000          0.000          0.000          1.018        815.124        815.124
    208   1988          0.000          0.000          0.000          1.165        890.383        890.383
    209   1988          0.000          0.000          0.000          1.268        963.702        963.532
    210   1988          0.000          0.000          0.000          1.375       1049.025       1048.699
    211   1988          0.000          0.000          0.000          1.492       1125.927       1125.453
    212   1988          0.000          0.000          0.000          1.635       1211.698       1211.064
    213   1988          0.000          0.000          0.000          1.774       1314.529       1313.777
    214   1988          0.000          0.000          0.000          1.926       1419.407       1418.555
    215   1988          0.000          0.000          0.000          2.110       1520.550       1519.599
    216   1988          0.000          0.000          0.000          2.326       1641.860       1640.819
    217   1988          0.000          0.000          0.000          2.536       1766.015       1764.018
    218   1988          0.000          0.000          0.000          2.742       1888.782       1885.964
    219   1988          0.000          0.000          0.000          2.914       1995.050       1991.613
    220   1988          0.000          0.000          0.000          3.003       2095.761       2092.018
    221   1988          0.000          0.000          0.000          3.078       2184.356       2180.352
    222   1988          0.000          0.000          0.000          3.141       2266.884       2262.656
    223   1988          0.000          0.000          0.000          3.210       2352.784       2348.312
    224   1988          0.000          0.000          0.000          3.286       2448.092       2438.724
    225   1988          0.000          0.000          0.000          3.356       2534.421       2520.734
    226   1988          0.000          0.000          0.000          3.416       2613.328       2595.992
    227   1988          0.000          0.000          0.000          3.472       2688.063       2667.400
    228   1988          0.000          0.000          0.000          3.526       2758.787       2735.074
    229   1988          0.000          0.000          0.000          3.581       2832.183       2805.461
    230   1988          0.000          0.000          0.000          3.633       2906.175       2876.825
    231   1988          0.000          0.000          0.000          3.637       2988.808       2927.299
    232   1988          0.000          0.000          0.000          3.657       3077.971       2991.208
    233   1988          0.000          0.000          0.000          3.686       3179.517       3073.035
    234   1988          0.000          0.000          0.000          3.727       3281.181       3156.817
    235   1988          0.000          0.000          0.000          3.774       3345.990       3206.763
    236   1988          0.000          0.000          0.000          3.716       3428.294       3221.067
    237   1988          0.000          0.000          0.000          3.701       3526.871       3283.463
    238   1988          0.000          0.000          0.000          3.695       3656.407       3380.849
    239   1988          0.000          0.000          0.000          3.693       3781.706       3471.589
    240   1988          0.000          0.000          0.000          3.690       3871.374       3528.951
    241   1988          0.000          0.000          0.000          3.693       3980.620       3612.783
    242   1988          0.000          0.000          0.000          3.696       4138.539       3754.618
    243   1988          0.000          0.000          0.000          3.570       4299.527       3837.654
    244   1988          0.000          0.000          0.000          3.445       4392.900       3855.371
    245   1988          0.000          0.000          0.000          3.323       4485.556       3878.021
    246   1988          0.000          0.000          0.000          3.208       4631.339       3959.625
    247   1988          0.000          0.000          0.000          3.180       4805.688       4119.903
    248   1988          0.000          0.000          0.000          3.152       4951.943       4252.506
    249   1988          0.000          0.000          0.000          3.128       5048.614       4337.293
    250   1988          0.000          0.000          0.000          3.104       5173.635       4450.597
    251   1988          0.000          0.000          0.000          3.082       5283.357       4549.213
    252   1988          0.000          0.000          0.000          3.060       5464.575       4719.920
    253   1988          0.000          0.000          0.000          3.040       5628.793       4874.163
    254   1988          0.000          0.000          0.000          3.018       5788.224       5022.514
    255   1988          0.000          0.000          0.000          2.992       5945.049       5166.890
    256   1988          0.000          0.000          0.000          2.970       6060.282       5271.044
    257   1988          0.000          0.000          0.000          2.949       6238.688       5439.327
    258   1988          0.000          0.000          0.000          2.936       6305.500       5499.791
    259   1988          0.000          0.000          0.000          2.917       6462.852       5647.343
    260   1988          0.000          0.000          0.000          2.897       6627.138       5801.857
    261   1988          0.000          0.000          0.000          2.876       6838.571       6002.958
    262   1988          0.000          0.000          0.000          2.855       7051.473       6205.683
    263   1988          0.000          0.000          0.000          2.824       7249.824       6388.888
    264   1988          0.000          0.000          0.000          2.798       7438.407       6564.277
    265   1988          0.000          0.000          0.000          2.767       7640.686       6751.674
    266   1988          0.000          0.000          0.000          2.734       7841.167       6935.532
    267   1988          0.000          0.000          0.000          2.695       8032.844       7107.949
    268   1988          0.000          0.000          0.000          2.652       8219.146       7273.430
    269   1988          0.000          0.000          0.000          2.609       8399.592       7432.319
    270   1988          0.000          0.000          0.000          2.606       8571.739       7603.360
    271   1988          0.000          0.000          0.000          2.594       8710.560       7735.961
    272   1988          0.000          0.000          0.000          2.570       8880.575       7894.178
    273   1988          0.000          0.000          0.000          2.538       8997.453       7995.507
    274   1988          0.000          0.000          0.000          2.457       9080.466       8038.464
    275   1988          0.000          0.000          0.000          2.383       9176.619       8098.094
    276   1988          0.000          0.000          0.000          2.308       9274.537       8158.968
    277   1988          0.000          0.000          0.000          2.229       9362.042       8207.755
    278   1988          0.000          0.000          0.000          2.140       9435.987       8237.930
    279   1988          0.000          0.000          0.000          1.958       9503.091       8215.319
    280   1988          0.000          0.000          0.000          1.781       9567.545       8192.293
    281   1988          0.000          0.000          0.000          1.650       9627.800       8188.022
    282   1988          0.000          0.000          0.000          1.498       9678.282       8163.438
    283   1988          0.000          0.000          0.000          1.328       9727.383       8128.803
    284   1988          0.000          0.000          0.000          1.140       9775.022       8083.688
    285   1988          0.000          0.000          0.000          0.962       9820.800       8041.745
    286   1988          0.000          0.000          0.000          0.777       9863.806       7993.529
    287   1988          0.000          0.000          0.000          0.486       9903.108       7889.542
    288   1988          0.000          0.000          0.000          0.174       9932.581       7765.092
    289   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    290   1988          0.000          0.000          0.000          0.000       9946.518       7693.435
    291   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    292   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    293   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    294   1988          0.000          0.000          0.000          0.000       9946.518       7693.435
    295   1988          0.000          0.000          0.000          0.000       9946.518       7693.435
    296   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    297   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    298   1988          0.000          0.000          0.000          0.000       9946.518       7693.435
    299   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    300   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    301   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    302   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    303   1988          0.000          0.000          0.000          0.000       9946.519       7693.436
    304   1988          0.000          0.000          0.000          0.000       9946.518       7693.435
    305   1988          0.000          0.000          0.000          0.000          0.000          0.000
    306   1988          0.000          0.000          0.000          0.000          0.000          0.000
    307   1988          0.000          0.000          0.000          0.000          0.000          0.000
    308   1988          0.000          0.000          0.000          0.000          0.000          0.000
    309   1988          0.000          0.000          0.000          0.000          0.000          0.000
    310   1988          0.000          0.000          0.000          0.000          0.000          0.000
    311   1988          0.000          0.000          0.000          0.000          0.000          0.000
    312   1988          0.000          0.000          0.000          0.000          0.000          0.000
    313   1988          0.000          0.000          0.000          0.000          0.000          0.000
    314   1988          0.000          0.000          0.000          0.000          0.000          0.000
    315   1988          0.000          0.000          0.000          0.000          0.000          0.000
    316   1988          0.000          0.000          0.000          0.000          0.000          0.000
    317   1988          0.000          0.000          0.000          0.000          0.000          0.000
    318   1988          0.000          0.000          0.000          0.000          0.000          0.000
    319   1988          0.000          0.000          0.000          0.000          0.000          0.000
    320   1988          0.000          0.000          0.000          0.000          0.000          0.000
    321   1988          0.000          0.000          0.000          0.000          0.000          0.000
    322   1988          0.000          0.000          0.000          0.000          0.000          0.000
    323   1988          0.000          0.000          0.000          0.000          0.000          0.000
    324   1988          0.000          0.000          0.000          0.000          0.000          0.000
    325   1988          0.000          0.000          0.000          0.000          0.000          0.000
    326   1988          0.000          0.000          0.000          0.000          0.000          0.000
    327   1988          0.000          0.000          0.000          0.000          0.000          0.000
    328   1988          0.000          0.000          0.000          0.000          0.000          0.000
    329   1988          0.000          0.000          0.000          0.000          0.000          0.000
    330   1988          0.000          0.000          0.000          0.000          0.000          0.000
    331   1988          0.000          0.000          0.000          0.000          0.000          0.000
    332   1988          0.000          0.000          0.000          0.000          0.000          0.000
    333   1988          0.000          0.000          0.000          0.000          0.000          0.000
    334   1988          0.000          0.000          0.000          0.000          0.000          0.000
    335   1988          0.000          0.000          0.000          0.000          0.000          0.000
    336   1988          0.000          0.000          0.000          0.000          0.000          0.000
    337   1988          0.000          0.000          0.000          0.000          0.000          0.000
    338   1988          0.000          0.000          0.000          0.000          0.000          0.000
    339   1988          0.000          0.000          0.000          0.000          0.000          0.000
    340   1988          0.000          0.000          0.000          0.000          0.000          0.000
    341   1988          0.000          0.000          0.000          0.000          0.000          0.000
    342   1988          0.000          0.000          0.000          0.000          0.000          0.000
    343   1988          0.000          0.000          0.000          0.000          0.000          0.000
    344   1988          0.000          0.000          0.000          0.000          0.000          0.000
    345   1988          0.000          0.000          0.000          0.000          0.000          0.000
    346   1988          0.000          0.000          0.000          0.000          0.000          0.000
    347   1988          0.000          0.000          0.000          0.000          0.000          0.000
    348   1988          0.000          0.000          0.000          0.000          0.000          0.000
    349   1988          0.000          0.000          0.000          0.000          0.000          0.000
    350   1988          0.000          0.000          0.000          0.000          0.000          0.000
    351   1988          0.000          0.000          0.000          0.000          0.000          0.000
    352   1988          0.000          0.000          0.000          0.000          0.000          0.000
    353   1988          0.000          0.000          0.000          0.000          0.000          0.000
    354   1988          0.000          0.000          0.000          0.000          0.000          0.000
    355   1988          0.000          0.000          0.000          0.000          0.000          0.000
    356   1988          0.000          0.000          0.000          0.000          0.000          0.000
    357   1988          0.000          0.000          0.000          0.000          0.000          0.000
    358   1988          0.000          0.000          0.000          0.000          0.000          0.000
    359   1988          0.000          0.000          0.000          0.000          0.000          0.000
    360   1988          0.000          0.000          0.000          0.000          0.000          0.000
    361   1988          0.000          0.000          0.000          0.000          0.000          0.000
    362   1988          0.000          0.000          0.000          0.000          0.000          0.000
    363   1988          0.000          0.000          0.000          0.000          0.000          0.000
    364   1988          0.000          0.000          0.000          0.000          0.000          0.000
    365   1988          0.000          0.000          0.000          0.000          0.000          0.000
    366   1988          0.000          0.000          0.000          0.000          0.000          0.000
      1   1989          0.000          0.000          0.000          0.000          0.000          0.000
      2   1989          0.000          0.000          0.000          0.000          0.000          0.000
      3   1989          0.000          0.000          0.000          0.000          0.000          0.000
      4   1989          0.000          0.000          0.000          0.000          0.000          0.000
      5   1989          0.000          0.000          0.000          0.000          0.000          0.000
      6   1989          0.000          0.000          0.000          0.000          0.000          0.000
      7   1989          0.000          0.000          0.000          0.000          0.000          0.000
      8   1989          0.000          0.000          0.000          0.000          0.000          0.000
      9   1989          0.000          0.000          0.000          0.000          0.000          0.000
     10   1989          0.000          0.000          0.000          0.000          0.000          0.000
     11   1989          0.000          0.000          0.000          0.000          0.000          0.000
     12   1989          0.000          0.000          0.000          0.000          0.000          0.000
     13   1989          0.000          0.000          0.000          0.000          0.000          0.000
     14   1989          0.000          0.000          0.000          0.000          0.000          0.000
     15   1989          0.000          0.000          0.000          0.000          0.000          0.000
     16   1989          0.000          0.000          0.000          0.000          0.000          0.000
     17   1989          0.000          0.000          0.000          0.000          0.000          0.000
     18   1989          0.000          0.000          0.000          0.000          0.000          0.000
     19   1989          0.000          0.000          0.000          0.000          0.000          0.000
     20   1989          0.000          0.000          0.000          0.000          0.000          0.000
     21   1989          0.000          0.000          0.000          0.000          0.000          0.000
     22   1989          0.000          0.000          0.000          0.000          0.000          0.000
     23   1989          0.000          0.000          0.000          0.000          0.000          0.000
     24   1989          0.000          0.000          0.000          0.000          0.000          0.000
     25   1989          0.000          0.000          0.000          0.000          0.000          0.000
     26   1989          0.000          0.000          0.000          0.000          0.000          0.000
     27   1989          0.000          0.000          0.000          0.000          0.000          0.000
