Summary_file = summary_m.sum
Title = 
       day      year first_op_to_sow     rd_sowdate     rg_sowdate    wt_sow_date       density1       density2    rd2_sowdate    rg2_sowdate   wt2_sow_date rd_flower rg_flower wt_flower rd2_flower rg2_flower wt2_flower     rd_biomass       rd_yield     rg_biomass       rg_yield     wt_biomass       wt_yield    rd2_biomass      rd2_yield    rg2_biomass      rg2_yield    wt2_biomass      wt2_yield
     (day)    (year)              ()             ()             ()             ()             ()             ()             ()             ()             ()     (doy)     (doy)     (doy)      (doy)      (doy)      (doy)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)
       350      1984         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       222         0         0          0          0          0      10896.654        544.491          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1985         126.000        126.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       215         0         0          0          0          0      11521.230        573.871          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1986         135.000        135.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       235         0         0          0          0          0       9889.078        494.245          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1987         130.000        130.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      10309.573        512.358          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1988         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       213         0         0          0          0          0      12752.952        636.114          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1989         142.000        142.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       236         0         0          0          0          0       8498.329        424.021          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1990         140.000        140.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       238         0         0          0          0          0      10781.164        538.126          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1991         156.000        156.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       244         0         0          0          0          0       9239.526        459.753          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1992         165.000        165.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       252         0         0          0          0          0      11343.040        558.283          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1993         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      12052.402        601.798          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1994         144.000        144.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       232         0         0          0          0          0       7623.309        380.894          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1995         131.000        131.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       225         0         0          0          0          0      10170.914        503.254          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1996         139.000        139.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       230         0         0          0          0          0      11591.599        577.553          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1997         139.000        139.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       230         0         0          0          0          0       8923.678        445.864          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1998         133.000        133.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       229         0         0          0          0          0      11196.458        559.310          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1999         131.000        131.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      12916.907        642.510          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      2000         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       217         0         0          0          0          0      10821.281        540.783          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      2001         136.000        136.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       226         0         0          0          0          0       9173.793        456.649          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
