APSIM output file, version = 5.4
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()            rwu      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)            fom      cover_tot  residue_cover
             ()           (mm)           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)            (?)           (mm)           (mm)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)      (m^2/m^2)      (m^2/m^2)
     16/10/1988          0.000        100.000     251511.578          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.606          0.340         92.652          1.309              ?              ?         33.646         43.808         80.574        110.123        116.487        120.261        122.707         17.896         17.414         21.172         12.401          7.005          9.172          7.593          0.345          0.251          0.207          0.245          0.052          0.042          0.166              ?          0.328          0.069
     17/10/1988          0.000        100.000     247105.531          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.278          0.328         92.876          1.268              ?              ?         33.417         43.666         80.976        110.127        116.344        120.125        122.624         17.935         17.429         21.273         12.435          7.021          9.171          7.613          0.345          0.253          0.202          0.242          0.048          0.034          0.143              ?          0.321          0.075
     18/10/1988          0.000        100.000     242657.406          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.960          0.317         93.091          1.230              ?              ?         33.197         43.527         81.378        110.115        116.210        119.996        122.537         17.974         17.446         21.373         12.467          7.035          9.169          7.629          0.345          0.251          0.197          0.239          0.046          0.028          0.124              ?          0.313          0.081
     19/10/1988          0.000        100.000     239121.922          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.653          0.307         93.297          1.195              ?              ?         32.987         43.393         81.779        110.089        116.085        119.873        122.448         18.013         17.462         21.471         12.496          7.048          9.165          7.642          0.345          0.246          0.194          0.235          0.044          0.023          0.107              ?          0.308          0.087
     20/10/1988          0.000        100.000     235480.609          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.354          0.299         93.497          1.168              ?              ?         32.784         43.263         82.179        110.050        115.966        119.756        122.357         18.051         17.479         21.568         12.525          7.061          9.161          7.652          0.345          0.243          0.193          0.232          0.043          0.020          0.093              ?          0.303          0.092
     21/10/1988          0.000        100.000     231174.938          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.064          0.290         93.694          1.150              ?              ?         32.589         43.138         82.577        110.001        115.852        119.643        122.265         18.090         17.497         21.664         12.552          7.074          9.157          7.660          0.345          0.241          0.194          0.230          0.042          0.017          0.080              ?          0.296          0.099
     22/10/1988          0.000        100.000     226798.688          0.000          0.000          0.000          0.000          0.000          0.000              ?        625.781          0.283         93.892          1.146              ?              ?         32.400         43.016         82.973        109.943        115.742        119.534        122.173         18.128         17.517         21.760         12.579          7.089          9.152          7.667          0.345          0.242          0.200          0.232          0.041          0.015          0.070              ?          0.290          0.106
     23/10/1988          0.000        100.000     221647.156          0.000          0.000          0.000          0.000          0.000          0.000              ?        625.505          0.276         94.090          1.145              ?              ?         32.218         42.899         83.367        109.878        115.636        119.428        122.080         18.166         17.539         21.857         12.606          7.104          9.146          7.672          0.345          0.244          0.206          0.234          0.040          0.014          0.061              ?          0.282          0.114
     24/10/1988          2.200        100.000     217845.688          0.000          0.000          0.000          0.000          0.000          0.000              ?        625.412          2.293         94.284          1.136              ?              ?         32.216         42.787         83.757        109.806        115.533        119.325        121.988         18.203         17.562         21.953         12.632          7.118          9.141          7.675          0.345          0.240          0.210          0.234          0.040          0.013          0.054              ?          0.277          0.119
     25/10/1988          0.400        100.000     214712.750          0.000          0.000          0.000          0.000          0.000          0.000              ?        625.145          0.667         94.473          1.117              ?              ?         32.039         42.680         84.144        109.730        115.433        119.224        121.895         18.240         17.583         22.048         12.658          7.130          9.136          7.678          0.345          0.232          0.211          0.230          0.040          0.012          0.047              ?          0.274          0.124
